osmid,ref,highway,maxspeed,access,oneway,reversed,length,geometry,name,bridge
263437306,BR-471,tertiary,80,yes,False,True,119.337,"LINESTRING (-52.3733317 -30.1893658, -52.3733705 -30.1882931)",,
263437312,BR-471,tertiary,,yes,True,False,48.824999999999996,"LINESTRING (-52.3733317 -30.1893658, -52.3733561 -30.1895381, -52.3733895 -30.189629, -52.3734297 -30.1897024, -52.3734848 -30.1897775)",,
31621759,RSC-471,tertiary,,,True,False,27.391,"LINESTRING (-52.3730133 -30.19051, -52.3730161 -30.1903868, -52.373006 -30.190264)",,
263437448,RSC-471,tertiary,,,False,False,186.488,"LINESTRING (-52.3730133 -30.19051, -52.372691 -30.1914876, -52.3724958 -30.1921263)",,
263437323,,residential,,,False,True,11.746,"LINESTRING (-52.3724958 -30.1921263, -52.3726155 -30.1921476)",Rua João XXIII,
527681530,,residential,,,False,False,16.245,"LINESTRING (-52.3724958 -30.1921263, -52.3723304 -30.1920962)",Rua João XXIII,
263437448,RSC-471,tertiary,,,False,False,146.286,"LINESTRING (-52.3724958 -30.1921263, -52.3723103 -30.1929882, -52.3722378 -30.1934226)",,
263437448,RSC-471,tertiary,,,False,True,186.488,"LINESTRING (-52.3724958 -30.1921263, -52.372691 -30.1914876, -52.3730133 -30.19051)",,
223440676,,residential,,,False,False,145.721,"LINESTRING (-52.371141 -30.1945961, -52.3713507 -30.1932982)",Rua João Emilio Paganotto,
223440690,,residential,,,False,False,86.708,"LINESTRING (-52.371141 -30.1945961, -52.3702625 -30.1944186)",Rua Otaviano Linio de Souza,
526585122,,residential,,,False,True,93.314,"LINESTRING (-52.3709902 -30.1903172, -52.3708469 -30.1911472)",Rua Adriana da Cunha Machado,
223440690,,residential,,,False,True,75.545,"LINESTRING (-52.3694944 -30.1942743, -52.3702625 -30.1944186)",Rua Otaviano Linio de Souza,
263437443,,residential,,,False,True,133.603,"LINESTRING (-52.3694944 -30.1942743, -52.3697289 -30.19309)",Rua Getúlio Vargas,
263437443,,residential,,,False,False,98.818,"LINESTRING (-52.3694944 -30.1942743, -52.3694193 -30.1946535, -52.3693328 -30.1951519)",Rua Getúlio Vargas,
