osmid,oneway,ref,highway,maxspeed,reversed,length,geometry,junction,name
306066813,True,DF-130,primary,40,False,120.672,"LINESTRING (-47.6010852 -15.9414108, -47.6009313 -15.9412414, -47.600743 -15.9410497, -47.6006138 -15.9409321, -47.6004255 -15.9408039, -47.6002275 -15.9407315)",,
865377014,False,DF-130,primary,80,False,273.507,"LINESTRING (-47.6010852 -15.9414108, -47.6012574 -15.9416255, -47.6015243 -15.9419465, -47.6020104 -15.9424527, -47.6025728 -15.943046, -47.602773 -15.9432573)",,
"[894454763, 272967823]",False,BR-251,"['primary', 'unclassified']",80,False,118.637,"LINESTRING (-47.6017802 -15.9464775, -47.6015743 -15.9468057, -47.6015657 -15.9465984, -47.6015657 -15.9464321, -47.6015778 -15.9462374, -47.6015805 -15.9461226)",,
509110072,True,BR-251,primary,80,False,211.53500000000003,"LINESTRING (-47.6017802 -15.9464775, -47.601952 -15.9460156, -47.6021016 -15.9455191, -47.6022742 -15.9450511, -47.6024824 -15.9447067)",,
272924212,True,BR-251,primary_link,80,False,46.722,"LINESTRING (-47.6027491 -15.9448958, -47.6026748 -15.9449362, -47.6025702 -15.9449163, -47.6025032 -15.944844, -47.6024824 -15.9447067)",,
509110073,True,BR-251,primary,80,False,204.138,"LINESTRING (-47.6027491 -15.9448958, -47.6025924 -15.9451665, -47.6025119 -15.9453054, -47.6017802 -15.9464775)",,
272967826,True,DF-130,primary,80,False,72.528,"LINESTRING (-47.602773 -15.9432573, -47.6030451 -15.9433761, -47.6032479 -15.9433472, -47.6034063 -15.9432768)",,
865377014,False,DF-130,primary,80,True,273.507,"LINESTRING (-47.602773 -15.9432573, -47.6025728 -15.943046, -47.6020104 -15.9424527, -47.6015243 -15.9419465, -47.6012574 -15.9416255, -47.6010852 -15.9414108)",,
441858968,True,BR-251,primary,80,False,370.917,"LINESTRING (-47.6034063 -15.9432768, -47.6051885 -15.9404149)",,
865377012,True,DF-130,primary,40,False,77.128,"LINESTRING (-47.6002333 -15.9397114, -47.6004862 -15.940361)",,
304609535,False,DF-130,primary,80,True,89.856,"LINESTRING (-47.6002333 -15.9397114, -47.6001454 -15.9394179, -47.6001009 -15.9391828, -47.6000655 -15.9389213)",,
