osmid,ref,name,highway,oneway,reversed,length,geometry,maxspeed,access,junction
31485806,BR-343,Avenida José Maria de Lima,primary,False,False,28.089,"LINESTRING (-41.6657306 -2.8822768, -41.6657004 -2.8824343, -41.6656815 -2.8825246)",,,
140615502,,Avenida José Maria de Lima,primary,True,False,36.411,"LINESTRING (-41.6657306 -2.8822768, -41.6657218 -2.8821016, -41.6657057 -2.8820238, -41.6656795 -2.8819561)",,,
140615478,,Rua Cícero Pedrosa,residential,False,True,61.602,"LINESTRING (-41.6654805 -2.8775135, -41.6652551 -2.8780197)",,,
140615458,,Rua da República,residential,False,False,45.423,"LINESTRING (-41.6648798 -2.8778573, -41.6652551 -2.8780197)",,,
140615458,,Rua da República,residential,False,False,66.869,"LINESTRING (-41.6652551 -2.8780197, -41.6657999 -2.8782758)",,,
140615458,,Rua da República,residential,False,True,45.423,"LINESTRING (-41.6652551 -2.8780197, -41.6648798 -2.8778573)",,,
140615478,,Rua Cícero Pedrosa,residential,False,False,61.602,"LINESTRING (-41.6652551 -2.8780197, -41.6654805 -2.8775135)",,,
140615478,,Rua Cícero Pedrosa,residential,False,True,66.349,"LINESTRING (-41.6652551 -2.8780197, -41.6650148 -2.878566)",,,
140615478,,Rua Cícero Pedrosa,residential,False,False,66.349,"LINESTRING (-41.6650148 -2.878566, -41.6652551 -2.8780197)",,,
140615478,,Rua Cícero Pedrosa,residential,False,True,19.733,"LINESTRING (-41.6650148 -2.878566, -41.6649405 -2.8787272)",,,
750626270,,Rua Coronel Jonas Correia,residential,False,True,88.121,"LINESTRING (-41.6650148 -2.878566, -41.6643162 -2.8781902)",,,
140615420,,Rua Coronel Jonas Correia,residential,True,False,160.322,"LINESTRING (-41.6650148 -2.878566, -41.6652887 -2.8787329, -41.6653363 -2.8787583, -41.6653967 -2.8787814, -41.6659579 -2.8789734, -41.6663478 -2.879103)",,,
140615429,,Avenida José Maria de Lima,residential,False,False,59.093,"LINESTRING (-41.6665001 -2.8785938, -41.6663478 -2.879103)",,,
140615458,,Rua da República,residential,False,False,83.544,"LINESTRING (-41.6665001 -2.8785938, -41.6671902 -2.8788929)",,,
140615458,,Rua da República,residential,False,True,85.423,"LINESTRING (-41.6665001 -2.8785938, -41.6657999 -2.8782758)",,,
"[596683297, 140615429]",,Avenida José Maria de Lima,residential,False,True,100.63300000000001,"LINESTRING (-41.6665001 -2.8785938, -41.6666479 -2.878249, -41.6666479 -2.8782192, -41.6666338 -2.8781951, -41.6664587 -2.8780949, -41.6664373 -2.8780652, -41.6664333 -2.8780344, -41.6664988 -2.8778422)",,,
140615478,,Rua Cícero Pedrosa,residential,False,False,19.733,"LINESTRING (-41.6649405 -2.8787272, -41.6650148 -2.878566)",,,
140615478,,Rua Cícero Pedrosa,residential,False,True,39.632,"LINESTRING (-41.6649405 -2.8787272, -41.6647918 -2.8790512)",,,
140615458,,Rua da República,residential,False,False,86.377,"LINESTRING (-41.6673267 -2.8789521, -41.6680337 -2.8792759)",,,
140615458,,Rua da República,residential,False,True,16.527,"LINESTRING (-41.6673267 -2.8789521, -41.6671902 -2.8788929)",,,
364831891,,Avenida Manoel Borges da Fonseca,residential,False,False,53.227,"LINESTRING (-41.6673267 -2.8789521, -41.6671917 -2.8794114)",,,
140615469,,Rua Manoel Alves Araújo,residential,False,True,56.647,"LINESTRING (-41.6647918 -2.8790512, -41.6652658 -2.8792394)",,,
140615478,,Rua Cícero Pedrosa,residential,False,False,39.632,"LINESTRING (-41.6647918 -2.8790512, -41.6649405 -2.8787272)",,,
