osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,width,junction
497817102,False,2,Rua Calógeras,tertiary,False,17.856,"LINESTRING (-55.7268961 -22.5294946, -55.7269919 -22.5293606)",,,
"[677882280, 497817102]",False,2,Rua Calógeras,tertiary,True,215.38,"LINESTRING (-55.7268961 -22.5294946, -55.7263771 -22.5301801, -55.7257131 -22.5310938)",,,
196493710,False,,Rua Deputado Aral Moreira,residential,True,69.923,"LINESTRING (-55.7257131 -22.5310938, -55.7251534 -22.5307358)",,,
196493710,False,,Rua Deputado Aral Moreira,residential,False,210.14800000000002,"LINESTRING (-55.7257131 -22.5310938, -55.7264247 -22.5315105, -55.727354 -22.5321139, -55.7274082 -22.5321512)",,,
"[677882280, 497817102]",False,2,Rua Calógeras,tertiary,False,215.38,"LINESTRING (-55.7257131 -22.5310938, -55.7263771 -22.5301801, -55.7268961 -22.5294946)",,,
677882280,False,2,Rua Calógeras,tertiary,True,196.941,"LINESTRING (-55.7257131 -22.5310938, -55.7249576 -22.5320856, -55.7249132 -22.5321506, -55.7248855 -22.5321863, -55.7246128 -22.5325442)",,,
677882280,False,2,Rua Calógeras,tertiary,False,196.941,"LINESTRING (-55.7246128 -22.5325442, -55.7248855 -22.5321863, -55.7249132 -22.5321506, -55.7249576 -22.5320856, -55.7257131 -22.5310938)",,,
720384886,True,,,tertiary,False,24.492,"LINESTRING (-55.7246128 -22.5325442, -55.724635 -22.5325841, -55.7246424 -22.532612, -55.7246407 -22.5326309, -55.7246352 -22.5326451, -55.7246242 -22.532658, -55.7246049 -22.5326656, -55.7245821 -22.5326704, -55.7245531 -22.532669, -55.724523 -22.5326632)",40,4,
176532554,False,2,Papa João Paulo Primeiro,residential,False,99.659,"LINESTRING (-55.7270023 -22.5260436, -55.7264629 -22.5267886)",,,
176532554,False,2,Papa João Paulo Primeiro,residential,True,100.307,"LINESTRING (-55.7270023 -22.5260436, -55.7275464 -22.5252945)",,,
196493727,False,,Rua Marechal Rondon,residential,False,101.935,"LINESTRING (-55.7270023 -22.5260436, -55.7261933 -22.5255126)",,,
176532554,False,2,Papa João Paulo Primeiro,residential,True,13.712,"LINESTRING (-55.7263882 -22.5268908, -55.7264629 -22.5267886)",,,
196493625,True,,Rua Baltazar Saldanha,secondary,False,107.21000000000001,"LINESTRING (-55.7263882 -22.5268908, -55.7261735 -22.5267529, -55.7258096 -22.5265192, -55.7255355 -22.5263348)",60,,
176532554,False,2,Papa João Paulo Primeiro,residential,False,100.307,"LINESTRING (-55.7275464 -22.5252945, -55.7270023 -22.5260436)",,,
