osmid,name,highway,oneway,reversed,length,geometry,maxspeed,bridge,width
"[550550356, 1088305445]",Rua Melquíades Veiga,residential,False,False,411.99099999999993,"LINESTRING (-41.3367583 -12.8050508, -41.3362111 -12.8054497, -41.3361159 -12.8055046, -41.3360408 -12.8055294, -41.3359831 -12.8055347, -41.3358557 -12.8054994, -41.3357981 -12.8054928, -41.335735 -12.8054967, -41.3356479 -12.8055242, -41.3355875 -12.8055739, -41.3355379 -12.8056576, -41.3354869 -12.8057164, -41.335372 -12.805801, -41.3352455 -12.8058551, -41.3350175 -12.805927, -41.3348754 -12.8059845, -41.3347641 -12.8060342, -41.3346688 -12.8060839, -41.334405 -12.806281, -41.3343253 -12.806324, -41.3342058 -12.8063647, -41.3341154 -12.8063775, -41.334075 -12.8063832, -41.333982 -12.8063702, -41.3339138 -12.8063259, -41.3338019 -12.8061927, -41.3335815 -12.8059591)",,,
504493675,,residential,False,False,25.673,"LINESTRING (-41.3332107 -12.8071009, -41.3334131 -12.8069811)",,,
504493675,,residential,False,True,37.799,"LINESTRING (-41.3332107 -12.8071009, -41.3331269 -12.8071514, -41.3330101 -12.8071746, -41.3328816 -12.8071503)",,,
550550357,Rua do Mulungu,residential,False,True,258.34999999999997,"LINESTRING (-41.3332107 -12.8071009, -41.3332012 -12.8071965, -41.3331722 -12.8073904, -41.3331749 -12.8074884, -41.3331816 -12.8075107, -41.3332191 -12.8075447, -41.3332419 -12.807576, -41.3332419 -12.8076061, -41.3332285 -12.8076754, -41.3331211 -12.8081359, -41.3329432 -12.8087662, -41.3328862 -12.8089797, -41.3328376 -12.8091589, -41.3327791 -12.8093393)",,,
550550414,Rua Santa Bárbara,residential,True,False,107.42499999999998,"LINESTRING (-41.3300118 -12.8042628, -41.3303207 -12.8043259, -41.3309308 -12.8046078)",,,
791271899,Rua Santa Bárbara,residential,False,False,48.406000000000006,"LINESTRING (-41.3300118 -12.8042628, -41.3296964 -12.8041399, -41.3295976 -12.8041004)",50,,
378721248,Rua São Salvador,residential,False,False,36.305,"LINESTRING (-41.3294611 -12.809717, -41.3295171 -12.8093951)",,,
"[550550448, 550550447]",Rua do Ribimba,residential,False,False,344.451,"LINESTRING (-41.3294611 -12.809717, -41.3295686 -12.8097377, -41.3296612 -12.8097403, -41.329692 -12.8097286, -41.3297041 -12.8097077, -41.3297229 -12.8096357, -41.3298609 -12.8089737, -41.3299601 -12.8084041, -41.3299691 -12.8083249, -41.3299601 -12.8082611, -41.3299466 -12.8081952, -41.3299488 -12.8081314, -41.3299691 -12.8080588, -41.3300481 -12.8078587, -41.3301338 -12.8076189, -41.3301744 -12.80741, -41.330206 -12.8072516, -41.3302116 -12.8071637, -41.3302105 -12.8070845, -41.3301988 -12.8069282)",,,
550550371,Rua Santa Isabel,residential,True,False,63.703,"LINESTRING (-41.3326295 -12.8100776, -41.3325948 -12.8100143, -41.3325875 -12.8099993, -41.3325814 -12.809979, -41.3325801 -12.8099352, -41.3326357 -12.8096455, -41.3326525 -12.8096155, -41.3326793 -12.8095808, -41.3327159 -12.8095499)",,,
386469328,Ladeira do Eucalipto,residential,False,True,252.065,"LINESTRING (-41.3308338 -12.8023671, -41.3307398 -12.8026869, -41.3306571 -12.8029543, -41.3306322 -12.8030702, -41.3306327 -12.8031652, -41.3306595 -12.803323, -41.3307286 -12.8035994, -41.3307957 -12.8038129, -41.3308408 -12.8039279, -41.3308593 -12.8040269, -41.3308753 -12.8041171, -41.3308848 -12.8042478, -41.3309504 -12.8045689)",,,
