osmid,highway,oneway,reversed,length,name,lanes,geometry,ref,maxspeed
130916971,tertiary,False,False,41.921,,,"LINESTRING (-36.8589444 -10.7372859, -36.8589059 -10.737661)",,
130918904,tertiary,True,False,38.421,Avenida Atlântica,,"LINESTRING (-36.8589444 -10.7372859, -36.8586065 -10.7371901)",,
1058133295,tertiary,False,True,10.248,,,"LINESTRING (-36.8589444 -10.7372859, -36.8589538 -10.7371942)",,
130918907,tertiary,True,False,38.441,,,"LINESTRING (-36.8583135 -10.7370866, -36.8586627 -10.7371291)",,
130918905,tertiary,False,False,225.999,Avenida Atlântica,2,"LINESTRING (-36.8583135 -10.7370866, -36.8580412 -10.7370227, -36.8577482 -10.7369516, -36.8576724 -10.7369364, -36.8575732 -10.7369259, -36.8572801 -10.7369213, -36.8569382 -10.7369417, -36.85657 -10.7369588, -36.8562649 -10.7369437)",,
130916986,residential,False,True,12.173,,,"LINESTRING (-36.8562649 -10.7369437, -36.856222 -10.7369842, -36.8561818 -10.7370165)",,
130918905,tertiary,False,True,225.99900000000002,Avenida Atlântica,2,"LINESTRING (-36.8562649 -10.7369437, -36.85657 -10.7369588, -36.8569382 -10.7369417, -36.8572801 -10.7369213, -36.8575732 -10.7369259, -36.8576724 -10.7369364, -36.8577482 -10.7369516, -36.8580412 -10.7370227, -36.8583135 -10.7370866)",,
130916972,residential,False,True,49.599,Praça Nossa Senhora do Carmo,,"LINESTRING (-36.856561 -10.738675, -36.8569707 -10.7384828)",,
130918532,residential,False,False,77.407,Praça Nossa Senhora do Carmo,,"LINESTRING (-36.856561 -10.738675, -36.8572285 -10.7389085)",,
203647311,residential,False,True,13.622,Praça João Pereira do Nascimento,,"LINESTRING (-36.856561 -10.738675, -36.8564416 -10.7386397)",,
130918540,residential,False,True,6.742,Avenida Augusto Trindade,,"LINESTRING (-36.8584013 -10.7391975, -36.8584422 -10.7392429)",,
203638853,residential,False,False,104.588,Rua Givaldo Moura da Silva,,"LINESTRING (-36.8584013 -10.7391975, -36.8578666 -10.7384173)",,
130918925,tertiary,False,False,82.04599999999999,Rua Mário Trindade da Cruz,,"LINESTRING (-36.8584013 -10.7391975, -36.8583425 -10.7392483, -36.8579681 -10.7395631, -36.85783 -10.7396764)",,
130918925,tertiary,False,True,86.543,Rua Mário Trindade da Cruz,,"LINESTRING (-36.8584013 -10.7391975, -36.8585475 -10.7389919, -36.8586266 -10.7388858, -36.8586668 -10.73882, -36.858758 -10.73865, -36.8588187 -10.7385378)",,
