osmid,oneway,highway,reversed,length,geometry,lanes,ref,name,maxspeed,bridge,access
23524325,True,motorway_link,False,113.9,"LINESTRING (-46.8376364 -23.3324491, -46.8376537 -23.3325207, -46.8376496 -23.3325884, -46.837629 -23.3327045, -46.8375524 -23.3329897, -46.8375304 -23.333087, -46.8375215 -23.3331541, -46.8375305 -23.3332199, -46.8375443 -23.3332775, -46.8375689 -23.3333268, -46.8375963 -23.3333671, -46.8376257 -23.3333936, -46.8376578 -23.3334206)",,,,,,
366608404,True,motorway,False,266.086,"LINESTRING (-46.8376364 -23.3324491, -46.837053 -23.3344895, -46.8369766 -23.3347641)",2,SP-330;BR-050,Rodovia Anhanguera,100,,
711149238,False,tertiary,False,65.396,"LINESTRING (-46.8371291 -23.3376986, -46.8372915 -23.3382675)",,,Avenida Jordano Mendes,30,,
711149238,False,tertiary,True,83.25,"LINESTRING (-46.8371291 -23.3376986, -46.8370646 -23.3373127, -46.8370444 -23.3371118, -46.8370458 -23.3369553)",,,Avenida Jordano Mendes,30,,
711149238,False,tertiary,True,65.396,"LINESTRING (-46.8372915 -23.3382675, -46.8371291 -23.3376986)",,,Avenida Jordano Mendes,30,,
"[328893211, 328893212]",False,residential,True,280.613,"LINESTRING (-46.8372915 -23.3382675, -46.8393144 -23.3387765, -46.8393348 -23.3387775, -46.839352 -23.338775, -46.8393716 -23.3387678, -46.839386 -23.3387531, -46.8393954 -23.3387369, -46.8395471 -23.338349, -46.839581 -23.338261)",,,"['Rua Rubens Barbosa', 'Avenida Doutor Antônio Cândido Machado']",,,
711899613,False,tertiary,False,60.475,"LINESTRING (-46.8372459 -23.3357722, -46.8371149 -23.3363026)",,,Avenida Jordano Mendes,30,,
"[711899610, 239846023]",True,residential,False,284.35900000000004,"LINESTRING (-46.8372459 -23.3357722, -46.8377175 -23.3358866, -46.8386252 -23.3361067, -46.8399417 -23.3364146)",,,Rua Prefeito Antônio Garrido,,,
328892037,False,tertiary,True,12.529,"LINESTRING (-46.8372459 -23.3357722, -46.8372558 -23.3357179, -46.837265 -23.3356609)",,,Avenida Jordano Mendes,,,
584067995,True,motorway_link,False,80.54,"LINESTRING (-46.8372459 -23.3357722, -46.8371563 -23.3358342, -46.8370034 -23.3359291, -46.8369229 -23.3359832, -46.8368156 -23.3360633, -46.8366172 -23.336209)",,,,,,
49733756,False,residential,False,106.258,"LINESTRING (-46.8396172 -23.3332044, -46.8398947 -23.3322834)",,,Rua Antônio Pedro Magalhães,,,
"[711899608, 49733769]",True,residential,False,84.187,"LINESTRING (-46.8396172 -23.3332044, -46.8394686 -23.3331688, -46.8393885 -23.3331492, -46.8388203 -23.33301)",,,Rua Vereador José Mendes,,,
49733756,False,residential,True,106.258,"LINESTRING (-46.8398947 -23.3322834, -46.8396172 -23.3332044)",,,Rua Antônio Pedro Magalhães,,,
49733757,False,residential,False,85.09899999999999,"LINESTRING (-46.8398947 -23.3322834, -46.839825 -23.3322546, -46.8397216 -23.3322298, -46.83908 -23.3321332)",,,Rua Pedro Binato,,,
49733757,False,residential,True,179.243,"LINESTRING (-46.8398947 -23.3322834, -46.8400039 -23.3323405, -46.8400965 -23.3324038, -46.8402026 -23.3324954, -46.8403024 -23.3325973, -46.8404702 -23.3327678, -46.8407931 -23.3330392, -46.840829 -23.3330797, -46.8408551 -23.3331209, -46.8408681 -23.3331674, -46.8408681 -23.3332157, -46.8408575 -23.3332644, -46.8407779 -23.3334953)",,,Rua Pedro Binato,,,
711079783,False,residential,True,72.041,"LINESTRING (-46.8407779 -23.3334953, -46.8405969 -23.3341215)",,,Avenida Deovair Cruz de Oliveira,,,
711899608,True,residential,False,122.844,"LINESTRING (-46.8407779 -23.3334953, -46.8396172 -23.3332044)",,,Rua Vereador José Mendes,,,
49733757,False,residential,False,179.243,"LINESTRING (-46.8407779 -23.3334953, -46.8408575 -23.3332644, -46.8408681 -23.3332157, -46.8408681 -23.3331674, -46.8408551 -23.3331209, -46.840829 -23.3330797, -46.8407931 -23.3330392, -46.8404702 -23.3327678, -46.8403024 -23.3325973, -46.8402026 -23.3324954, -46.8400965 -23.3324038, -46.8400039 -23.3323405, -46.8398947 -23.3322834)",,,Rua Pedro Binato,,,
49733757,False,residential,True,85.099,"LINESTRING (-46.83908 -23.3321332, -46.8397216 -23.3322298, -46.839825 -23.3322546, -46.8398947 -23.3322834)",,,Rua Pedro Binato,,,
239846017,False,residential,False,101.037,"LINESTRING (-46.83908 -23.3321332, -46.8388399 -23.3329438, -46.8388203 -23.33301)",,,Rua Benedito Pereira de Mesquita,,,
"[166092121, 711899607]",False,residential,False,182.246,"LINESTRING (-46.83908 -23.3321332, -46.8383774 -23.3319531, -46.8383429 -23.3319538, -46.8383121 -23.3319635, -46.8382859 -23.3319855, -46.8380603 -23.3328356)",,,"['Rua Pedro Binato', 'Avenida Jordano Mendes']",,,
4588391,True,motorway,False,300.419,"LINESTRING (-46.83647 -23.3373817, -46.8364576 -23.3371063, -46.8364522 -23.3368477, -46.8364629 -23.3365928, -46.8364884 -23.336333, -46.8365353 -23.3360682, -46.8366011 -23.3357567, -46.8368813 -23.3347223)",2,SP-330;BR-050,Rodovia Anhanguera,110,,
868604419,True,motorway_link,False,70.53399999999999,"LINESTRING (-46.83647 -23.3373817, -46.8363923 -23.3370961, -46.8363513 -23.3369748, -46.8362702 -23.3367753)",,,Avenida Arnaldo Rojek,,,
711079770,False,residential,True,38.063,"LINESTRING (-46.8421693 -23.3387037, -46.842287 -23.3383789)",,,Rua Júlio Galliota,,,
40012264,False,residential,False,66.023,"LINESTRING (-46.841547 -23.3381449, -46.8412417 -23.3380488, -46.8409353 -23.3379523)",,,Rua Maria Anunciada de Moura,,,
"[40012264, 711155985]",False,residential,True,79.90899999999999,"LINESTRING (-46.841547 -23.3381449, -46.8418984 -23.3382533, -46.842287 -23.3383789)",,,Rua Maria Anunciada de Moura,,,
711079767,True,residential,False,109.91000000000001,"LINESTRING (-46.841547 -23.3381449, -46.8418152 -23.3374686, -46.8419165 -23.3372165)",,,Rua Benedito Arthur Lopes,,,
711079782,False,residential,True,73.279,"LINESTRING (-46.8405969 -23.3341215, -46.8404167 -23.3347594)",,,Avenida Deovair Cruz de Oliveira,,,
711079783,False,residential,False,72.041,"LINESTRING (-46.8405969 -23.3341215, -46.8407779 -23.3334953)",,,Avenida Deovair Cruz de Oliveira,,,
"[711899609, 290563742]",True,residential,False,286.107,"LINESTRING (-46.8405969 -23.3341215, -46.8392898 -23.3338102, -46.837888 -23.3334632)",,,Rua Avelino Toledo de Lima,40,,
49733769,True,residential,False,79.983,"LINESTRING (-46.8388203 -23.33301, -46.8386993 -23.3329822, -46.8380603 -23.3328356)",,,Rua Vereador José Mendes,,,
239846017,False,residential,True,101.037,"LINESTRING (-46.8388203 -23.33301, -46.8388399 -23.3329438, -46.83908 -23.3321332)",,,Rua Benedito Pereira de Mesquita,,,
328890318,False,residential,False,72.65,"LINESTRING (-46.840476 -23.337119, -46.8397864 -23.3369579)",,,Rua Oswaldo de Lorenzi,,,
39962213,False,residential,False,62.458,"LINESTRING (-46.8397864 -23.3369579, -46.8399417 -23.3364146)",,,Avenida Deovair Cruz de Oliveira,,,
39962213,False,residential,True,73.716,"LINESTRING (-46.8397864 -23.3369579, -46.8395941 -23.3375969)",,,Avenida Deovair Cruz de Oliveira,,,
328890318,False,residential,True,72.65,"LINESTRING (-46.8397864 -23.3369579, -46.840476 -23.337119)",,,Rua Oswaldo de Lorenzi,,,
"[328890322, 711899612]",True,residential,False,282.361,"LINESTRING (-46.8397864 -23.3369579, -46.8384667 -23.3366563, -46.8371149 -23.3363026)",,,Rua Oswaldo de Lorenzi,,,
711899613,False,tertiary,True,60.475,"LINESTRING (-46.8371149 -23.3363026, -46.8372459 -23.3357722)",,,Avenida Jordano Mendes,30,,
711149238,False,tertiary,False,73.043,"LINESTRING (-46.8371149 -23.3363026, -46.8370928 -23.3364773, -46.8370528 -23.3367053, -46.8370458 -23.3369553)",,,Avenida Jordano Mendes,30,,
39962213,False,residential,True,62.458,"LINESTRING (-46.8399417 -23.3364146, -46.8397864 -23.3369579)",,,Avenida Deovair Cruz de Oliveira,,,
328890319,False,residential,False,62.509,"LINESTRING (-46.8399417 -23.3364146, -46.8400931 -23.3358699)",,,Avenida Deovair Cruz de Oliveira,,,
328890320,False,residential,False,101.944,"LINESTRING (-46.8399417 -23.3364146, -46.8409112 -23.3366339)",,,Rua Prefeito Antônio Garrido,,,
709794645,False,tertiary,False,22.129,"LINESTRING (-46.8377148 -23.3341006, -46.8376689 -23.3342951)",,,Avenida Jordano Mendes,,,
711899614,False,residential,True,8.612,"LINESTRING (-46.8377148 -23.3341006, -46.8377316 -23.3340247)",,,Avenida Jordano Mendes,,,
40011312,True,tertiary,False,285.44100000000003,"LINESTRING (-46.8377148 -23.3341006, -46.8380257 -23.3341795, -46.8390922 -23.3344503, -46.8404167 -23.3347594)",,,Avenida Vereador Joaquim Pereira Barbosa,,,
711079766,False,tertiary,False,164.266,"LINESTRING (-46.8404167 -23.3347594, -46.8419679 -23.3351514)",,,Avenida Vereador Joaquim Pereira Barbosa,,,
711079781,False,residential,True,66.351,"LINESTRING (-46.8404167 -23.3347594, -46.8402434 -23.3353345)",,,Avenida Deovair Cruz de Oliveira,,,
711079782,False,residential,False,73.279,"LINESTRING (-46.8404167 -23.3347594, -46.8405969 -23.3341215)",,,Avenida Deovair Cruz de Oliveira,,,
40012264,False,residential,True,40.794999999999995,"LINESTRING (-46.8405573 -23.3378334, -46.840896 -23.33794, -46.8409353 -23.3379523)",,,Rua Maria Anunciada de Moura,,,
239846030,False,residential,False,101.88900000000001,"LINESTRING (-46.8405573 -23.3378334, -46.840234 -23.337773, -46.8400555 -23.3377239, -46.8399922 -23.3377065, -46.8399152 -23.3376853, -46.8396619 -23.3376156, -46.8396267 -23.3376059, -46.8395941 -23.3375969)",,,Rua Manuel Antônio Gomes,,,
328889738,False,tertiary,True,88.857,"LINESTRING (-46.8405573 -23.3378334, -46.8404437 -23.3378872, -46.8403589 -23.337939, -46.8403442 -23.337947, -46.8400611 -23.3381381, -46.8399797 -23.3382077, -46.839964 -23.3382211, -46.8399124 -23.3382679, -46.8398705 -23.3383159)",,,Avenida Doutor Antônio Cândido Machado,,,
711079779,False,tertiary,False,154.824,"LINESTRING (-46.8405573 -23.3378334, -46.8406924 -23.3377663, -46.8407211 -23.3377514, -46.8407473 -23.3377396, -46.8411148 -23.3375739, -46.8412725 -23.3374993, -46.8415368 -23.3373826, -46.8415827 -23.3373625, -46.8419165 -23.3372165)",,,Avenida Doutor Antônio Cândido Machado,,,
263238812,False,residential,False,61.48,"LINESTRING (-46.8400931 -23.3358699, -46.8402434 -23.3353345)",,,Avenida Deovair Cruz de Oliveira,,,
328890319,False,residential,True,62.509,"LINESTRING (-46.8400931 -23.3358699, -46.8399417 -23.3364146)",,,Avenida Deovair Cruz de Oliveira,,,
328890317,True,residential,False,284.808,"LINESTRING (-46.8400931 -23.3358699, -46.8387746 -23.3355582, -46.8373969 -23.3352132)",,,Rua Vereador Mário Marcolongo,,,
263238812,False,residential,True,61.48,"LINESTRING (-46.8402434 -23.3353345, -46.8400931 -23.3358699)",,,Avenida Deovair Cruz de Oliveira,,,
711079781,False,residential,False,66.351,"LINESTRING (-46.8402434 -23.3353345, -46.8404167 -23.3347594)",,,Avenida Deovair Cruz de Oliveira,,,
711079776,True,residential,False,162.929,"LINESTRING (-46.8402434 -23.3353345, -46.8415295 -23.3356446, -46.8417859 -23.3357099)",,,Rua Vereador Joaquim Soares de Araujo,,,
166092121,False,residential,False,55.96,"LINESTRING (-46.8380603 -23.3328356, -46.8379242 -23.3333231)",,,Avenida Jordano Mendes,,,
"[166092121, 711899607]",False,residential,True,182.246,"LINESTRING (-46.8380603 -23.3328356, -46.8382859 -23.3319855, -46.8383121 -23.3319635, -46.8383429 -23.3319538, -46.8383774 -23.3319531, -46.83908 -23.3321332)",,,"['Rua Pedro Binato', 'Avenida Jordano Mendes']",,,
709794645,False,tertiary,True,44.083,"LINESTRING (-46.8375578 -23.3346782, -46.8376689 -23.3342951)",,,Avenida Jordano Mendes,,,
239846025,True,residential,False,283.748,"LINESTRING (-46.8375578 -23.3346782, -46.8383545 -23.3348754, -46.838937 -23.3350131, -46.8402434 -23.3353345)",,,Rua Vereador Joaquim Soares de Araujo,,,
709794645,False,tertiary,False,61.723,"LINESTRING (-46.8375578 -23.3346782, -46.8375189 -23.334798, -46.8374197 -23.335129, -46.8373969 -23.3352132)",,,Avenida Jordano Mendes,,,
239846026,False,residential,False,64.823,"LINESTRING (-46.8419679 -23.3351514, -46.8417859 -23.3357099)",,,Rua Ana Maria Aro,,,
711079766,False,tertiary,True,164.266,"LINESTRING (-46.8419679 -23.3351514, -46.8404167 -23.3347594)",,,Avenida Vereador Joaquim Pereira Barbosa,,,
"[263238813, 711079766]",False,tertiary,False,63.498000000000005,"LINESTRING (-46.8419679 -23.3351514, -46.8422438 -23.3352159, -46.84257 -23.3352944)",,,Avenida Vereador Joaquim Pereira Barbosa,,,
709794645,False,tertiary,False,16.34,"LINESTRING (-46.8373969 -23.3352132, -46.8373453 -23.3353523)",,,Avenida Jordano Mendes,,,
