osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,access,lanes
594758249,Rådhusgaten,residential,False,False,65.50300000000001,"LINESTRING (10.031842 58.9973967, 10.0320451 58.9974181, 10.0322175 58.997434, 10.0324528 58.9974547, 10.0325748 58.9974685, 10.0326869 58.9974872, 10.0328095 58.9975148, 10.032933 58.9975549)",,,,
594758250,Sogneprest Herlofsens gate,residential,False,False,91.10100000000001,"LINESTRING (10.031842 58.9973967, 10.0315931 58.9978472, 10.0314698 58.9980702, 10.0314403 58.9981324, 10.0314309 58.9981872)",,,,
34315468,Larviksveien,primary,False,False,44.182,"LINESTRING (10.0362314 58.9985717, 10.0363514 58.9983161, 10.0363943 58.9982467, 10.0364225 58.9982104, 10.0364406 58.99819)",301,40,,
34315468,Larviksveien,primary,False,True,30.935000000000002,"LINESTRING (10.0362314 58.9985717, 10.0361949 58.998661, 10.0361103 58.9988428)",301,40,,
126608756,Johan Ohlsens gate,secondary,False,False,77.957,"LINESTRING (10.0362314 58.9985717, 10.0360727 58.9985491, 10.0349024 58.9984208)",2968,40,,
46883489,Knappliveien,residential,False,False,11.174,"LINESTRING (10.0276478 58.9954834, 10.0274834 58.9955375)",,,,
46883484,Rogneveien,residential,False,False,87.225,"LINESTRING (10.0276478 58.9954834, 10.027602 58.9954017, 10.0275806 58.9953032, 10.027478 58.9948311, 10.0274612 58.9947634, 10.0274442 58.9947071)",,,,
46883489,Knappliveien,residential,False,True,207.789,"LINESTRING (10.0276478 58.9954834, 10.0278112 58.9954348, 10.0280741 58.9953575, 10.0283369 58.995287, 10.0285582 58.9952304, 10.0287473 58.9951855, 10.028978 58.9951419, 10.0297049 58.995006, 10.0302943 58.9949078, 10.0308119 58.9948188, 10.0309237 58.9947935, 10.0309925 58.9947741)",,,,
46883497,Kongeskogveien,residential,False,False,76.744,"LINESTRING (10.0274442 58.9947071, 10.0287727 58.9946175)",,,,
46883484,Rogneveien,residential,False,True,87.22500000000001,"LINESTRING (10.0274442 58.9947071, 10.0274612 58.9947634, 10.027478 58.9948311, 10.0275806 58.9953032, 10.027602 58.9954017, 10.0276478 58.9954834)",,,,
46883497,Kongeskogveien,residential,False,True,76.744,"LINESTRING (10.0287727 58.9946175, 10.0274442 58.9947071)",,,,
46883497,Kongeskogveien,residential,False,False,106.422,"LINESTRING (10.0287727 58.9946175, 10.0304514 58.9944452, 10.0305942 58.9944289)",,,,
46883489,Knappliveien,residential,False,True,11.174,"LINESTRING (10.0274834 58.9955375, 10.0276478 58.9954834)",,,,
46883497,Kongeskogveien,residential,False,True,106.422,"LINESTRING (10.0305942 58.9944289, 10.0304514 58.9944452, 10.0287727 58.9946175)",,,,
327579784,Helgeroveien,primary,False,False,44.714,"LINESTRING (10.0305942 58.9944289, 10.0306768 58.9945078, 10.0307402 58.9945699, 10.0308099 58.9946354, 10.0308958 58.9947033, 10.0309925 58.9947741)",301,50,,
594758249,Rådhusgaten,residential,False,False,9.172,"LINESTRING (10.0348555 58.9979978, 10.0350111 58.9980173)",,,,
"[71289258, 1231456883]",Kommandør Herbst gate,residential,False,True,80.88699999999999,"LINESTRING (10.0348555 58.9979978, 10.0348802 58.9979531, 10.0349956 58.9976546, 10.0350783 58.9974406, 10.035135 58.9973739, 10.0351682 58.997347, 10.0352497 58.9973135)",,,,
594758249,Rådhusgaten,residential,False,True,125.748,"LINESTRING (10.0348555 58.9979978, 10.0345317 58.9979574, 10.0342104 58.9979173, 10.033577 58.9978406, 10.0334822 58.9978291, 10.0334231 58.9978212, 10.0333641 58.9978074, 10.0333171 58.9977942, 10.0332669 58.9977711, 10.0332145 58.9977407, 10.0330402 58.9976164, 10.032933 58.9975549)",,,,
34315550,William Sverdrups gate,residential,False,True,63.576,"LINESTRING (10.0405598 58.9993833, 10.039491 58.9992288)",,30,,
41238732,Kronprinsens gate,residential,False,False,60.689,"LINESTRING (10.0389218 59.0006198, 10.0388947 59.0006874, 10.038733 59.001095, 10.0387074 59.0011543)",,,,
"[41238732, 823893405]",Kronprinsens gate,residential,False,True,158.09099999999998,"LINESTRING (10.0389218 59.0006198, 10.0389378 59.0005822, 10.0390462 59.0003283, 10.0391473 59.0000918, 10.039182 59.0000081, 10.0392644 58.9998091, 10.0392828 58.9997642, 10.039322 58.9996858, 10.039491 58.9992288)",,,,
73995672,Strandveien,residential,False,False,119.60900000000001,"LINESTRING (10.0389218 59.0006198, 10.0383101 59.0005523, 10.037634 59.0004777, 10.0368822 59.0003884)",,,,
