osmid,oneway,lanes,highway,reversed,length,geometry,name
141032042,False,,residential,False,123.44,"LINESTRING (-66.5830613 -18.4204714, -66.5839545 -18.4211885)",Calle Oruro
141031664,False,,residential,False,76.797,"LINESTRING (-66.5830613 -18.4204714, -66.583164 -18.4203407, -66.5835521 -18.4199628)",Calle 23 de Marzo
141031664,False,,residential,True,171.69899999999998,"LINESTRING (-66.5830613 -18.4204714, -66.5828722 -18.4208453, -66.5824125 -18.4218871)",Calle 23 de Marzo
"[141032042, 600842983]",False,2,residential,"[False, True]",118.643,"LINESTRING (-66.5830613 -18.4204714, -66.5823072 -18.4198153, -66.5822196 -18.4198638)",Calle Oruro
141031660,False,,residential,False,106.976,"LINESTRING (-66.5865056 -18.4221643, -66.5858163 -18.4214587)",Calle Ballivian
159118350,False,,residential,False,82.603,"LINESTRING (-66.5865056 -18.4221643, -66.5870423 -18.4216234)",Calle Tupiza
141031660,False,,residential,True,118.26700000000001,"LINESTRING (-66.5865056 -18.4221643, -66.5868757 -18.4225671, -66.587211 -18.4229319, -66.587237 -18.4229698)",Calle Ballivian
159118350,False,,residential,True,66.759,"LINESTRING (-66.5865056 -18.4221643, -66.5864863 -18.4221915, -66.5860423 -18.4225719)",Calle Tupiza
141032040,False,,residential,True,55.243,"LINESTRING (-66.5863901 -18.4229433, -66.5860423 -18.4225719)",Calle Campero
621837302,False,,residential,True,31.455,"LINESTRING (-66.5863901 -18.4229433, -66.5861915 -18.4231543)",Calle Linares
141032040,False,,residential,False,159.288,"LINESTRING (-66.5863901 -18.4229433, -66.5871208 -18.4236702, -66.5874383 -18.4239743)",Calle Campero
141032042,False,,residential,True,65.643,"LINESTRING (-66.5858398 -18.4230616, -66.5854313 -18.4226163)",Calle Oruro
148318350,False,,residential,True,45.008,"LINESTRING (-66.5858398 -18.4230616, -66.5855527 -18.423361)",
621837301,False,,residential,False,42.992000000000004,"LINESTRING (-66.5858398 -18.4230616, -66.5859206 -18.4231658, -66.5861915 -18.4231543)",Calle Ayacucho
621837302,False,,residential,False,31.455,"LINESTRING (-66.5861915 -18.4231543, -66.5863901 -18.4229433)",Calle Linares
141031663,False,,residential,True,160.843,"LINESTRING (-66.5861915 -18.4231543, -66.5864877 -18.4233897, -66.5870671 -18.4238233, -66.5873699 -18.4240717)",
621837301,False,,residential,True,42.992000000000004,"LINESTRING (-66.5861915 -18.4231543, -66.5859206 -18.4231658, -66.5858398 -18.4230616)",Calle Ayacucho
141031661,False,,residential,True,65.059,"LINESTRING (-66.5855527 -18.423361, -66.585081 -18.4229841)",
148318350,False,,residential,False,45.008,"LINESTRING (-66.5855527 -18.423361, -66.5858398 -18.4230616)",
148318350,False,,residential,True,59.031,"LINESTRING (-66.5855527 -18.423361, -66.5851342 -18.4237134)",
621837303,False,,residential,False,13.014,"LINESTRING (-66.5873699 -18.4240717, -66.5874383 -18.4239743)",Calle 25 de Mayo
141031663,False,,residential,False,160.843,"LINESTRING (-66.5873699 -18.4240717, -66.5870671 -18.4238233, -66.5864877 -18.4233897, -66.5861915 -18.4231543)",
141031663,False,,residential,True,70.924,"LINESTRING (-66.5873699 -18.4240717, -66.5876024 -18.4242708, -66.587841 -18.4245254)",
621837303,False,,residential,True,89.71000000000001,"LINESTRING (-66.5873699 -18.4240717, -66.5870856 -18.4243601, -66.5867797 -18.4246524)",Calle 25 de Mayo
148319501,False,,residential,False,15.768,"LINESTRING (-66.5881061 -18.4242172, -66.5882305 -18.4241386)",
141031660,False,,residential,False,56.586999999999996,"LINESTRING (-66.5881061 -18.4242172, -66.5879021 -18.4239946, -66.5877467 -18.4238396)",Calle Ballivian
148319501,False,,residential,True,33.342999999999996,"LINESTRING (-66.5881061 -18.4242172, -66.5879051 -18.4243761, -66.5878835 -18.4244235)",
141032040,False,,residential,False,50.853,"LINESTRING (-66.5878835 -18.4244235, -66.5881892 -18.4247771)",Calle Campero
141032040,False,,residential,True,68.562,"LINESTRING (-66.5878835 -18.4244235, -66.5874383 -18.4239743)",Calle Campero
148319501,False,,residential,True,12.186,"LINESTRING (-66.5878835 -18.4244235, -66.587841 -18.4245254)",
148319501,False,,residential,False,33.342999999999996,"LINESTRING (-66.5878835 -18.4244235, -66.5879051 -18.4243761, -66.5881061 -18.4242172)",
141031663,False,,residential,False,45.612,"LINESTRING (-66.5880981 -18.4248552, -66.587841 -18.4245254)",
148319498,False,,residential,False,58.106,"LINESTRING (-66.5880981 -18.4248552, -66.5876892 -18.4252053)",
148319498,False,,residential,True,12.953,"LINESTRING (-66.5880981 -18.4248552, -66.5881892 -18.4247771)",
141031663,False,,residential,True,66.982,"LINESTRING (-66.5880981 -18.4248552, -66.5883919 -18.4252007, -66.5885149 -18.4253079)",
600838255,False,,residential,False,13.063,"LINESTRING (-66.5886019 -18.4252243, -66.5885149 -18.4253079)",
141032040,False,,residential,True,66.093,"LINESTRING (-66.5886019 -18.4252243, -66.5882634 -18.4248587, -66.5881892 -18.4247771)",Calle Campero
141031663,False,,residential,False,18.875,"LINESTRING (-66.5886466 -18.4254228, -66.5885149 -18.4253079)",
148319500,False,,residential,False,53.201,"LINESTRING (-66.5886466 -18.4254228, -66.5882765 -18.4257478)",Calle Topater
141031663,False,,residential,True,103.93299999999999,"LINESTRING (-66.5886466 -18.4254228, -66.5889907 -18.4257016, -66.5893989 -18.4260263)",
141032040,False,,residential,False,69.473,"LINESTRING (-66.5835521 -18.4199628, -66.5840216 -18.4204009)",Calle Campero
141031664,False,,residential,False,71.916,"LINESTRING (-66.5835521 -18.4199628, -66.5838095 -18.4197402, -66.5840592 -18.4195306)",Calle 23 de Marzo
141031664,False,,residential,True,76.797,"LINESTRING (-66.5835521 -18.4199628, -66.583164 -18.4203407, -66.5830613 -18.4204714)",Calle 23 de Marzo
141032042,False,,residential,False,70.06,"LINESTRING (-66.5839545 -18.4211885, -66.5844003 -18.4216555)",Calle Oruro
141032042,False,,residential,True,123.44,"LINESTRING (-66.5839545 -18.4211885, -66.5830613 -18.4204714)",Calle Oruro
513198063,False,2,tertiary,True,87.863,"LINESTRING (-66.5839545 -18.4211885, -66.5840216 -18.4204009)",
513198063,False,2,tertiary,False,92.797,"LINESTRING (-66.5839545 -18.4211885, -66.5839183 -18.421826, -66.5839049 -18.4219341, -66.5838912 -18.4220204)",
144864674,False,,residential,True,53.589,"LINESTRING (-66.5852317 -18.4185146, -66.5854722 -18.4189391)",Calle Buch
530023064,False,,residential,True,84.73400000000001,"LINESTRING (-66.5852317 -18.4185146, -66.5846676 -18.4187203, -66.5844733 -18.4187604)",Calle Buch
530023064,False,,residential,False,84.73400000000001,"LINESTRING (-66.5844733 -18.4187604, -66.5846676 -18.4187203, -66.5852317 -18.4185146)",Calle Buch
530023064,False,,residential,True,41.313,"LINESTRING (-66.5844733 -18.4187604, -66.5842114 -18.4187492, -66.584086 -18.4187188)",Calle Buch
600470679,False,,residential,True,49.623999999999995,"LINESTRING (-66.5844733 -18.4187604, -66.5842218 -18.4189551, -66.5841005 -18.4190318)",
141031665,False,,residential,True,48.93,"LINESTRING (-66.5854722 -18.4189391, -66.5858986 -18.418766)",
144864674,False,,residential,False,53.589,"LINESTRING (-66.5854722 -18.4189391, -66.5852317 -18.4185146)",Calle Buch
144864674,False,,residential,True,63.848,"LINESTRING (-66.5854722 -18.4189391, -66.5857641 -18.4194421)",Calle Buch
141031665,False,,residential,False,159.827,"LINESTRING (-66.5854722 -18.4189391, -66.5852929 -18.4190107, -66.5849185 -18.4191364, -66.5845327 -18.4192183, -66.5843427 -18.4192675, -66.5842217 -18.4193167, -66.5840505 -18.4194136)",
530023061,True,,residential,False,13.875,"LINESTRING (-66.5879951 -18.4194557, -66.5878771 -18.4194006)",
600838258,False,,residential,False,82.272,"LINESTRING (-66.5879951 -18.4194557, -66.5880488 -18.4195082, -66.5880643 -18.4195308, -66.5880744 -18.419556, -66.5880787 -18.4195826, -66.588077 -18.4196095, -66.5880694 -18.4196354, -66.5880563 -18.4196593, -66.5878476 -18.4199217, -66.5877657 -18.4200003, -66.5877454 -18.4200633)",
144864674,False,,residential,False,63.848,"LINESTRING (-66.5857641 -18.4194421, -66.5854722 -18.4189391)",Calle Buch
144864674,False,,residential,True,111.044,"LINESTRING (-66.5857641 -18.4194421, -66.5862773 -18.420314)",Calle Buch
159118338,False,,residential,False,150.089,"LINESTRING (-66.5857641 -18.4194421, -66.5844163 -18.4198742)",Calle Libertad
144864662,False,,residential,False,257.896,"LINESTRING (-66.5877454 -18.4200633, -66.5877707 -18.4200867, -66.5878007 -18.4201043, -66.587903 -18.4200926, -66.588004 -18.4200821, -66.58855 -18.4199213, -66.5887473 -18.4199071, -66.588843 -18.4199425, -66.5888968 -18.4200121, -66.5890282 -18.4201908, -66.5892135 -18.4204374, -66.5895183 -18.4208853, -66.589563 -18.4209651)",Walter Mercado
