osmid,highway,oneway,reversed,length,geometry,lanes,ref,name,bridge,maxspeed,width
"[168678878, 168678863]",residential,False,True,106.911,"LINESTRING (-63.9531907 -19.7993131, -63.9536219 -19.7992855, -63.9542104 -19.7992503)",,,,,,
1218646587,residential,False,True,92.98800000000001,"LINESTRING (-63.9531907 -19.7993131, -63.9532171 -19.7997257, -63.9531956 -19.7999516, -63.9531623 -19.8001452)",2,,,,,
168678923,residential,False,False,82.062,"LINESTRING (-63.9550137 -19.8001569, -63.9542297 -19.8001797)",,,,,,
168678923,residential,False,True,124.461,"LINESTRING (-63.9550137 -19.8001569, -63.9562018 -19.8001001)",,,,,,
286252553,trunk,False,False,107.976,"LINESTRING (-63.9550137 -19.8001569, -63.954894 -19.7991924)",,F6,Calle Sucre,,,
286252553,trunk,False,True,96.495,"LINESTRING (-63.9550137 -19.8001569, -63.9549672 -19.8010236)",,F6,Calle Sucre,,,
168678947,residential,False,False,71.021,"LINESTRING (-63.9549672 -19.8010236, -63.9542898 -19.800982)",,,Calle Padilla,,,
286252553,trunk,False,False,96.495,"LINESTRING (-63.9549672 -19.8010236, -63.9550137 -19.8001569)",,F6,Calle Sucre,,,
168678947,residential,False,True,137.488,"LINESTRING (-63.9549672 -19.8010236, -63.9550699 -19.8010234, -63.9562729 -19.800889)",,,Calle Padilla,,,
286252553,trunk,False,True,81.715,"LINESTRING (-63.9549672 -19.8010236, -63.9550359 -19.8014896, -63.955122 -19.8017413)",,F6,Calle Sucre,,,
1218646587,residential,False,True,22.238,"LINESTRING (-63.9532729 -19.8011034, -63.9534 -19.8012637)",2,,,,,
168678947,residential,False,True,107.303,"LINESTRING (-63.9532729 -19.8011034, -63.9538876 -19.801014, -63.9542898 -19.800982)",,,Calle Padilla,,,
1218646587,residential,False,False,108.69,"LINESTRING (-63.9532729 -19.8011034, -63.9532046 -19.8009776, -63.9531741 -19.8008574, -63.9531806 -19.8005478, -63.9531623 -19.8001452)",2,,,,,
1218646587,residential,False,False,22.238,"LINESTRING (-63.9534 -19.8012637, -63.9532729 -19.8011034)",2,,,,,
