osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,maxspeed,bridge,width
323603896,True,2,F15,Avenida Mortenson,primary,False,6.962,"LINESTRING (-64.8600532 -17.0343935, -64.8601184 -17.0343993)",,,
323604033,False,,,Calle Cochabamba,residential,False,108.235,"LINESTRING (-64.8560632 -17.0331187, -64.8570761 -17.0332163)",,,
875994138,False,,,,residential,False,124.119,"LINESTRING (-64.8560632 -17.0331187, -64.8561958 -17.0320097)",,,
"[323604033, 700009689]",False,,,Calle Cochabamba,residential,True,234.848,"LINESTRING (-64.8560632 -17.0331187, -64.8550755 -17.0330041, -64.8550026 -17.032885, -64.8551147 -17.0318679)",,,
875994138,False,,,,residential,True,112.846,"LINESTRING (-64.8560632 -17.0331187, -64.8559788 -17.0339271, -64.8559575 -17.0341285)",,,
138455125,False,,,Calle Suecia,residential,True,100.236,"LINESTRING (-64.8618911 -17.0335426, -64.8619917 -17.0326463)",,,
138455125,False,,,Calle Suecia,residential,False,113.388,"LINESTRING (-64.8618911 -17.0335426, -64.8618087 -17.0345052, -64.8618331 -17.0345538)",,,
323604033,False,,,Calle Cochabamba,residential,True,133.79500000000002,"LINESTRING (-64.8618911 -17.0335426, -64.8617302 -17.0335396, -64.8606367 -17.0334499)",,,
174194664,False,,,,residential,False,99.92,"LINESTRING (-64.8617149 -17.0382286, -64.8617673 -17.0373314)",,,
620982287,False,,,,residential,True,127.676,"LINESTRING (-64.8617149 -17.0382286, -64.8605191 -17.0381226)",,,
620982287,False,,,,residential,False,127.676,"LINESTRING (-64.8605191 -17.0381226, -64.8617149 -17.0382286)",,,
757042189,False,,,,residential,True,11.232,"LINESTRING (-64.8605191 -17.0381226, -64.8604216 -17.0381615)",,,
138455125,False,,,Calle Suecia,residential,False,99.232,"LINESTRING (-64.8620589 -17.0317562, -64.8619917 -17.0326463)",,,
138455125,False,,,Calle Suecia,residential,True,116.939,"LINESTRING (-64.8620589 -17.0317562, -64.8621441 -17.0307077)",,,
138455112,False,,,,residential,False,139.73399999999998,"LINESTRING (-64.8620589 -17.0317562, -64.8613779 -17.0317022, -64.8607485 -17.0316598)",,,
323603938,False,,,,tertiary,False,99.538,"LINESTRING (-64.8577679 -17.0332532, -64.8575679 -17.0323787)",,,
323603938,False,,,,tertiary,True,108.408,"LINESTRING (-64.8577679 -17.0332532, -64.8580211 -17.0341976)",,,
323604033,False,,,Calle Cochabamba,residential,False,192.616,"LINESTRING (-64.8577679 -17.0332532, -64.859576 -17.0333624)",,,
323604033,False,,,Calle Cochabamba,residential,True,73.665,"LINESTRING (-64.8577679 -17.0332532, -64.8570761 -17.0332163)",,,
138455135,False,,,,residential,False,143.711,"LINESTRING (-64.8604201 -17.0372255, -64.8617673 -17.0373314)",,,
138455135,False,,,,residential,True,9.279,"LINESTRING (-64.8604201 -17.0372255, -64.8603337 -17.0372137)",,,
288195275,True,2,,,primary,False,100.307,"LINESTRING (-64.8604201 -17.0372255, -64.8605191 -17.0381226)",,,
323603896,True,2,F15,Avenida Mortenson,primary,False,157.407,"LINESTRING (-64.8580211 -17.0341976, -64.8594938 -17.0343431)",,,
323603938,False,,,,tertiary,False,108.408,"LINESTRING (-64.8580211 -17.0341976, -64.8577679 -17.0332532)",,,
323603938,False,,,,tertiary,True,11.713,"LINESTRING (-64.8580211 -17.0341976, -64.8580239 -17.0343029)",,,
138455110,False,,,Calle Oruro,residential,False,138.534,"LINESTRING (-64.8619917 -17.0326463, -64.8606911 -17.0325705)",,,
138455125,False,,,Calle Suecia,residential,False,100.236,"LINESTRING (-64.8619917 -17.0326463, -64.8618911 -17.0335426)",,,
138455125,False,,,Calle Suecia,residential,True,99.232,"LINESTRING (-64.8619917 -17.0326463, -64.8620589 -17.0317562)",,,
138455110,False,,,Calle Oruro,residential,True,225.234,"LINESTRING (-64.8575679 -17.0323787, -64.8596824 -17.0325031)",,,
323603938,False,,,,tertiary,False,36.6,"LINESTRING (-64.8575679 -17.0323787, -64.8575219 -17.0320525)",,,
323603938,False,,,,tertiary,True,99.538,"LINESTRING (-64.8575679 -17.0323787, -64.8577679 -17.0332532)",,,
138455120,False,,,,residential,False,177.084,"LINESTRING (-64.860231 -17.0355504, -64.8618952 -17.0356165)",,,
288195275,True,2,,,primary,False,97.953,"LINESTRING (-64.860231 -17.0355504, -64.8603393 -17.0364252)",,,
323603918,False,,,,residential,True,8.999,"LINESTRING (-64.860231 -17.0355504, -64.8601472 -17.035539)",,,
323603899,False,,F15,RN15: Ivirgarzama-Puerto Villarroel,primary,True,70.386,"LINESTRING (-64.8559575 -17.0341285, -64.8552997 -17.034057)",80,,
323603899,False,,F15,RN15: Ivirgarzama-Puerto Villarroel,primary,False,99.514,"LINESTRING (-64.8559575 -17.0341285, -64.8565837 -17.0341841, -64.8568905 -17.0341707)",80,,
875994138,False,,,,residential,False,112.846,"LINESTRING (-64.8559575 -17.0341285, -64.8559788 -17.0339271, -64.8560632 -17.0331187)",,,
323603921,False,,,,residential,True,10.932,"LINESTRING (-64.8618331 -17.0345538, -64.8618906 -17.0346353)",,,
138455125,False,,,Calle Suecia,residential,True,113.388,"LINESTRING (-64.8618331 -17.0345538, -64.8618087 -17.0345052, -64.8618911 -17.0335426)",,,
138455109,False,,,,residential,False,157.641,"LINESTRING (-64.8618208 -17.0364837, -64.8603393 -17.0364252)",,,
174194664,False,,,,residential,False,96.752,"LINESTRING (-64.8618208 -17.0364837, -64.8618952 -17.0356165)",,,
174194664,False,,,,residential,True,94.432,"LINESTRING (-64.8618208 -17.0364837, -64.8617673 -17.0373314)",,,
138455135,False,,,,residential,True,143.711,"LINESTRING (-64.8617673 -17.0373314, -64.8604201 -17.0372255)",,,
174194664,False,,,,residential,False,94.432,"LINESTRING (-64.8617673 -17.0373314, -64.8618208 -17.0364837)",,,
174194664,False,,,,residential,True,99.92,"LINESTRING (-64.8617673 -17.0373314, -64.8617149 -17.0382286)",,,
138455109,False,,,,residential,True,157.641,"LINESTRING (-64.8603393 -17.0364252, -64.8618208 -17.0364837)",,,
288195275,True,2,,,primary,False,89.403,"LINESTRING (-64.8603393 -17.0364252, -64.8604201 -17.0372255)",,,
323603915,False,,,,residential,False,10.616,"LINESTRING (-64.8603393 -17.0364252, -64.8602397 -17.0364184)",,,
138455117,False,,,,residential,False,129.465,"LINESTRING (-64.8570761 -17.0332163, -64.857112 -17.0320525)",,,
323604033,False,,,Calle Cochabamba,residential,False,73.665,"LINESTRING (-64.8570761 -17.0332163, -64.8577679 -17.0332532)",,,
323604033,False,,,Calle Cochabamba,residential,True,108.235,"LINESTRING (-64.8570761 -17.0332163, -64.8560632 -17.0331187)",,,
138455117,False,,,,residential,True,99.101,"LINESTRING (-64.8570761 -17.0332163, -64.8570323 -17.0338007, -64.8570117 -17.0341054)",,,
138455120,False,,,,residential,True,177.084,"LINESTRING (-64.8618952 -17.0356165, -64.860231 -17.0355504)",,,
174194664,False,,,,residential,True,96.752,"LINESTRING (-64.8618952 -17.0356165, -64.8618208 -17.0364837)",,,
174194664,False,,,,residential,False,109.984,"LINESTRING (-64.8618952 -17.0356165, -64.861928 -17.0349883, -64.8619167 -17.0346767, -64.8618906 -17.0346353)",,,
138455112,False,,,,residential,True,244.318,"LINESTRING (-64.857492 -17.0314955, -64.8597869 -17.0316093)",,,
323603938,False,,,,tertiary,False,19.384,"LINESTRING (-64.857492 -17.0314955, -64.8574793 -17.0313216)",,,
323603938,False,,,,tertiary,True,62.017,"LINESTRING (-64.857492 -17.0314955, -64.8575219 -17.0320525)",,,
323603896,True,2,F15,Avenida Mortenson,primary,False,14.791,"LINESTRING (-64.8568905 -17.0341707, -64.8570117 -17.0341054)",,,
323603899,False,,F15,RN15: Ivirgarzama-Puerto Villarroel,primary,True,99.514,"LINESTRING (-64.8568905 -17.0341707, -64.8565837 -17.0341841, -64.8559575 -17.0341285)",80,,
174189190,False,,,,residential,False,58.82,"LINESTRING (-64.8541928 -17.0351973, -64.8540482 -17.0355275, -64.8539808 -17.0356859)",,,
174189190,False,,,,residential,True,113.512,"LINESTRING (-64.8541928 -17.0351973, -64.8544684 -17.0345675, -64.8545621 -17.0343963, -64.8546213 -17.0342629)",,,
429001017,False,,,,residential,False,255.757,"LINESTRING (-64.8541928 -17.0351973, -64.8545936 -17.0352308, -64.8549531 -17.0352494, -64.8551737 -17.0352574, -64.8552595 -17.0352651, -64.8552971 -17.0352394, -64.8553065 -17.035133, -64.8552629 -17.0350183, -64.8551382 -17.0347362, -64.8549725 -17.0345092, -64.8548645 -17.0344008, -64.8547452 -17.0343163, -64.8546213 -17.0342629)",,,
174189190,False,,,,residential,False,35.916000000000004,"LINESTRING (-64.8547924 -17.0339856, -64.8547316 -17.0340981, -64.8546787 -17.0341925, -64.8546213 -17.0342629)",,,
