osmid,oneway,ref,name,highway,reversed,length,lanes,maxspeed,geometry,junction
169131703,True,F10,RN10: San Ramón-San Javier,trunk,False,50.667,,,"LINESTRING (-62.5003903 -16.6141546, -62.5008658 -16.6141569)",
526927234,False,F10,RN10: San Ramón-San Javier,trunk,True,12.568,2,,"LINESTRING (-62.5003903 -16.6141546, -62.5002859 -16.614102)",
169131725,False,,,residential,False,90.772,,,"LINESTRING (-62.4972408 -16.6110583, -62.4978684 -16.6105063)",
169131725,False,,,residential,True,119.879,,,"LINESTRING (-62.4972408 -16.6110583, -62.4963973 -16.6117717)",
526927234,False,F10,RN10: San Ramón-San Javier,trunk,False,95.744,2,,"LINESTRING (-62.4972408 -16.6110583, -62.4978295 -16.6117088)",
169131725,False,,,residential,True,90.772,,,"LINESTRING (-62.4978684 -16.6105063, -62.4972408 -16.6110583)",
169131731,False,,,residential,False,95.955,,,"LINESTRING (-62.4978684 -16.6105063, -62.4984691 -16.6111492)",
169131715,False,,,residential,False,115.149,,,"LINESTRING (-62.5018196 -16.6106349, -62.5027417 -16.6111749)",
169131717,False,,,residential,True,98.375,,,"LINESTRING (-62.5018196 -16.6106349, -62.5013591 -16.6114017)",
169131679,False,,,residential,True,51.701,,,"LINESTRING (-62.500374 -16.610722, -62.5007474 -16.6110189)",
169131707,False,,,residential,True,183.772,,,"LINESTRING (-62.500374 -16.610722, -62.4990668 -16.6118001)",
169131679,False,,,residential,False,51.701,,,"LINESTRING (-62.5007474 -16.6110189, -62.500374 -16.610722)",
169131679,False,,,residential,True,77.847,,,"LINESTRING (-62.5007474 -16.6110189, -62.5013591 -16.6114017)",
169131722,False,,,residential,True,200.36,,,"LINESTRING (-62.5007474 -16.6110189, -62.4997949 -16.6125725)",
169131709,False,,,residential,True,92.286,,,"LINESTRING (-62.4984691 -16.6111492, -62.4978295 -16.6117088)",
169131731,False,,,residential,False,96.408,,,"LINESTRING (-62.4984691 -16.6111492, -62.4990668 -16.6118001)",
169131731,False,,,residential,True,95.955,,,"LINESTRING (-62.4984691 -16.6111492, -62.4978684 -16.6105063)",
