osmid,oneway,name,highway,reversed,length,geometry,lanes,maxspeed
33025744,True,Calle 21 de Mayo,residential,False,113.143,"LINESTRING (-63.1838502 -17.7818689, -63.1839653 -17.7808573)",2,
172668821,True,Calle Florida,residential,False,113.185,"LINESTRING (-63.1838502 -17.7818689, -63.1835787 -17.7818518, -63.1832997 -17.7818342, -63.1832623 -17.781832, -63.1827834 -17.7818042)",3,
60104653,True,Calle Buenos Aires,residential,False,90.646,"LINESTRING (-63.1850765 -17.7809582, -63.1855156 -17.7809913, -63.18593 -17.7810216)",2,
534147192,True,Calle España,residential,False,109.633,"LINESTRING (-63.1850765 -17.7809582, -63.1850279 -17.7814521, -63.1849878 -17.7819405)",,
442484692,True,Calle Seoane,residential,False,117.457,"LINESTRING (-63.1851567 -17.7801272, -63.1840609 -17.7799629)",2,
534147192,True,Calle España,residential,False,92.792,"LINESTRING (-63.1851567 -17.7801272, -63.1850765 -17.7809582)",,
612099879,True,Calle Seoane,residential,False,117.885,"LINESTRING (-63.1840609 -17.7799629, -63.1829652 -17.7797749)",2,
668980445,True,Calle 21 de Mayo,residential,False,107.678,"LINESTRING (-63.1840609 -17.7799629, -63.1841844 -17.7790017)",2,
669354105,True,Calle Cochabamba,residential,False,94.327,"LINESTRING (-63.1781533 -17.7845422, -63.1780142 -17.7853801)",2,
674094456,True,Calle Ballivián,residential,False,112.913,"LINESTRING (-63.1781533 -17.7845422, -63.1792152 -17.7846355)",1,
669344358,True,Calle La Paz,residential,False,114.692,"LINESTRING (-63.1792152 -17.7846355, -63.1793371 -17.7836106)",2,
669351594,True,Calle Ballivián,residential,False,116.407,"LINESTRING (-63.1792152 -17.7846355, -63.1795661 -17.7846628, -63.1795807 -17.784664, -63.1802633 -17.7847176, -63.1803109 -17.7847213)",1,
160459795,True,Calle Chuquisaca,residential,False,117.72,"LINESTRING (-63.1803109 -17.7847213, -63.1803058 -17.7847735, -63.1802087 -17.7857755)",2,
669351594,True,Calle Ballivián,residential,False,121.75,"LINESTRING (-63.1803109 -17.7847213, -63.1803702 -17.7847261, -63.1812469 -17.7847974, -63.1814566 -17.7848146)",1,
172668421,True,Calle Ingavi,residential,False,111.415,"LINESTRING (-63.1814566 -17.7848146, -63.1815082 -17.7848182, -63.1821442 -17.7848622, -63.1824351 -17.7848823, -63.1825061 -17.7848872)",3,
440377416,True,Calle René Moreno,residential,False,118.21300000000001,"LINESTRING (-63.1814566 -17.7848146, -63.1814629 -17.7847453, -63.1815495 -17.783799, -63.1815535 -17.7837555)",2,
669354105,True,Calle Cochabamba,residential,False,106.163,"LINESTRING (-63.1780142 -17.7853801, -63.1777971 -17.7863122)",2,
160460029,True,Calle Ñuflo de Chávez,residential,False,109.759,"LINESTRING (-63.1790339 -17.7855578, -63.1782709 -17.7854248, -63.1780142 -17.7853801)",,
439820009,True,Calle La Paz,residential,False,104.524,"LINESTRING (-63.1790339 -17.7855578, -63.1790535 -17.7855036, -63.1791493 -17.7851109, -63.1792152 -17.7846355)",2,
160459795,True,Calle Chuquisaca,residential,False,107.848,"LINESTRING (-63.1802087 -17.7857755, -63.1801248 -17.7867421)",2,
160460029,True,Calle Ñuflo de Chávez,residential,False,126.722,"LINESTRING (-63.1802087 -17.7857755, -63.1790339 -17.7855578)",,
160459797,True,Calle Cochabamba,residential,False,76.238,"LINESTRING (-63.1777971 -17.7863122, -63.1776438 -17.7869821)",2,
669354104,True,Calle Warnes,residential,False,113.02199999999999,"LINESTRING (-63.1777971 -17.7863122, -63.1783155 -17.7864334, -63.1788396 -17.7865291)",,
160459795,True,Calle Chuquisaca,residential,False,94.648,"LINESTRING (-63.1801248 -17.7867421, -63.1800406 -17.7875895)",2,
669354104,True,Calle Warnes,residential,False,118.809,"LINESTRING (-63.1801248 -17.7867421, -63.1812321 -17.7869151)",,
160459797,True,Calle Cochabamba,residential,False,109.515,"LINESTRING (-63.1776438 -17.7869821, -63.1774406 -17.7879478)",2,
439820009,True,Calle La Paz,residential,False,80.695,"LINESTRING (-63.1786859 -17.7872399, -63.1788396 -17.7865291)",2,
674513530,True,Calle Republiquetas,residential,False,114.0,"LINESTRING (-63.1786859 -17.7872399, -63.1776438 -17.7869821)",,
160459871,True,Calle Republiquetas,residential,False,148.61,"LINESTRING (-63.1800406 -17.7875895, -63.1786859 -17.7872399)",,
534147192,True,Calle España,residential,False,101.697,"LINESTRING (-63.1852506 -17.779217, -63.1851704 -17.7799948, -63.1851567 -17.7801272)",,
669356008,True,Calle Cuéllar,residential,False,98.845,"LINESTRING (-63.1852506 -17.779217, -63.1856499 -17.7792928, -63.1861658 -17.7793922)",2,
669356007,True,Calle Cuéllar,residential,False,115.405,"LINESTRING (-63.1841844 -17.7790017, -63.1846812 -17.779102, -63.1852506 -17.779217)",2,
441471890,True,Calle Quijarro,residential,False,126.931,"LINESTRING (-63.1774515 -17.7814108, -63.1776642 -17.7802874)",,
669198187,True,Calle Aroma,residential,False,112.271,"LINESTRING (-63.178509 -17.7814992, -63.1783711 -17.7825003)",2,
669363948,True,Calle Arenales,residential,False,112.402,"LINESTRING (-63.178509 -17.7814992, -63.1774515 -17.7814108)",,
288266782,True,Calle Arenales,residential,False,108.18600000000002,"LINESTRING (-63.1806142 -17.7816563, -63.1801065 -17.7816299, -63.1800867 -17.7816289, -63.1797487 -17.7816047, -63.1795947 -17.7815926)",,
302424716,True,Calle Beni,residential,False,114.82,"LINESTRING (-63.1806142 -17.7816563, -63.1805758 -17.7822145, -63.1805434 -17.7826867)",2,
669354107,True,Calle Charcas,residential,False,122.04,"LINESTRING (-63.1787697 -17.7804566, -63.1799188 -17.7805419)",,
669363949,True,Calle Aroma,residential,False,119.173,"LINESTRING (-63.1787697 -17.7804566, -63.178509 -17.7814992)",2,
28408324,True,Calle Murillo,residential,False,138.651,"LINESTRING (-63.1799188 -17.7805419, -63.1803028 -17.7793498)",2,
669354107,True,Calle Charcas,residential,False,88.731,"LINESTRING (-63.1799188 -17.7805419, -63.1807526 -17.7806217)",,
302424716,True,Calle Beni,residential,False,115.972,"LINESTRING (-63.1807526 -17.7806217, -63.1806142 -17.7816563)",2,
669354107,True,Calle Charcas,residential,False,110.62899999999999,"LINESTRING (-63.1807526 -17.7806217, -63.1811068 -17.7806516, -63.1817944 -17.7806967)",,
669354106,True,Calle Aroma,residential,False,153.767,"LINESTRING (-63.1791005 -17.7791101, -63.1789857 -17.7795824, -63.1789721 -17.7796385, -63.1787697 -17.7804566)",2,
302424715,True,Calle Caballero,residential,False,130.065,"LINESTRING (-63.1803028 -17.7793498, -63.1791005 -17.7791101)",,
302424716,True,Calle Beni,residential,False,129.413,"LINESTRING (-63.180935 -17.7794709, -63.1807526 -17.7806217)",2,
439910038,True,Calle Caballero,residential,False,68.281,"LINESTRING (-63.180935 -17.7794709, -63.1803028 -17.7793498)",,
302424716,True,Calle Beni,residential,False,111.95100000000001,"LINESTRING (-63.1805434 -17.7826867, -63.1804298 -17.7836265, -63.1804202 -17.7836866)",2,
736460378,True,Calle Bolívar,residential,False,115.119,"LINESTRING (-63.1805434 -17.7826867, -63.1815797 -17.7827362, -63.1816292 -17.7827396)",3,
288266784,True,Calle Independencia,residential,False,132.872,"LINESTRING (-63.1824149 -17.7859011, -63.1823009 -17.7870911)",2,
23262948,True,Calle Suárez de Figueroa,residential,False,113.831,"LINESTRING (-63.1824149 -17.7859011, -63.1818134 -17.7858904, -63.18134 -17.785882)",1,
288266782,True,Calle Arenales,residential,False,116.285,"LINESTRING (-63.1817094 -17.7817341, -63.1806142 -17.7816563)",,
23262895,True,Calle 24 de Septiembre,residential,False,115.704,"LINESTRING (-63.1817094 -17.7817341, -63.1817573 -17.7811498, -63.1817944 -17.7806967)",3,
439820009,True,Calle La Paz,residential,False,109.946,"LINESTRING (-63.1788396 -17.7865291, -63.1790339 -17.7855578)",2,
669354104,True,Calle Warnes,residential,False,138.123,"LINESTRING (-63.1788396 -17.7865291, -63.1798935 -17.7867038, -63.1801248 -17.7867421)",,
30658391,True,Calle Valle Grande,residential,False,120.99,"LINESTRING (-63.1857092 -17.7851148, -63.1857689 -17.7840282)",2,
33026805,True,Calle Cordillera,residential,False,66.145,"LINESTRING (-63.1867087 -17.7872574, -63.1864404 -17.7877946)",1,
1193834510,True,Calle Isabel La Católica,residential,False,168.336,"LINESTRING (-63.1867087 -17.7872574, -63.1864034 -17.7868745, -63.1859121 -17.7863384, -63.1856939 -17.7860929)",1,
23262948,True,Calle Suárez de Figueroa,residential,False,80.962,"LINESTRING (-63.1856939 -17.7860929, -63.1849298 -17.7860651)",1,
30658391,True,Calle Valle Grande,residential,False,109.733,"LINESTRING (-63.1856939 -17.7860929, -63.1857459 -17.7859419, -63.1857374 -17.7856063, -63.1857275 -17.7854011, -63.1857092 -17.7851148)",2,
33024865,True,Calle Santa Bárbara,residential,False,111.993,"LINESTRING (-63.1857869 -17.783001, -63.1858497 -17.7819956)",,
33024865,True,Calle Santa Bárbara,residential,False,108.637,"LINESTRING (-63.1858497 -17.7819956, -63.18593 -17.7810216)",,
172668821,True,Calle Florida,residential,False,91.466,"LINESTRING (-63.1858497 -17.7819956, -63.1849878 -17.7819405)",3,
29071458,True,Calle Ayacucho,residential,False,104.359,"LINESTRING (-63.1857689 -17.7840282, -63.1847855 -17.7839653)",4,
33024865,True,Calle Santa Bárbara,residential,False,114.235,"LINESTRING (-63.1857689 -17.7840282, -63.1857869 -17.783001)",,
669354105,True,Calle Cochabamba,residential,False,112.69,"LINESTRING (-63.1782517 -17.7835331, -63.1781533 -17.7845422)",2,
160459803,True,Calle Colón,residential,False,101.934,"LINESTRING (-63.1846546 -17.7851414, -63.1845349 -17.786051)",2,
38724482,True,Calle Isabel La Católica,residential,False,153.362,"LINESTRING (-63.1846546 -17.7851414, -63.1851186 -17.7854772, -63.1854416 -17.7858343, -63.1856939 -17.7860929)",1,
1194102421,True,Calle Republiquetas,residential,False,115.003,"LINESTRING (-63.181086 -17.7878702, -63.1800406 -17.7875895)",2,
440377416,True,Calle René Moreno,residential,False,107.32300000000001,"LINESTRING (-63.181086 -17.7878702, -63.181186 -17.7872168, -63.1812321 -17.7869151)",2,
30658391,True,Calle Valle Grande,residential,False,75.886,"LINESTRING (-63.1853447 -17.7875822, -63.1854697 -17.7869102)",2,
213203876,True,Calle Pari,residential,False,94.657,"LINESTRING (-63.1853447 -17.7875822, -63.1862237 -17.7877375)",,30
30658391,True,Calle Valle Grande,residential,False,93.929,"LINESTRING (-63.1854697 -17.7869102, -63.1856939 -17.7860929)",2,
504830176,True,Calle Camiri,residential,False,115.654,"LINESTRING (-63.1854697 -17.7869102, -63.1849159 -17.7862931, -63.1849298 -17.7860651)",,
441471890,True,Calle Quijarro,residential,False,108.593,"LINESTRING (-63.1776642 -17.7802874, -63.1778821 -17.7793331)",,
738057787,True,Calle Charcas,residential,False,118.557,"LINESTRING (-63.1776642 -17.7802874, -63.1787697 -17.7804566)",2,
60104653,True,Calle Buenos Aires,residential,False,115.74,"LINESTRING (-63.1828753 -17.7807791, -63.1839653 -17.7808573)",2,
471929578,True,Calle Libertad,residential,False,114.39999999999999,"LINESTRING (-63.1828753 -17.7807791, -63.182808 -17.7815304, -63.1827834 -17.7818042)",3,20
33025744,True,Calle 21 de Mayo,residential,False,99.967,"LINESTRING (-63.1839653 -17.7808573, -63.1840609 -17.7799629)",2,
60104653,True,Calle Buenos Aires,residential,False,118.199,"LINESTRING (-63.1839653 -17.7808573, -63.184298 -17.7808819, -63.1850765 -17.7809582)",2,
28408324,True,Calle Murillo,residential,False,121.784,"LINESTRING (-63.1795947 -17.7815926, -63.1797103 -17.7811883, -63.1799188 -17.7805419)",2,
