osmid,oneway,lanes,name,highway,maxspeed,reversed,length,ref,junction,geometry
509740555,False,2,Avenida Principal Patacamaya,trunk,40,False,52.179,,,"LINESTRING (-67.9175632 -17.2304414, -67.9172996 -17.2308374)"
509740555,False,2,Avenida Principal Patacamaya,trunk,40,True,70.876,,,"LINESTRING (-67.9175632 -17.2304414, -67.9179186 -17.2299019)"
102537742,True,2,,trunk,40,False,25.545,F4,circular,"LINESTRING (-67.9175632 -17.2304414, -67.9176042 -17.2304834, -67.9176334 -17.2305336, -67.917649 -17.2305891, -67.9176502 -17.2306465)"
102537742,True,2,,trunk,40,False,9.248999999999999,F4,circular,"LINESTRING (-67.9171571 -17.2305979, -67.9171655 -17.2305571, -67.9171812 -17.2305183)"
139215614,False,2,RN4: Patacamaya-Curahuara de Carangas,trunk,80,True,113.591,F4,,"LINESTRING (-67.9201035 -17.2337214, -67.9207784 -17.2345139)"
1192153619,False,,Calle 21 de Septiembre,residential,,False,12.926,,,"LINESTRING (-67.9201035 -17.2337214, -67.9200125 -17.2337986)"
1192153619,False,,Calle 21 de Septiembre,residential,,True,14.428,,,"LINESTRING (-67.9201035 -17.2337214, -67.9202093 -17.23364)"
"[1192153616, 139215614]",False,"['2', '4']",RN4: Patacamaya-Curahuara de Carangas,trunk,80,False,362.215,F4,,"LINESTRING (-67.9201035 -17.2337214, -67.9185628 -17.2318743, -67.9179652 -17.2311838)"
1192153614,False,,Calle 23 de Marzo,residential,,False,13.938,,,"LINESTRING (-67.9179652 -17.2311838, -67.9178932 -17.2312886)"
1192153615,False,,Calle 23 de Marzo,residential,,True,19.534,,,"LINESTRING (-67.9179652 -17.2311838, -67.9180678 -17.231038)"
306452586,True,1,RN4: Patacamaya-Curahuara de Carangas,trunk,60,False,73.962,F4,,"LINESTRING (-67.9179652 -17.2311838, -67.9178305 -17.2310942, -67.9176936 -17.2309833, -67.9175469 -17.2309053, -67.9173691 -17.230857)"
"[1192153616, 139215614]",False,"['2', '4']",RN4: Patacamaya-Curahuara de Carangas,trunk,80,True,362.215,F4,,"LINESTRING (-67.9179652 -17.2311838, -67.9185628 -17.2318743, -67.9201035 -17.2337214)"
102537728,True,1,RN4: Patacamaya-Curahuara de Carangas,trunk,60,False,68.642,F4,,"LINESTRING (-67.9176502 -17.2306465, -67.9177504 -17.230847, -67.9178847 -17.231034, -67.9179652 -17.2311838)"
102537742,True,2,,trunk,40,False,42.186,F4,circular,"LINESTRING (-67.9176502 -17.2306465, -67.9176297 -17.2307198, -67.9175859 -17.2307831, -67.9175233 -17.2308299, -67.9174485 -17.2308554, -67.9173691 -17.230857)"
509740555,False,2,Avenida Principal Patacamaya,trunk,40,False,67.791,,,"LINESTRING (-67.9172996 -17.2308374, -67.9169695 -17.2313592)"
509740555,False,2,Avenida Principal Patacamaya,trunk,40,True,52.179,,,"LINESTRING (-67.9172996 -17.2308374, -67.9175632 -17.2304414)"
102537742,True,2,,trunk,40,False,32.555,F4,circular,"LINESTRING (-67.9172996 -17.2308374, -67.9172359 -17.2307968, -67.9171882 -17.2307395, -67.9171611 -17.230671, -67.9171571 -17.2305979)"
102537742,True,2,,trunk,40,False,7.716,F4,circular,"LINESTRING (-67.9173691 -17.230857, -67.9173336 -17.2308496, -67.9172996 -17.2308374)"
127872729,False,,Avenida 16 de Julio,residential,,False,104.565,,,"LINESTRING (-67.9214439 -17.2355113, -67.9206124 -17.2360149)"
127872729,False,,Avenida 16 de Julio,residential,,True,11.147,,,"LINESTRING (-67.9214439 -17.2355113, -67.9215306 -17.2354548)"
1192147170,False,,,residential,,False,108.166,,,"LINESTRING (-67.9214439 -17.2355113, -67.9220834 -17.2362684)"
1192147170,False,,,residential,,True,130.751,,,"LINESTRING (-67.9214439 -17.2355113, -67.9206818 -17.2345878)"
127872715,False,,Calle 21 de Septiembre,residential,,False,98.82,,,"LINESTRING (-67.9175454 -17.2356375, -67.9168251 -17.2362001)"
127872715,False,,Calle 21 de Septiembre,residential,,True,112.44,,,"LINESTRING (-67.9175454 -17.2356375, -67.9183799 -17.2350152)"
127872721,False,,,residential,,False,116.673,,,"LINESTRING (-67.9175454 -17.2356375, -67.9168702 -17.2348098)"
127872721,False,,,residential,,True,110.508,,,"LINESTRING (-67.9175454 -17.2356375, -67.9182039 -17.236407)"
127872715,False,,Calle 21 de Septiembre,residential,,False,112.44,,,"LINESTRING (-67.9183799 -17.2350152, -67.9175454 -17.2356375)"
129286470,False,,,residential,,False,115.373,,,"LINESTRING (-67.9183799 -17.2350152, -67.9177124 -17.2341966)"
129286470,False,,,residential,,True,111.081,,,"LINESTRING (-67.9183799 -17.2350152, -67.9190597 -17.2357744)"
1192153617,False,,Calle 21 de Septiembre,residential,,True,114.792,,,"LINESTRING (-67.9183799 -17.2350152, -67.9192241 -17.2343705)"
127872729,False,,Avenida 16 de Julio,residential,,False,112.325,,,"LINESTRING (-67.9206124 -17.2360149, -67.9197148 -17.2365492)"
127872729,False,,Avenida 16 de Julio,residential,,True,104.565,,,"LINESTRING (-67.9206124 -17.2360149, -67.9214439 -17.2355113)"
129286478,False,,,residential,,False,124.333,,,"LINESTRING (-67.9206124 -17.2360149, -67.9198843 -17.2351393)"
129286478,False,,,residential,,True,156.795,,,"LINESTRING (-67.9206124 -17.2360149, -67.9215021 -17.2371402)"
127872729,False,,Avenida 16 de Julio,residential,,False,11.147,,,"LINESTRING (-67.9215306 -17.2354548, -67.9214439 -17.2355113)"
139215614,False,2,RN4: Patacamaya-Curahuara de Carangas,trunk,80,False,131.635,F4,,"LINESTRING (-67.9215306 -17.2354548, -67.9207784 -17.2345139)"
139215614,False,2,RN4: Patacamaya-Curahuara de Carangas,trunk,80,True,100.2,F4,,"LINESTRING (-67.9215306 -17.2354548, -67.9221144 -17.2361627)"
148739637,False,,Avenida 16 de Julio,residential,,False,15.828,,,"LINESTRING (-67.9215306 -17.2354548, -67.9216591 -17.2353827)"
127872716,False,,Calle Pacajes,residential,,False,105.879,,,"LINESTRING (-67.9174002 -17.2369779, -67.9168251 -17.2362001)"
129286420,False,,Calle Copacabana,residential,,True,106.373,,,"LINESTRING (-67.9174002 -17.2369779, -67.9182039 -17.236407)"
127872721,False,,,residential,,True,126.085,,,"LINESTRING (-67.9161556 -17.2339043, -67.9168702 -17.2348098)"
1192147169,False,,Calle 23 de Marzo,residential,,False,110.146,,,"LINESTRING (-67.9161556 -17.2339043, -67.9167457 -17.2330897)"
127872729,False,,Avenida 16 de Julio,residential,,False,35.912,,,"LINESTRING (-67.9190737 -17.2369656, -67.9187963 -17.2371503)"
127872729,False,,Avenida 16 de Julio,residential,,True,82.338,,,"LINESTRING (-67.9190737 -17.2369656, -67.9197148 -17.2365492)"
129286470,False,,,residential,,True,52.266,,,"LINESTRING (-67.9167457 -17.2330897, -67.9170823 -17.2334326)"
1192147169,False,,Calle 23 de Marzo,residential,,False,122.631,,,"LINESTRING (-67.9167457 -17.2330897, -67.9173343 -17.2321409)"
1192147169,False,,Calle 23 de Marzo,residential,,True,110.146,,,"LINESTRING (-67.9167457 -17.2330897, -67.9161556 -17.2339043)"
1192147170,False,,,residential,,False,112.932,,,"LINESTRING (-67.9200125 -17.2337986, -67.9206818 -17.2345878)"
1192147170,False,,,residential,,True,118.042,,,"LINESTRING (-67.9200125 -17.2337986, -67.9193181 -17.2329697)"
1192153617,False,,Calle 21 de Septiembre,residential,,False,105.142,,,"LINESTRING (-67.9200125 -17.2337986, -67.9192241 -17.2343705)"
1192153619,False,,Calle 21 de Septiembre,residential,,True,12.926,,,"LINESTRING (-67.9200125 -17.2337986, -67.9201035 -17.2337214)"
127872715,False,,Calle 21 de Septiembre,residential,,True,113.309,,,"LINESTRING (-67.9160016 -17.2368477, -67.9165503 -17.2364044, -67.9168251 -17.2362001)"
1192147169,False,,Calle 23 de Marzo,residential,,True,111.826,,,"LINESTRING (-67.9178932 -17.2312886, -67.9173343 -17.2321409)"
1192147170,False,,,residential,,False,129.016,,,"LINESTRING (-67.9178932 -17.2312886, -67.9186551 -17.2321923)"
1192153614,False,,Calle 23 de Marzo,residential,,True,13.938,,,"LINESTRING (-67.9178932 -17.2312886, -67.9179652 -17.2311838)"
129286478,False,,,residential,,False,116.745,,,"LINESTRING (-67.9192241 -17.2343705, -67.9185509 -17.2335405)"
129286478,False,,,residential,,True,110.563,,,"LINESTRING (-67.9192241 -17.2343705, -67.9198843 -17.2351393)"
1192153617,False,,Calle 21 de Septiembre,residential,,False,114.792,,,"LINESTRING (-67.9192241 -17.2343705, -67.9183799 -17.2350152)"
1192153617,False,,Calle 21 de Septiembre,residential,,True,105.142,,,"LINESTRING (-67.9192241 -17.2343705, -67.9200125 -17.2337986)"
127872721,False,,,residential,,False,103.872,,,"LINESTRING (-67.9187963 -17.2371503, -67.9182039 -17.236407)"
127872729,False,,Avenida 16 de Julio,residential,,True,35.912,,,"LINESTRING (-67.9187963 -17.2371503, -67.9190737 -17.2369656)"
127872729,False,,Avenida 16 de Julio,residential,,False,82.338,,,"LINESTRING (-67.9197148 -17.2365492, -67.9190737 -17.2369656)"
127872729,False,,Avenida 16 de Julio,residential,,True,112.325,,,"LINESTRING (-67.9197148 -17.2365492, -67.9206124 -17.2360149)"
129286470,False,,,residential,,False,110.738,,,"LINESTRING (-67.9197148 -17.2365492, -67.9190597 -17.2357744)"
127872716,False,,Calle Pacajes,residential,,False,42.609,,,"LINESTRING (-67.9161909 -17.2353251, -67.9159508 -17.2350181)"
127872716,False,,Calle Pacajes,residential,,True,118.334,,,"LINESTRING (-67.9161909 -17.2353251, -67.9168251 -17.2362001)"
129286411,False,,Calle Batallón Colorados,residential,,False,92.129,,,"LINESTRING (-67.9161909 -17.2353251, -67.9168702 -17.2348098)"
127872715,False,,Calle 21 de Septiembre,residential,,True,98.82,,,"LINESTRING (-67.9168251 -17.2362001, -67.9175454 -17.2356375)"
127872716,False,,Calle Pacajes,residential,,False,118.334,,,"LINESTRING (-67.9168251 -17.2362001, -67.9161909 -17.2353251)"
127872716,False,,Calle Pacajes,residential,,True,105.879,,,"LINESTRING (-67.9168251 -17.2362001, -67.9174002 -17.2369779)"
127872715,False,,Calle 21 de Septiembre,residential,,False,113.309,,,"LINESTRING (-67.9168251 -17.2362001, -67.9165503 -17.2364044, -67.9160016 -17.2368477)"
129286420,False,,Calle Copacabana,residential,,False,114.928,,,"LINESTRING (-67.9190597 -17.2357744, -67.9182039 -17.236407)"
129286420,False,,Calle Copacabana,residential,,True,112.501,,,"LINESTRING (-67.9190597 -17.2357744, -67.9198843 -17.2351393)"
129286470,False,,,residential,,False,111.081,,,"LINESTRING (-67.9190597 -17.2357744, -67.9183799 -17.2350152)"
129286470,False,,,residential,,True,110.738,,,"LINESTRING (-67.9190597 -17.2357744, -67.9197148 -17.2365492)"
127872721,False,,,residential,,False,126.085,,,"LINESTRING (-67.9168702 -17.2348098, -67.9161556 -17.2339043)"
127872721,False,,,residential,,True,116.673,,,"LINESTRING (-67.9168702 -17.2348098, -67.9175454 -17.2356375)"
129286411,False,,Calle Batallón Colorados,residential,,False,112.469,,,"LINESTRING (-67.9168702 -17.2348098, -67.9177124 -17.2341966)"
129286411,False,,Calle Batallón Colorados,residential,,True,92.129,,,"LINESTRING (-67.9168702 -17.2348098, -67.9161909 -17.2353251)"
129286411,False,,Calle Batallón Colorados,residential,,False,103.283,,,"LINESTRING (-67.9185509 -17.2335405, -67.9193181 -17.2329697)"
129286411,False,,Calle Batallón Colorados,residential,,True,115.12,,,"LINESTRING (-67.9185509 -17.2335405, -67.9177124 -17.2341966)"
129286478,False,,,residential,,False,110.417,,,"LINESTRING (-67.9185509 -17.2335405, -67.9178992 -17.2327668)"
129286478,False,,,residential,,True,116.745,,,"LINESTRING (-67.9185509 -17.2335405, -67.9192241 -17.2343705)"
129286478,False,,,residential,,True,91.886,,,"LINESTRING (-67.9173343 -17.2321409, -67.9178992 -17.2327668)"
1192147169,False,,Calle 23 de Marzo,residential,,False,111.826,,,"LINESTRING (-67.9173343 -17.2321409, -67.9178932 -17.2312886)"
1192147169,False,,Calle 23 de Marzo,residential,,True,122.631,,,"LINESTRING (-67.9173343 -17.2321409, -67.9167457 -17.2330897)"
127872721,False,,,residential,,False,110.508,,,"LINESTRING (-67.9182039 -17.236407, -67.9175454 -17.2356375)"
