osmid,name,highway,oneway,reversed,length,lanes,ref,maxspeed,geometry
618633487,Calle Ballivian,tertiary,False,False,121.756,,,,"LINESTRING (-63.2331583 -17.1151364, -63.2320339 -17.1149262)"
619895630,RN10: Guabirá-Colonia Piraí,trunk,False,False,117.394,2,F10,80,"LINESTRING (-63.2331583 -17.1151364, -63.2336182 -17.1141765)"
619895630,RN10: Guabirá-Colonia Piraí,trunk,False,True,114.18,2,F10,80,"LINESTRING (-63.2331583 -17.1151364, -63.2330533 -17.1154232, -63.2329426 -17.1157419, -63.2328409 -17.1161167)"
250542341,Calle Yacuiba,residential,False,False,118.013,,,,"LINESTRING (-63.2287208 -17.1153614, -63.2289284 -17.1143188)"
250542349,Calle Fortunato Chavez,residential,False,False,111.172,,,,"LINESTRING (-63.2287208 -17.1153614, -63.2297414 -17.1155809)"
250542348,Calle San Isidro,residential,False,False,115.772,,,,"LINESTRING (-63.23416 -17.1153451, -63.2343686 -17.1143232)"
250542348,Calle San Isidro,residential,False,True,113.848,,,,"LINESTRING (-63.23416 -17.1153451, -63.2339388 -17.1163469)"
618633486,Calle Junin,tertiary,False,False,108.952,,,,"LINESTRING (-63.23416 -17.1153451, -63.2331583 -17.1151364)"
618633486,Calle Junin,tertiary,False,True,111.252,,,,"LINESTRING (-63.23416 -17.1153451, -63.2351864 -17.115542)"
250542349,Calle Fortunato Chavez,residential,False,False,109.819,,,,"LINESTRING (-63.2297414 -17.1155809, -63.2307609 -17.1157423)"
250542349,Calle Fortunato Chavez,residential,False,True,111.172,,,,"LINESTRING (-63.2297414 -17.1155809, -63.2287208 -17.1153614)"
250542356,Calle Independencia,residential,False,False,110.639,,,,"LINESTRING (-63.2297414 -17.1155809, -63.2295227 -17.1165537)"
250542356,Calle Independencia,residential,False,True,117.059,,,,"LINESTRING (-63.2297414 -17.1155809, -63.229961 -17.1145493)"
250542354,Calle Darío Bejarano,residential,False,False,114.773,,,,"LINESTRING (-63.2351864 -17.115542, -63.2349744 -17.1165541)"
250542354,Calle Darío Bejarano,residential,False,True,113.504,,,,"LINESTRING (-63.2351864 -17.115542, -63.235416 -17.1145451)"
618633486,Calle Junin,tertiary,False,False,111.252,,,,"LINESTRING (-63.2351864 -17.115542, -63.23416 -17.1153451)"
618633486,Calle Junin,tertiary,False,True,112.011,,,,"LINESTRING (-63.2351864 -17.115542, -63.2362206 -17.1157364)"
250542345,,residential,False,False,113.968,,,,"LINESTRING (-63.2307609 -17.1157423, -63.230584 -17.1167532)"
250542345,,residential,False,True,112.849,,,,"LINESTRING (-63.2307609 -17.1157423, -63.2310085 -17.1147554)"
250542349,Calle Fortunato Chavez,residential,False,False,112.406,,,,"LINESTRING (-63.2307609 -17.1157423, -63.2318012 -17.1159251)"
250542349,Calle Fortunato Chavez,residential,False,True,109.819,,,,"LINESTRING (-63.2307609 -17.1157423, -63.2297414 -17.1155809)"
250542459,Avenida Puerto Suarez,residential,False,False,116.98,,,,"LINESTRING (-63.2362206 -17.1157364, -63.2360063 -17.1167683)"
250542459,Avenida Puerto Suarez,residential,False,True,111.08,,,,"LINESTRING (-63.2362206 -17.1157364, -63.2364174 -17.1147553)"
618633486,Calle Junin,tertiary,False,False,112.011,,,,"LINESTRING (-63.2362206 -17.1157364, -63.2351864 -17.115542)"
618633486,Calle Junin,tertiary,False,True,105.143,,,,"LINESTRING (-63.2362206 -17.1157364, -63.2371927 -17.1159124)"
250542349,Calle Fortunato Chavez,residential,False,False,112.525,,,,"LINESTRING (-63.2318012 -17.1159251, -63.2328409 -17.1161167)"
250542349,Calle Fortunato Chavez,residential,False,True,112.406,,,,"LINESTRING (-63.2318012 -17.1159251, -63.2307609 -17.1157423)"
619895647,Calle Oruro,residential,False,False,113.792,,,,"LINESTRING (-63.2318012 -17.1159251, -63.2320339 -17.1149262)"
619895647,Calle Oruro,residential,False,True,116.852,,,,"LINESTRING (-63.2318012 -17.1159251, -63.2316038 -17.1169589)"
250542342,Calle La Paz,residential,False,False,109.722,,,,"LINESTRING (-63.2371927 -17.1159124, -63.2374275 -17.1149515)"
250542342,Calle La Paz,residential,False,True,118.618,,,,"LINESTRING (-63.2371927 -17.1159124, -63.2369629 -17.1169563)"
618633486,Calle Junin,tertiary,False,False,105.143,,,,"LINESTRING (-63.2371927 -17.1159124, -63.2362206 -17.1157364)"
618633486,Calle Junin,tertiary,False,True,16.498,,,,"LINESTRING (-63.2371927 -17.1159124, -63.2373408 -17.1159569)"
250542349,Calle Fortunato Chavez,residential,False,False,119.449,,,,"LINESTRING (-63.2328409 -17.1161167, -63.2339388 -17.1163469)"
250542349,Calle Fortunato Chavez,residential,False,True,112.525,,,,"LINESTRING (-63.2328409 -17.1161167, -63.2318012 -17.1159251)"
619895630,RN10: Guabirá-Colonia Piraí,trunk,False,False,114.18,2,F10,80,"LINESTRING (-63.2328409 -17.1161167, -63.2329426 -17.1157419, -63.2330533 -17.1154232, -63.2331583 -17.1151364)"
619895630,RN10: Guabirá-Colonia Piraí,trunk,False,True,114.287,2,F10,80,"LINESTRING (-63.2328409 -17.1161167, -63.2326557 -17.1170268, -63.2326356 -17.1171256)"
250542348,Calle San Isidro,residential,False,False,113.848,,,,"LINESTRING (-63.2339388 -17.1163469, -63.23416 -17.1153451)"
250542348,Calle San Isidro,residential,False,True,114.109,,,,"LINESTRING (-63.2339388 -17.1163469, -63.2336995 -17.1173473)"
250542349,Calle Fortunato Chavez,residential,False,False,112.439,,,,"LINESTRING (-63.2339388 -17.1163469, -63.2349744 -17.1165541)"
250542349,Calle Fortunato Chavez,residential,False,True,119.449,,,,"LINESTRING (-63.2339388 -17.1163469, -63.2328409 -17.1161167)"
250542349,Calle Fortunato Chavez,residential,False,False,112.217,,,,"LINESTRING (-63.2349744 -17.1165541, -63.2360063 -17.1167683)"
250542349,Calle Fortunato Chavez,residential,False,True,112.439,,,,"LINESTRING (-63.2349744 -17.1165541, -63.2339388 -17.1163469)"
250542354,Calle Darío Bejarano,residential,False,False,113.887,,,,"LINESTRING (-63.2349744 -17.1165541, -63.2347678 -17.1175591)"
250542354,Calle Darío Bejarano,residential,False,True,114.773,,,,"LINESTRING (-63.2349744 -17.1165541, -63.2351864 -17.115542)"
250542356,Calle Independencia,residential,False,False,113.143,,,,"LINESTRING (-63.2295227 -17.1165537, -63.2293024 -17.1175492)"
250542356,Calle Independencia,residential,False,True,110.639,,,,"LINESTRING (-63.2295227 -17.1165537, -63.2297414 -17.1155809)"
619895627,Calle Victor Paz Estensoro,residential,False,True,114.945,,,,"LINESTRING (-63.2295227 -17.1165537, -63.230584 -17.1167532)"
250542349,Calle Fortunato Chavez,residential,False,False,103.785,,,,"LINESTRING (-63.2360063 -17.1167683, -63.2369629 -17.1169563)"
250542349,Calle Fortunato Chavez,residential,False,True,112.217,,,,"LINESTRING (-63.2360063 -17.1167683, -63.2349744 -17.1165541)"
250542459,Avenida Puerto Suarez,residential,False,False,112.943,,,,"LINESTRING (-63.2360063 -17.1167683, -63.2357823 -17.1177612)"
250542459,Avenida Puerto Suarez,residential,False,True,116.98,,,,"LINESTRING (-63.2360063 -17.1167683, -63.2362206 -17.1157364)"
250542345,,residential,False,False,113.409,,,,"LINESTRING (-63.230584 -17.1167532, -63.230366 -17.1177516)"
250542345,,residential,False,True,113.968,,,,"LINESTRING (-63.230584 -17.1167532, -63.2307609 -17.1157423)"
619895627,Calle Victor Paz Estensoro,residential,False,False,114.945,,,,"LINESTRING (-63.230584 -17.1167532, -63.2295227 -17.1165537)"
619895627,Calle Victor Paz Estensoro,residential,False,True,110.761,,,,"LINESTRING (-63.230584 -17.1167532, -63.2316038 -17.1169589)"
250542342,Calle La Paz,residential,False,False,118.618,,,,"LINESTRING (-63.2369629 -17.1169563, -63.2371927 -17.1159124)"
250542349,Calle Fortunato Chavez,residential,False,False,17.674,,,,"LINESTRING (-63.2369629 -17.1169563, -63.237126 -17.1169874)"
250542349,Calle Fortunato Chavez,residential,False,True,103.785,,,,"LINESTRING (-63.2369629 -17.1169563, -63.2360063 -17.1167683)"
250542342,Calle La Paz,residential,False,True,111.613,,,,"LINESTRING (-63.2369629 -17.1169563, -63.2368435 -17.1176118, -63.2368286 -17.1179499)"
619895627,Calle Victor Paz Estensoro,residential,False,False,110.761,,,,"LINESTRING (-63.2316038 -17.1169589, -63.230584 -17.1167532)"
619895647,Calle Oruro,residential,False,False,116.852,,,,"LINESTRING (-63.2316038 -17.1169589, -63.2318012 -17.1159251)"
619895647,Calle Oruro,residential,False,True,111.489,,,,"LINESTRING (-63.2316038 -17.1169589, -63.231392 -17.1179409)"
619895627,Calle Victor Paz Estensoro,residential,False,True,111.20400000000001,,,,"LINESTRING (-63.2316038 -17.1169589, -63.2325948 -17.117119, -63.2326356 -17.1171256)"
250542350,Calle Oscar Unzaga,residential,False,True,115.717,,,,"LINESTRING (-63.2326356 -17.1171256, -63.2336995 -17.1173473)"
619895627,Calle Victor Paz Estensoro,residential,False,False,111.20400000000001,,,,"LINESTRING (-63.2326356 -17.1171256, -63.2325948 -17.117119, -63.2316038 -17.1169589)"
619895630,RN10: Guabirá-Colonia Piraí,trunk,False,False,114.287,2,F10,80,"LINESTRING (-63.2326356 -17.1171256, -63.2326557 -17.1170268, -63.2328409 -17.1161167)"
619895637,RN10: Guabirá-Colonia Piraí,trunk,False,True,114.42200000000001,2,F10,80,"LINESTRING (-63.2326356 -17.1171256, -63.232616 -17.1172243, -63.2324614 -17.1180236, -63.2324344 -17.1181364)"
250542348,Calle San Isidro,residential,False,False,114.109,,,,"LINESTRING (-63.2336995 -17.1173473, -63.2339388 -17.1163469)"
250542348,Calle San Isidro,residential,False,True,111.917,,,,"LINESTRING (-63.2336995 -17.1173473, -63.2334975 -17.1183351)"
250542350,Calle Oscar Unzaga,residential,False,False,115.717,,,,"LINESTRING (-63.2336995 -17.1173473, -63.2326356 -17.1171256)"
250542350,Calle Oscar Unzaga,residential,False,True,115.945,,,,"LINESTRING (-63.2336995 -17.1173473, -63.2347678 -17.1175591)"
250542350,Calle Oscar Unzaga,residential,False,False,115.945,,,,"LINESTRING (-63.2347678 -17.1175591, -63.2336995 -17.1173473)"
250542350,Calle Oscar Unzaga,residential,False,True,110.128,,,,"LINESTRING (-63.2347678 -17.1175591, -63.2357823 -17.1177612)"
250542354,Calle Darío Bejarano,residential,False,False,114.184,,,,"LINESTRING (-63.2347678 -17.1175591, -63.2345497 -17.1185646)"
250542354,Calle Darío Bejarano,residential,False,True,113.887,,,,"LINESTRING (-63.2347678 -17.1175591, -63.2349744 -17.1165541)"
250542356,Calle Independencia,residential,False,False,110.071,,,,"LINESTRING (-63.2293024 -17.1175492, -63.2290657 -17.1185129)"
250542356,Calle Independencia,residential,False,True,113.143,,,,"LINESTRING (-63.2293024 -17.1175492, -63.2295227 -17.1165537)"
619895648,Calle Bolivar,residential,False,True,115.247,,,,"LINESTRING (-63.2293024 -17.1175492, -63.230366 -17.1177516)"
250542345,,residential,False,False,108.165,,,,"LINESTRING (-63.230366 -17.1177516, -63.2301272 -17.1186972)"
250542345,,residential,False,True,113.409,,,,"LINESTRING (-63.230366 -17.1177516, -63.230584 -17.1167532)"
619895648,Calle Bolivar,residential,False,False,115.247,,,,"LINESTRING (-63.230366 -17.1177516, -63.2293024 -17.1175492)"
619895648,Calle Bolivar,residential,False,True,111.046,,,,"LINESTRING (-63.230366 -17.1177516, -63.231392 -17.1179409)"
250542350,Calle Oscar Unzaga,residential,False,False,110.128,,,,"LINESTRING (-63.2357823 -17.1177612, -63.2347678 -17.1175591)"
250542350,Calle Oscar Unzaga,residential,False,True,113.152,,,,"LINESTRING (-63.2357823 -17.1177612, -63.2368286 -17.1179499)"
250542459,Avenida Puerto Suarez,residential,False,False,112.758,,,,"LINESTRING (-63.2357823 -17.1177612, -63.2355713 -17.118755)"
250542459,Avenida Puerto Suarez,residential,False,True,112.943,,,,"LINESTRING (-63.2357823 -17.1177612, -63.2360063 -17.1167683)"
250542347,Calle 2 de Agosto,residential,False,True,109.94,,,,"LINESTRING (-63.231392 -17.1179409, -63.2311585 -17.1189041)"
250542357,Calle Bolivar,residential,False,True,112.888,,,,"LINESTRING (-63.231392 -17.1179409, -63.2324344 -17.1181364)"
619895647,Calle Oruro,residential,False,False,111.489,,,,"LINESTRING (-63.231392 -17.1179409, -63.2316038 -17.1169589)"
619895648,Calle Bolivar,residential,False,False,111.046,,,,"LINESTRING (-63.231392 -17.1179409, -63.230366 -17.1177516)"
250542342,Calle La Paz,residential,False,True,114.857,,,,"LINESTRING (-63.2368286 -17.1179499, -63.2366413 -17.1189672)"
250542350,Calle Oscar Unzaga,residential,False,False,113.152,,,,"LINESTRING (-63.2368286 -17.1179499, -63.2357823 -17.1177612)"
250542350,Calle Oscar Unzaga,residential,False,True,28.784,,,,"LINESTRING (-63.2368286 -17.1179499, -63.237094 -17.1180016)"
250542342,Calle La Paz,residential,False,False,111.613,,,,"LINESTRING (-63.2368286 -17.1179499, -63.2368435 -17.1176118, -63.2369629 -17.1169563)"
