osmid,lanes,highway,maxspeed,access,oneway,reversed,length,junction,geometry
1037119912,2,tertiary,50,permissive,False,True,81.183,,"LINESTRING (73.1084597 30.6683462, 73.1076491 30.6681296)"
368004810,2,tertiary,40,permissive,True,False,33.789,roundabout,"LINESTRING (73.1084597 30.6683462, 73.108449 30.6683737, 73.1084508 30.6684424, 73.1084796 30.6685065, 73.1085322 30.6685583, 73.108602 30.6685916)"
1037119912,2,tertiary,50,permissive,False,False,56.035,,"LINESTRING (73.1060027 30.6676896, 73.1065622 30.6678391)"
1037119914,2,tertiary,40,permissive,False,True,8.27,,"LINESTRING (73.1060027 30.6676896, 73.1059211 30.667665)"
1037119917,2,primary,60,permissive,True,False,59.687,,"LINESTRING (73.1060027 30.6676896, 73.1061977 30.6671797)"
368001700,,residential,,,False,False,32.779,,"LINESTRING (73.1087549 30.6682187, 73.1088574 30.6679374)"
368004810,2,tertiary,40,permissive,True,False,35.637,roundabout,"LINESTRING (73.1087549 30.6682187, 73.1087262 30.6682092, 73.1086544 30.6682057, 73.1085848 30.6682215, 73.1085242 30.6682548, 73.1084745 30.6683086, 73.1084597 30.6683462)"
32041121,,residential,,,False,True,29.273,,"LINESTRING (73.1098616 30.6673611, 73.1097657 30.6676111)"
368015110,,unclassified,,,False,False,58.807,,"LINESTRING (73.1098616 30.6673611, 73.1104469 30.6675231)"
368015110,,unclassified,,,False,True,72.487,,"LINESTRING (73.1098616 30.6673611, 73.1091386 30.6671656)"
32041121,,residential,,,False,False,57.573,,"LINESTRING (73.1093727 30.6686358, 73.1095613 30.6681441)"
1037153002,2,tertiary,50,permissive,False,False,49.533,,"LINESTRING (73.1093727 30.6686358, 73.1088789 30.6685015)"
1037153002,2,tertiary,50,permissive,False,True,59.03,,"LINESTRING (73.1093727 30.6686358, 73.1099612 30.6687958)"
1037153002,2,tertiary,50,permissive,False,True,49.533,,"LINESTRING (73.1088789 30.6685015, 73.1093727 30.6686358)"
368004810,2,tertiary,40,permissive,True,False,38.324000000000005,roundabout,"LINESTRING (73.1088789 30.6685015, 73.1089041 30.6684436, 73.1089074 30.6683818, 73.1088885 30.6683221, 73.1088492 30.6682703, 73.1087933 30.6682314, 73.1087549 30.6682187)"
368064428,,residential,,,False,True,48.786,,"LINESTRING (73.108602 30.6685916, 73.1084511 30.6690107)"
368004810,2,tertiary,40,permissive,True,False,30.573999999999998,roundabout,"LINESTRING (73.108602 30.6685916, 73.1086809 30.6686025, 73.1087594 30.6685897, 73.1088281 30.6685546, 73.1088789 30.6685015)"
368004811,2,tertiary,50,permissive,False,False,81.899,,"LINESTRING (73.1135563 30.6698327, 73.1127462 30.669594)"
368004811,2,tertiary,50,permissive,False,True,27.316,,"LINESTRING (73.1135563 30.6698327, 73.1138265 30.6699123)"
707349214,,residential,,,False,False,237.973,,"LINESTRING (73.1135563 30.6698327, 73.1143158 30.6677947)"
368377570,,tertiary,,,False,True,223.366,,"LINESTRING (73.1119135 30.6693487, 73.1111246 30.6712394)"
1037153002,2,tertiary,50,permissive,False,False,48.428,,"LINESTRING (73.1119135 30.6693487, 73.1114345 30.6692075)"
1037153003,2,tertiary,50,permissive,False,True,84.182,,"LINESTRING (73.1119135 30.6693487, 73.1127462 30.669594)"
1037155373,,tertiary,,,True,False,235.22199999999998,,"LINESTRING (73.1119135 30.6693487, 73.1120717 30.6691775, 73.1122112 30.6688822, 73.1127825 30.6673827)"
368004813,2,tertiary,50,permissive,True,False,81.891,,"LINESTRING (73.1126476 30.6673465, 73.1123759 30.6680449)"
1037155372,2,secondary,50,permissive,False,False,13.516,,"LINESTRING (73.1126476 30.6673465, 73.1127825 30.6673827)"
1037155372,2,secondary,50,permissive,False,True,38.046,,"LINESTRING (73.1126476 30.6673465, 73.1122635 30.6672575)"
1037155372,2,secondary,50,permissive,False,True,13.516,,"LINESTRING (73.1127825 30.6673827, 73.1126476 30.6673465)"
1037155374,4,secondary,50,permissive,False,False,76.015,,"LINESTRING (73.1127825 30.6673827, 73.1135411 30.6675866)"
368005466,,tertiary,,,False,False,58.684,,"LINESTRING (73.1099612 30.6687958, 73.1101548 30.668295)"
368377563,,tertiary,,,False,True,67.725,,"LINESTRING (73.1099612 30.6687958, 73.1097502 30.6693772)"
1037153002,2,tertiary,50,permissive,False,False,59.03,,"LINESTRING (73.1099612 30.6687958, 73.1093727 30.6686358)"
1037153002,2,tertiary,50,permissive,False,True,98.44,,"LINESTRING (73.1099612 30.6687958, 73.1109426 30.6690626)"
368005466,,tertiary,,,False,False,29.569,,"LINESTRING (73.110355 30.667777, 73.1104469 30.6675231)"
368005466,,tertiary,,,False,True,60.698,,"LINESTRING (73.110355 30.667777, 73.1101548 30.668295)"
