osmid,oneway,highway,reversed,length,lanes,maxspeed,name,geometry,junction
419360070,False,unclassified,False,101.565,,,,"LINESTRING (-36.3974945 -6.9291733, -36.3977359 -6.9300547)",
818582948,False,residential,True,7.792,2,30,,"LINESTRING (-36.4047212 -6.9304484, -36.4047754 -6.9304933)",
419360031,False,residential,False,35.016,2,30,Rua José Paulino Sousa,"LINESTRING (-36.4024493 -6.9304541, -36.4021413 -6.9305295)",
419360036,False,residential,False,5.355,2,30,Rua João Simão,"LINESTRING (-36.4047754 -6.9304933, -36.4048127 -6.9305241)",
818582948,False,residential,False,7.792,2,30,,"LINESTRING (-36.4047754 -6.9304933, -36.4047212 -6.9304484)",
419360051,True,residential,False,179.517,2,30,Rua Modesto José,"LINESTRING (-36.4047754 -6.9304933, -36.4042007 -6.9312522, -36.4041256 -6.931346, -36.4040834 -6.931398, -36.4039573 -6.9315337, -36.4037447 -6.9317381)",
419360031,False,residential,False,64.106,2,30,Rua José Paulino Sousa,"LINESTRING (-36.4021413 -6.9305295, -36.401578 -6.9306698)",
419360031,False,residential,True,35.016,2,30,Rua José Paulino Sousa,"LINESTRING (-36.4021413 -6.9305295, -36.4024493 -6.9304541)",
419360062,False,residential,False,48.761,2,30,Rua Presidente Vargas,"LINESTRING (-36.4021413 -6.9305295, -36.4022525 -6.9309539)",
419360062,False,residential,True,56.458,2,30,Rua Presidente Vargas,"LINESTRING (-36.4021413 -6.9305295, -36.4020306 -6.9300338)",
419360022,False,residential,True,67.925,2,30,Rua Amâncio José da Silva,"LINESTRING (-36.4035939 -6.9306138, -36.4029969 -6.9307619)",
419360075,False,residential,True,47.665,2,30,,"LINESTRING (-36.4035939 -6.9306138, -36.4036827 -6.9310333)",
818582968,False,residential,True,48.371,,,,"LINESTRING (-36.4035939 -6.9306138, -36.4034813 -6.9301934)",
419360022,False,residential,False,63.763,2,30,Rua Amâncio José da Silva,"LINESTRING (-36.4035939 -6.9306138, -36.4038849 -6.9305393, -36.4041531 -6.93047)",
419360031,False,residential,False,89.037,2,30,Rua José Paulino Sousa,"LINESTRING (-36.401578 -6.9306698, -36.4007928 -6.9308531)",
419360031,False,residential,True,64.106,2,30,Rua José Paulino Sousa,"LINESTRING (-36.401578 -6.9306698, -36.4021413 -6.9305295)",
419360084,False,residential,False,54.437,2,30,,"LINESTRING (-36.401578 -6.9306698, -36.4014883 -6.9301884)",
419360084,False,residential,True,47.965,2,30,,"LINESTRING (-36.401578 -6.9306698, -36.4016546 -6.9310944)",
419360022,False,residential,False,67.925,2,30,Rua Amâncio José da Silva,"LINESTRING (-36.4029969 -6.9307619, -36.4035939 -6.9306138)",
419360022,False,residential,True,84.897,2,30,Rua Amâncio José da Silva,"LINESTRING (-36.4029969 -6.9307619, -36.4022525 -6.9309539)",
419360058,False,residential,False,49.889,2,30,Rua Prefeito Inácio Claudino,"LINESTRING (-36.4029969 -6.9307619, -36.4029558 -6.9303151)",
419360058,False,residential,True,47.402,2,30,Rua Prefeito Inácio Claudino,"LINESTRING (-36.4029969 -6.9307619, -36.4030577 -6.9311839)",
419360031,False,residential,True,28.151,2,30,Rua José Paulino Sousa,"LINESTRING (-36.4000943 -6.9310305, -36.4003363 -6.9309506)",
419360081,False,residential,False,6.815,2,30,,"LINESTRING (-36.4000943 -6.9310305, -36.4000762 -6.9309719)",
