osmid,oneway,name,highway,reversed,length,bridge,geometry,junction,lanes
1156818798,True,Rua Antônio de Oliveira Portes,tertiary,False,26.209,,"LINESTRING (-45.2595329 -22.8332833, -45.2593451 -22.8334433)",,
258715338,False,Rua Orlando Carlos Castro,residential,False,94.269,,"LINESTRING (-45.2573554 -22.8333788, -45.2580656 -22.8339176)",,
258715587,False,Avenida José Gumercindo,residential,False,60.487,,"LINESTRING (-45.2573554 -22.8333788, -45.2570106 -22.8338203)",,
1118744676,True,Rua Antônio de Oliveira Portes,tertiary,False,20.837,,"LINESTRING (-45.2593451 -22.8334433, -45.2592079 -22.8335816)",,
258715232,False,Avenida Maria Amélia de Castro,residential,False,63.56,,"LINESTRING (-45.2584508 -22.8334696, -45.2580656 -22.8339176)",,
1118744676,True,Rua Antônio de Oliveira Portes,tertiary,False,42.134,,"LINESTRING (-45.2592079 -22.8335816, -45.2589392 -22.8338684)",,
258715270,False,Rua Geraldo Vilela Mendes,residential,True,85.795,,"LINESTRING (-45.2570106 -22.8338203, -45.2576546 -22.8343133)",,
258715587,False,Avenida José Gumercindo,residential,False,63.217,,"LINESTRING (-45.2570106 -22.8338203, -45.256654 -22.8342842)",,
258715587,False,Avenida José Gumercindo,residential,True,60.487,,"LINESTRING (-45.2570106 -22.8338203, -45.2573554 -22.8333788)",,
258770873,True,Rua Antônio de Oliveira Portes,tertiary,False,58.239,,"LINESTRING (-45.2589392 -22.8338684, -45.2585735 -22.8342693)",,
258715232,False,Avenida Maria Amélia de Castro,residential,False,60.91,,"LINESTRING (-45.2580656 -22.8339176, -45.2576546 -22.8343133)",,
258715232,False,Avenida Maria Amélia de Castro,residential,True,63.56,,"LINESTRING (-45.2580656 -22.8339176, -45.2584508 -22.8334696)",,
258715338,False,Rua Orlando Carlos Castro,residential,True,94.269,,"LINESTRING (-45.2580656 -22.8339176, -45.2573554 -22.8333788)",,
258715620,False,Rua Renato Januario Naldi,residential,False,6.033,,"LINESTRING (-45.2531218 -22.8339235, -45.2530894 -22.8339688)",,
864617829,True,,residential,False,9.215,,"LINESTRING (-45.2531218 -22.8339235, -45.2531925 -22.8339747)",,
258715271,False,Rua João Carvalho dos Santos,residential,True,80.969,,"LINESTRING (-45.256654 -22.8342842, -45.2572487 -22.8347636)",,
258715587,False,Avenida José Gumercindo,residential,False,62.189,,"LINESTRING (-45.256654 -22.8342842, -45.2563031 -22.8347405)",,
258715587,False,Avenida José Gumercindo,residential,True,63.217,,"LINESTRING (-45.256654 -22.8342842, -45.2570106 -22.8338203)",,
258715585,True,Rua Rio Grande do Sul,residential,False,177.327,,"LINESTRING (-45.2585735 -22.8342693, -45.2599543 -22.8352304)",,
