osmid,highway,maxspeed,junction,oneway,reversed,length,geometry,name,bridge
304284244,primary,60,roundabout,True,False,46.277,"LINESTRING (-47.9463703 -16.2529307, -47.9464026 -16.2528649, -47.9464589 -16.2527982, -47.9465313 -16.2527478, -47.9466148 -16.2527171, -47.9467038 -16.2527083)",,
304284165,tertiary,,,True,False,54.723,"LINESTRING (-47.9471824 -16.2529617, -47.9471943 -16.2534537)",Avenida Assis Chateaubriand,
422739009,primary,,,False,False,16.258,"LINESTRING (-47.9471824 -16.2529617, -47.9470311 -16.2529784)",,
466221915,primary,60,,True,False,145.29500000000002,"LINESTRING (-47.9471824 -16.2529617, -47.9476523 -16.2529701, -47.9478881 -16.2529825, -47.9480982 -16.2530163, -47.9485328 -16.2530931)",Rua Jesus Meireles,
580182304,tertiary,60,,True,False,23.853,"LINESTRING (-47.9507821 -16.2538406, -47.9508282 -16.2540505)",Rua Coronel Antônio Carneiro,
60278627,primary,60,,True,False,105.78200000000001,"LINESTRING (-47.9507821 -16.2538406, -47.9505213 -16.2538635, -47.9497924 -16.2538768)",Rua da Matriz,
304284244,primary,60,roundabout,True,False,49.307,"LINESTRING (-47.9465166 -16.2533176, -47.946442 -16.2532588, -47.9463874 -16.2531824, -47.9463573 -16.2530943, -47.9463539 -16.2530017, -47.9463703 -16.2529307)",,
383998408,residential,,,True,False,34.899,"LINESTRING (-47.9467038 -16.2527083, -47.9469708 -16.2525272)",Rua Alvorada,
304284244,primary,60,roundabout,True,False,49.702999999999996,"LINESTRING (-47.9467038 -16.2527083, -47.9467921 -16.2527218, -47.9468777 -16.2527593, -47.9469494 -16.2528177, -47.9470019 -16.2528926, -47.9470311 -16.2529784)",,
382717879,primary,60,,True,False,50.164,"LINESTRING (-47.9493439 -16.2532814, -47.9497892 -16.2534255)",Avenida Joventino Rodrigues,
60278623,primary,60,,True,False,47.257,"LINESTRING (-47.9490832 -16.2534409, -47.94905 -16.2534355, -47.9490121 -16.253441, -47.9487387 -16.253475, -47.9486445 -16.2534867)",Avenida Joventino Rodrigues,
866239217,primary,60,,True,False,13.825,"LINESTRING (-47.9507265 -16.253488, -47.9507454 -16.253611)",Rua Coronel Antônio Carneiro,
60278627,primary,60,,True,False,16.932,"LINESTRING (-47.9491795 -16.2535619, -47.9490832 -16.2534409)",Rua da Matriz,
466221913,primary_link,60,,True,False,35.976,"LINESTRING (-47.9491795 -16.2535619, -47.9492193 -16.2534624, -47.9493439 -16.2532814)",Travessa Arquimedes Tormin,
60278627,primary,60,,True,False,85.956,"LINESTRING (-47.9497924 -16.2538768, -47.9495937 -16.2538856, -47.9494858 -16.2538894, -47.9494074 -16.2538757, -47.9493492 -16.2538527, -47.9492974 -16.2538089, -47.949243 -16.2537352, -47.9492077 -16.2536695, -47.9491795 -16.2535619)",Rua da Matriz,
