osmid,oneway,ref,name,highway,reversed,length,maxspeed,geometry,lanes
456220932,False,BR-361,Avenida Ernany Sátiro,primary,False,89.023,,"LINESTRING (-37.9259768 -7.1968013, -37.9257823 -7.1960243)",
456220932,False,BR-361,Avenida Ernany Sátiro,primary,True,3.308,,"LINESTRING (-37.9259768 -7.1968013, -37.9259872 -7.1968292)",
217178659,False,,Rua José Tomáz dos Santos,residential,True,84.53999999999999,30,"LINESTRING (-37.9259768 -7.1968013, -37.9258775 -7.1966466, -37.9255224 -7.1961898)",
456220932,False,BR-361,Avenida Ernany Sátiro,primary,False,8.472,,"LINESTRING (-37.9260305 -7.1969763, -37.9260144 -7.1969018)",
456220932,False,BR-361,Avenida Ernany Sátiro,primary,True,28.299,,"LINESTRING (-37.9260305 -7.1969763, -37.9260445 -7.1970754, -37.9260596 -7.1972291)",
217178363,False,,Rua Afonso Ventura,tertiary,True,68.157,30,"LINESTRING (-37.9262967 -7.1994999, -37.9257769 -7.1998312)",
217178370,False,,Rua António Brasilino,residential,True,145.761,30,"LINESTRING (-37.9262967 -7.1994999, -37.9274218 -7.1988126)",
456220932,False,BR-361,Avenida Ernany Sátiro,primary,False,80.561,,"LINESTRING (-37.9262967 -7.1994999, -37.9262182 -7.1987796)",
456220932,False,BR-361,Avenida Ernany Sátiro,primary,True,65.611,,"LINESTRING (-37.9262967 -7.1994999, -37.9263451 -7.200088)",
217178371,False,,Rua Manoel Carlos Pereira da Cruz,residential,False,122.986,30,"LINESTRING (-37.9257823 -7.1960243, -37.9267264 -7.1954361)",
217178371,False,,Rua Manoel Carlos Pereira da Cruz,residential,True,34.07,30,"LINESTRING (-37.9257823 -7.1960243, -37.9255224 -7.1961898)",
456220932,False,BR-361,Avenida Ernany Sátiro,primary,False,99.62,,"LINESTRING (-37.9257823 -7.1960243, -37.925542 -7.1951607)",
456220932,False,BR-361,Avenida Ernany Sátiro,primary,True,89.023,,"LINESTRING (-37.9257823 -7.1960243, -37.9259768 -7.1968013)",
456220932,False,BR-361,Avenida Ernany Sátiro,primary,True,100.416,,"LINESTRING (-37.9260596 -7.1972291, -37.9261605 -7.1981266)",
819344257,False,,Rua João Agripino Filho,tertiary,True,19.507,30,"LINESTRING (-37.9260596 -7.1972291, -37.9262017 -7.1971247)",
456220932,False,BR-361,Avenida Ernany Sátiro,primary,False,28.299,,"LINESTRING (-37.9260596 -7.1972291, -37.9260445 -7.1970754, -37.9260305 -7.1969763)",
819344257,False,,Rua João Agripino Filho,tertiary,False,49.776999999999994,30,"LINESTRING (-37.9260596 -7.1972291, -37.9259946 -7.1972757, -37.9259272 -7.1973203, -37.9258782 -7.1973475, -37.9257877 -7.1973947, -37.9256706 -7.1974543)",
321182492,False,,Rua Agostinho A da Silva,residential,True,92.572,30,"LINESTRING (-37.9264515 -7.2013265, -37.9272792 -7.2011895)",
456220932,False,BR-361,Avenida Ernany Sátiro,primary,False,29.611,,"LINESTRING (-37.9264515 -7.2013265, -37.9264307 -7.201061)",
456220932,False,BR-361,Avenida Ernany Sátiro,primary,True,49.118,,"LINESTRING (-37.9264515 -7.2013265, -37.9264908 -7.2017665)",
