osmid,oneway,name,highway,reversed,length,geometry,bridge,junction,lanes
295041415,True,Rua Marechal Deodoro,secondary,False,86.834,"LINESTRING (-46.8901176 -21.5930881, -46.8893091 -21.5932995)",,,
894919174,True,Rua Campos Salles,residential,False,74.091,"LINESTRING (-46.8901176 -21.5930881, -46.8903757 -21.5937097)",,,
904997656,False,Rua Marechal Deodoro,secondary,True,56.896,"LINESTRING (-46.8901176 -21.5930881, -46.890633 -21.5929088)",,,
1004397449,False,Rua Campos Salles,secondary,True,27.81,"LINESTRING (-46.8901176 -21.5930881, -46.8899833 -21.5928714)",,,
904920374,True,,residential,False,10.13,"LINESTRING (-46.8920071 -21.5951108, -46.8920897 -21.5950618)",,,
294773602,False,Rua Itororó,residential,True,79.359,"LINESTRING (-46.8843043 -21.5937641, -46.8841842 -21.594469)",,,
531386406,False,Rua Siqueira Campos,secondary,False,104.247,"LINESTRING (-46.8843043 -21.5937641, -46.883321 -21.5935567)",,,
531386406,False,Rua Siqueira Campos,secondary,True,116.13199999999999,"LINESTRING (-46.8843043 -21.5937641, -46.8846491 -21.59385, -46.8853412 -21.5941558)",,,
294773599,False,Rua Dona Presciliana Pereira da Silva,residential,False,101.168,"LINESTRING (-46.8841842 -21.594469, -46.8832164 -21.5943348)",,,
294773602,False,Rua Itororó,residential,False,79.359,"LINESTRING (-46.8841842 -21.594469, -46.8843043 -21.5937641)",,,
294773602,False,Rua Itororó,residential,True,122.031,"LINESTRING (-46.8841842 -21.594469, -46.8840321 -21.5955573)",,,
"[294773603, 294773599]",False,"['Rua Dona Presciliana Pereira da Silva', 'Rua Major Joaquim Gonçalves']",residential,True,228.039,"LINESTRING (-46.8841842 -21.594469, -46.8851651 -21.5945718, -46.8850644 -21.5957009)",,,
294773603,False,Rua Major Joaquim Gonçalves,residential,True,100.806,"LINESTRING (-46.8850644 -21.5957009, -46.8849188 -21.5965973)",,,
727747732,False,Rua Alberto Rangel,residential,False,107.917,"LINESTRING (-46.8850644 -21.5957009, -46.8840321 -21.5955573)",,,
727747732,False,Rua Alberto Rangel,residential,True,39.025,"LINESTRING (-46.8850644 -21.5957009, -46.8854387 -21.5957462)",,,
"[294773603, 294773599]",False,"['Rua Dona Presciliana Pereira da Silva', 'Rua Major Joaquim Gonçalves']",residential,False,228.039,"LINESTRING (-46.8850644 -21.5957009, -46.8851651 -21.5945718, -46.8841842 -21.594469)",,,
727747731,False,Rua Tarquínio Cobra Olyntho,residential,True,100.029,"LINESTRING (-46.8854387 -21.5957462, -46.8854816 -21.5966449)",,,
