osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,junction,access
198552914,True,Avenida 15 de Novembro,secondary,50,False,61.646,"LINESTRING (-52.2729358 -27.635216, -52.2730538 -27.6352231, -52.273196 -27.6351886, -52.2732832 -27.6351364, -52.2734553 -27.6349699)",,,
773372256,True,Avenida Sete de Setembro,primary,50,False,21.008,"LINESTRING (-52.2738365 -27.6354304, -52.2736609 -27.6355376)",3,,
198552949,True,Praça da Bandeira,primary_link,50,False,51.271,"LINESTRING (-52.2738365 -27.6354304, -52.2736511 -27.635451, -52.2735549 -27.6354307, -52.2735239 -27.6354011, -52.2734734 -27.6353246, -52.2734392 -27.6352517)",,,
198552951,True,Praça da Bandeira,primary,50,False,31.493,"LINESTRING (-52.2734392 -27.6352517, -52.2734318 -27.6351477, -52.2734553 -27.6349699)",,,
773372259,True,Praça da Bandeira,primary,50,False,18.026,"LINESTRING (-52.2734553 -27.6349699, -52.2735027 -27.6348754, -52.2735292 -27.6348216)",,,
120619374,True,Avenida Pedro Pinto de Souza,secondary,50,False,22.631,"LINESTRING (-52.2741476 -27.6355556, -52.2742257 -27.635747)",,,
966664064,True,Avenida Salgado Filho,residential,,False,22.727,"LINESTRING (-52.2741476 -27.6355556, -52.2743037 -27.6357061)",,,
198552952,True,Praça da Bandeira,primary,50,False,34.691,"LINESTRING (-52.2741187 -27.634989, -52.2739993 -27.6352825)",,,
773372259,True,Praça da Bandeira,primary,50,False,26.435,"LINESTRING (-52.2735292 -27.6348216, -52.2737284 -27.6346623)",,,
120619375,True,Avenida Tiradentes,secondary,50,False,54.026999999999994,"LINESTRING (-52.2735292 -27.6348216, -52.2735004 -27.6345732, -52.2734662 -27.6345037, -52.2734132 -27.6344366, -52.2733783 -27.6343645)",,,
198552903,True,Avenida Presidente Vargas,secondary,50,False,16.605,"LINESTRING (-52.2747134 -27.6347986, -52.2745705 -27.6348778)",,,
198552935,True,Avenida Uruguai,tertiary,40,False,10.573,"LINESTRING (-52.2747134 -27.6347986, -52.2748174 -27.6348221)",,,
198552937,True,Avenida Uruguai,tertiary,50,False,20.204,"LINESTRING (-52.2745248 -27.6347272, -52.2747134 -27.6347986)",,,
