osmid,ref,name,highway,access,oneway,reversed,length,lanes,geometry
185769528,BA-305,Avenida Rui Barbosa,secondary,yes,False,False,39.516,,"LINESTRING (-38.1281452 -9.7367958, -38.1284828 -9.7369206)"
854952325,,Avenida Rui Barbosa,secondary,,False,False,55.783,2,"LINESTRING (-38.1281452 -9.7367958, -38.12768 -9.7365922)"
210352327,,Avenida Rui Barbosa,tertiary,,False,True,27.805,,"LINESTRING (-38.1281452 -9.7367958, -38.1281818 -9.7367662, -38.1282033 -9.7367384, -38.1282308 -9.7366809, -38.1282442 -9.7366409, -38.1282509 -9.7365785)"
407775419,,Primeira Travessa Padre Cicero,residential,,False,False,50.342,,"LINESTRING (-38.1281452 -9.7367958, -38.1280625 -9.7369836, -38.1279666 -9.7372129)"
854952322,,Rua dos Romeiros,tertiary,,False,True,22.197,,"LINESTRING (-38.1286312 -9.7361356, -38.1287192 -9.7363154)"
854952324,,Rua dos Romeiros,tertiary,,False,True,112.964,,"LINESTRING (-38.1286312 -9.7361356, -38.1282262 -9.7352014)"
407771035,,Avenida Rui Barbosa,residential,,False,True,45.954,,"LINESTRING (-38.1286312 -9.7361356, -38.1287471 -9.7360339, -38.1289519 -9.7358695)"
854952323,,Rua Madrinha dodo,tertiary,,False,False,28.313,,"LINESTRING (-38.1286312 -9.7361356, -38.1285537 -9.7361776, -38.1285024 -9.7362088, -38.1284103 -9.7362674)"
407771050,,Avenida Rui Barbosa,tertiary,,False,False,55.985,2,"LINESTRING (-38.1277922 -9.7363569, -38.1282509 -9.7365785)"
880850905,,Avenida Rui Barbosa,tertiary,,False,True,28.91,2,"LINESTRING (-38.1277922 -9.7363569, -38.12768 -9.7365922)"
880850906,,Avenida Rui Barbosa,tertiary,,False,False,132.237,2,"LINESTRING (-38.1277922 -9.7363569, -38.1267129 -9.7358252)"
210351139,,,secondary,,False,True,73.476,2,"LINESTRING (-38.1224902 -9.7340506, -38.1231098 -9.734303)"
