osmid,oneway,name,highway,reversed,length,geometry,lanes,maxspeed,access,bridge,ref,junction
274895967,True,Avenida Presidente Kennedy,tertiary,False,40.286,"LINESTRING (-44.1691773 -22.5415568, -44.1691321 -22.541466, -44.1691076 -22.5414341, -44.169095 -22.5414216, -44.1690681 -22.5414003, -44.1690333 -22.5413829, -44.1689808 -22.5413615, -44.1688927 -22.5413411)",,,,,,
"[850386033, 127125850, 850441884, 127125852]",False,"['Ponte Ataulpho Pinto dos Reis', 'Ponto Ataulpho Pinto dos Reis']",tertiary,"[False, True]",300.064,"LINESTRING (-44.1691773 -22.5415568, -44.1692146 -22.541727, -44.1692344 -22.5418438, -44.1693818 -22.5426728, -44.1696029 -22.543984, -44.1696273 -22.5441554, -44.1696339 -22.5442218)",2,"['40', '50']",yes,yes,,
256321428,False,Rua Maria Luiza Gonzaga,residential,True,126.908,"LINESTRING (-44.1690178 -22.5386696, -44.1699006 -22.5394682)",,,,,,
256321485,False,Rua Rotary Club,residential,False,58.609,"LINESTRING (-44.1690178 -22.5386696, -44.169405 -22.5382824)",,,,,,
256321293,False,Rua Braulio Cunha,residential,False,12.159,"LINESTRING (-44.1680827 -22.5390986, -44.167965 -22.5391104)",,,,,,
946626183,False,,residential,True,62.027,"LINESTRING (-44.1680827 -22.5390986, -44.1682211 -22.539093, -44.1683327 -22.5390901, -44.168425 -22.5390871, -44.1685248 -22.5390871, -44.1686864 -22.5390888)",,,,,,
"[256321309, 256321293]",False,"['Rua Braulio Cunha', 'Rua Diocélio Cambraia']",residential,False,235.69100000000003,"LINESTRING (-44.1673863 -22.5391683, -44.1673253 -22.5391827, -44.1672938 -22.5391924, -44.1672665 -22.5392037, -44.1672426 -22.539214, -44.1672185 -22.5392285, -44.1671977 -22.5392441, -44.1671796 -22.5392594, -44.1671669 -22.5392752, -44.1671535 -22.5392966, -44.1671406 -22.5393251, -44.1671333 -22.5393521, -44.1671024 -22.5395337, -44.1670819 -22.5396049, -44.1670716 -22.5396288, -44.1670571 -22.5396475, -44.1670391 -22.5396602, -44.1670231 -22.539666, -44.1670079 -22.5396685, -44.1669922 -22.5396664, -44.1669786 -22.5396604, -44.1669675 -22.5396491, -44.1669603 -22.5396364, -44.1669563 -22.539616, -44.1669479 -22.5393263, -44.1669111 -22.5390488, -44.1667973 -22.538592, -44.1667617 -22.5384706, -44.1667262 -22.5383826, -44.1666743 -22.5382861)",,,,,,
256321293,False,Rua Braulio Cunha,residential,True,59.781,"LINESTRING (-44.1673863 -22.5391683, -44.1679358 -22.5391133, -44.167965 -22.5391104)",,,,,,
256321228,True,Rua Abdo Felipe,secondary,False,12.983,"LINESTRING (-44.1699006 -22.5394682, -44.1699868 -22.5393828)",,40,,,RJ-153,
256321428,False,Rua Maria Luiza Gonzaga,residential,False,126.908,"LINESTRING (-44.1699006 -22.5394682, -44.1690178 -22.5386696)",,,,,,
"[749651401, 256321241]",True,Rua Aldovandro de Oliveira,residential,False,218.123,"LINESTRING (-44.1675785 -22.5394843, -44.1683321 -22.539747, -44.1683958 -22.5397733, -44.1684399 -22.5398041, -44.1684762 -22.5398475, -44.1684999 -22.5398923, -44.16851 -22.5399412, -44.1685136 -22.5399928, -44.1684464 -22.5405628, -44.1684562 -22.5406525, -44.1684961 -22.540882)",,,,,,
749651403,True,Rua Joaquim de Oliveira Machado,residential,False,58.308,"LINESTRING (-44.1675785 -22.5394843, -44.1678171 -22.5393096, -44.1678531 -22.5392793, -44.1678757 -22.5392506, -44.1678993 -22.539211, -44.1679347 -22.5391565, -44.167965 -22.5391104)",,,,,,
256321381,True,Rua Doutor José Maria de Melo Costa,secondary,False,24.546999999999997,"LINESTRING (-44.1684961 -22.540882, -44.1685477 -22.540878, -44.1685877 -22.5408815, -44.1686282 -22.5408924, -44.1686656 -22.5409034, -44.1687284 -22.540921)",,,,,RJ-153,
428831161,True,Rua Orlando Brandão,tertiary,False,63.483,"LINESTRING (-44.1643426 -22.5408594, -44.1649334 -22.5410273)",,,,,,
