osmid,oneway,ref,name,highway,maxspeed,reversed,length,bridge,geometry
1219030612,True,BR-367;BA-001,Rua Campos Tourinho,primary,40,False,15.194,,"LINESTRING (-39.0236916 -16.2827054, -39.0236096 -16.2825937)"
"[1123415172, 1123415173, 1123415174]",False,BR-367;BA-001,Rua Campos Tourinho,primary,30,False,142.23,yes,"LINESTRING (-39.0236916 -16.2827054, -39.0237272 -16.282838, -39.0237486 -16.2829712, -39.0237433 -16.2832332, -39.0237231 -16.2834739, -39.0236905 -16.2837116, -39.0236541 -16.2839734)"
541994417,False,BA-001,,secondary,,False,18.793,,"LINESTRING (-39.0215892 -16.2781231, -39.0216296 -16.2782876)"
210460317,False,BR-367;BA-001,Avenida Paulo Souto,secondary,,True,16.989,,"LINESTRING (-39.0219294 -16.2791118, -39.0219556 -16.2792625)"
1219030611,True,BR-367;BA-001,Avenida Paulo Souto,secondary,,False,105.752,,"LINESTRING (-39.0219294 -16.2791118, -39.0218865 -16.2790069, -39.0218402 -16.278931, -39.02179 -16.2788589, -39.0216216 -16.2786439, -39.0215576 -16.2785541, -39.0215472 -16.2785145, -39.0215469 -16.2784688, -39.0215626 -16.2784118, -39.0215914 -16.2783452, -39.0216296 -16.2782876)"
223280566,False,,Rua Presidente Vargas,residential,,False,49.625,,"LINESTRING (-39.0219502 -16.2820286, -39.0224132 -16.2819879)"
210460317,False,BR-367;BA-001,Avenida Paulo Souto,secondary,,False,117.68599999999999,,"LINESTRING (-39.0219502 -16.2820286, -39.0219569 -16.2817927, -39.0219744 -16.281279, -39.0219831 -16.2809707)"
210460317,False,BR-367;BA-001,Avenida Paulo Souto,secondary,,True,204.625,,"LINESTRING (-39.0219502 -16.2820286, -39.0219636 -16.282093, -39.0219811 -16.2821515, -39.0220102 -16.2821943, -39.0220521 -16.2822297, -39.022112 -16.282251, -39.0223137 -16.2822832, -39.0224793 -16.2823063, -39.0225577 -16.2823318, -39.0226104 -16.2823556, -39.0226784 -16.28239, -39.0229373 -16.2825567, -39.0230942 -16.2826449, -39.0231813 -16.2826681, -39.0232752 -16.2826726, -39.0233765 -16.2826552, -39.0235072 -16.2826185, -39.0236096 -16.2825937)"
"[223280577, 504897084, 504897085, 223280534]",False,,"['Rua Sidrach Carvalho', 'Rua Presidente Vargas']",residential,,True,305.56899999999996,yes,"LINESTRING (-39.0219502 -16.2820286, -39.0218738 -16.2820386, -39.0217048 -16.282065, -39.0213521 -16.282109, -39.0213134 -16.2821184, -39.0212864 -16.2821338, -39.021266 -16.282164, -39.0212609 -16.2822133, -39.0212673 -16.2822658, -39.0212904 -16.2823121, -39.0218765 -16.2828766, -39.0219938 -16.2830086, -39.0220723 -16.2831263, -39.0221212 -16.2832136, -39.0224332 -16.2838471)"
1219030613,True,BR-367;BA-001,,secondary,,False,7.605,,"LINESTRING (-39.0236096 -16.2825937, -39.0236801 -16.2826036)"
210460317,False,BR-367;BA-001,Avenida Paulo Souto,secondary,,False,204.625,,"LINESTRING (-39.0236096 -16.2825937, -39.0235072 -16.2826185, -39.0233765 -16.2826552, -39.0232752 -16.2826726, -39.0231813 -16.2826681, -39.0230942 -16.2826449, -39.0229373 -16.2825567, -39.0226784 -16.28239, -39.0226104 -16.2823556, -39.0225577 -16.2823318, -39.0224793 -16.2823063, -39.0223137 -16.2822832, -39.022112 -16.282251, -39.0220521 -16.2822297, -39.0220102 -16.2821943, -39.0219811 -16.2821515, -39.0219636 -16.282093, -39.0219502 -16.2820286)"
1123415171,True,,Rua Campos Tourinho,tertiary,40,False,79.774,,"LINESTRING (-39.0236096 -16.2825937, -39.0235735 -16.2824838, -39.0233838 -16.2819098)"
223280574,False,,Rua Vinte e Três de Julho,residential,,True,55.608,,"LINESTRING (-39.0224812 -16.2780784, -39.0229778 -16.2779272)"
