osmid,oneway,name,highway,reversed,length,lanes,geometry,bridge,junction,maxspeed,ref
643064977,True,Travessa Doutor Gil Nunes Maia,tertiary,False,39.3,,"LINESTRING (-39.2781332 -14.7906904, -39.2778445 -14.7909072)",,,,
643433173,True,Avenida Inácio Tosta Filho,primary,False,64.158,,"LINESTRING (-39.2781332 -14.7906904, -39.2776877 -14.7903065)",,,,
643238453,True,Rua Aurora,residential,False,65.517,,"LINESTRING (-39.2710684 -14.7911099, -39.2706881 -14.7915703)",,,,
643238455,True,Rua do João Teles,secondary,False,24.552,2,"LINESTRING (-39.2710684 -14.7911099, -39.2709072 -14.7909535)",,,,
643238448,False,Rua do João Teles,secondary,False,2.553,2,"LINESTRING (-39.2712964 -14.7898051, -39.2712837 -14.7897857)",,,,
412755603,True,Avenida Aziz Maron,secondary,False,44.438,2,"LINESTRING (-39.2712964 -14.7898051, -39.2714319 -14.7900048, -39.2715137 -14.7901448)",,,,
643238448,False,Rua do João Teles,secondary,False,25.994,2,"LINESTRING (-39.2705898 -14.7889499, -39.2705025 -14.7888391, -39.2704469 -14.7887614)",,,,
643238448,False,Rua do João Teles,secondary,True,119.27700000000002,2,"LINESTRING (-39.2705898 -14.7889499, -39.2707372 -14.7891114, -39.270976 -14.7893838, -39.271161 -14.7896145, -39.2712837 -14.7897857)",,,,
776670969,False,,residential,True,63.459,,"LINESTRING (-39.2705898 -14.7889499, -39.2706916 -14.7891957, -39.2708283 -14.7894716)",,,,
763002104,False,Rua Felix Mendonça,residential,False,61.075,,"LINESTRING (-39.2740408 -14.7947029, -39.273591 -14.7950384)",,,,
240885882,True,Avenida Aziz Maron,secondary,False,122.96500000000002,2,"LINESTRING (-39.2740408 -14.7947029, -39.2739265 -14.794514, -39.2735757 -14.7939177, -39.2734776 -14.7937405)",,,,
240885882,True,Avenida Aziz Maron,secondary,False,63.607,2,"LINESTRING (-39.2746117 -14.7962631, -39.2744726 -14.7957071)",,,,
643238439,True,Rua Félix Mendonça,tertiary,False,63.887,,"LINESTRING (-39.2746117 -14.7962631, -39.2742303 -14.7958225)",,,,
