osmid,oneway,ref,highway,reversed,length,lanes,maxspeed,junction,geometry,name,bridge
835352701,False,BR-163,trunk,False,115.928,,,,"LINESTRING (-55.494871 -11.8598646, -55.4945921 -11.8588584)",,
835352702,False,BR-163,trunk,True,114.693,,,,"LINESTRING (-55.494871 -11.8598646, -55.4951285 -11.8608648)",,
137530996,True,,secondary,False,14.149999999999999,2,30,roundabout,"LINESTRING (-55.4967309 -11.8580926, -55.4966672 -11.8580799, -55.4966071 -11.8580556)",,
835352383,False,BR-163,trunk,False,198.387,,,,"LINESTRING (-55.4943453 -11.8578749, -55.4939041 -11.8561438)",Sinop,
137530991,True,,trunk_link,False,134.92,,,,"LINESTRING (-55.4943453 -11.8578749, -55.494246 -11.8578264, -55.4941803 -11.8578054, -55.4940757 -11.8578054, -55.4939647 -11.8578241, -55.4938383 -11.8579419, -55.4937874 -11.8580954, -55.4938155 -11.8582293, -55.4938719 -11.8583277, -55.4939859 -11.8584012, -55.4940894 -11.858442)",,
"[835296170, 835352404, 137530687]",False,BR-163,trunk,True,112.618,,,,"LINESTRING (-55.4943453 -11.8578749, -55.4944339 -11.8582034, -55.494512 -11.8585295, -55.4945921 -11.8588584)",Sinop,yes
381953298,True,,secondary,False,29.084,,,,"LINESTRING (-55.4962578 -11.8577425, -55.4964727 -11.857587)",,
137530996,True,,secondary,False,43.558,2,30,roundabout,"LINESTRING (-55.4967607 -11.8574232, -55.4968299 -11.8574288, -55.4968965 -11.8574479, -55.4969578 -11.8574797, -55.4970083 -11.8575199, -55.49705 -11.8575687, -55.4970801 -11.8576217)",,
835352391,True,,secondary,False,47.122,,,,"LINESTRING (-55.4958995 -11.8579746, -55.4961409 -11.8578486, -55.4962578 -11.8577425)",,
"[835352401, 835352395]",False,,secondary,True,53.305,,,,"LINESTRING (-55.4958995 -11.8579746, -55.4956917 -11.8580246, -55.4954243 -11.8580909)",,
138046020,False,,secondary,True,33.094,,,,"LINESTRING (-55.4940894 -11.858442, -55.4937935 -11.8585107)",,
835352392,False,,secondary,False,96.064,,,,"LINESTRING (-55.4940894 -11.858442, -55.4949464 -11.8582348)",,
137530982,True,,trunk_link,False,138.205,,,,"LINESTRING (-55.4940894 -11.858442, -55.4940078 -11.8585454, -55.493959 -11.8586598, -55.4939536 -11.8587683, -55.4939872 -11.8588829, -55.4940489 -11.8589748, -55.4941481 -11.859047, -55.494289 -11.8590719, -55.4944418 -11.8590365, -55.4945223 -11.8589774, -55.4945921 -11.8588584)",,
835352701,False,BR-163,trunk,True,115.928,,,,"LINESTRING (-55.4945921 -11.8588584, -55.494871 -11.8598646)",,
