osmid,oneway,highway,reversed,length,geometry,lanes,name,ref,maxspeed,junction,bridge
203501301,True,trunk_link,False,60.765,"LINESTRING (-49.0962258 -23.4189003, -49.0962525 -23.4188657, -49.0962622 -23.4188462, -49.0962884 -23.4187871, -49.0963048 -23.4187391, -49.0963132 -23.4186939, -49.0963149 -23.4186379, -49.0963045 -23.4185813, -49.0962267 -23.4183846)",,,,,,
795488369,True,secondary,False,18.824,"LINESTRING (-49.0962258 -23.4189003, -49.0963112 -23.4188753, -49.0963398 -23.4188612, -49.096357 -23.418849, -49.0963856 -23.4188225)",1,Avenida Santo Antônio,,,,
795488367,True,trunk_link,False,50.98,"LINESTRING (-49.0962267 -23.4183846, -49.0962879 -23.4184421, -49.0963259 -23.4184749, -49.0963862 -23.4185237, -49.0964801 -23.4185903, -49.0966064 -23.4186816)",,,,,,
839927447,False,trunk,True,44.931,"LINESTRING (-49.0962267 -23.4183846, -49.0963222 -23.4185247, -49.0963722 -23.4186022, -49.0964677 -23.4187224)",,Rodovia Eduardo Saigh,SP-255;BR-272,40,,
839927596,False,trunk,False,112.868,"LINESTRING (-49.0962267 -23.4183846, -49.0960879 -23.4182118, -49.0958372 -23.4178845, -49.0957452 -23.417771, -49.0955827 -23.4175594)",,Rodovia Eduardo Saigh,SP-255;BR-272,40,,
196945547,False,secondary,True,11.56,"LINESTRING (-49.0889169 -23.4198043, -49.0889051 -23.4197009)",,Avenida Antônio Justino Vieira,,,,
321235955,True,tertiary,False,14.661,"LINESTRING (-49.0889169 -23.4198043, -49.0887742 -23.4198197)",,Avenida Santo Antônio,,,,
196386944,False,residential,False,72.332,"LINESTRING (-49.091183 -23.4147811, -49.0911438 -23.4141316)",,Rua Salvador de Freitas,,,,
196386944,False,residential,True,91.572,"LINESTRING (-49.091183 -23.4147811, -49.0912277 -23.4156036)",,Rua Salvador de Freitas,,,,
795489978,False,residential,False,58.213,"LINESTRING (-49.091183 -23.4147811, -49.090614 -23.414819)",,Rua 12 de Outubro,,,,
795489978,False,residential,True,75.207,"LINESTRING (-49.091183 -23.4147811, -49.0919181 -23.414732)",,Rua 12 de Outubro,,,,
196386944,False,residential,True,72.332,"LINESTRING (-49.0911438 -23.4141316, -49.091183 -23.4147811)",,Rua Salvador de Freitas,,,,
196487362,False,residential,False,58.176,"LINESTRING (-49.0911438 -23.4141316, -49.0905746 -23.4141615)",,Rua Tenente Cabral,,,,
