osmid,oneway,ref,highway,reversed,length,geometry,name,maxspeed,bridge,junction
202621773,True,CE-060,trunk,False,97.059,"LINESTRING (-39.3073989 -7.3090535, -39.3072836 -7.3092471, -39.3072159 -7.3093203, -39.3071569 -7.3093576, -39.3070515 -7.3093944, -39.3069128 -7.3094061, -39.3066848 -7.3093622)",,,,
503094318,True,CE-293,secondary,False,77.338,"LINESTRING (-39.3073989 -7.3090535, -39.3072769 -7.3093968, -39.3071515 -7.3097041)",,,,
202621850,True,,tertiary,False,234.637,"LINESTRING (-39.3002475 -7.3077216, -39.2992167 -7.3095675)",Avenida General Costa Cavalcante,,,
503094319,False,,residential,True,65.923,"LINESTRING (-39.3051445 -7.307897, -39.304828 -7.3080566, -39.3046247 -7.308188)",Rua Severino Ribeiro Parente,,,
202621935,False,,residential,False,86.6,"LINESTRING (-39.3033176 -7.3078575, -39.3026716 -7.3083002)",Rua Quatorze de Maio,,,
202621987,False,,residential,True,113.701,"LINESTRING (-39.3033176 -7.3078575, -39.303939 -7.3086734)",Rua Totonho Filgueiras,,,
202621960,False,CE-060,primary,False,112.061,"LINESTRING (-39.3013631 -7.3079603, -39.3019317 -7.3087955)",Rua Senador Alencar,,,
202621833,False,,residential,False,242.253,"LINESTRING (-39.3013631 -7.3079603, -39.3000457 -7.3089146, -39.2999793 -7.3089631, -39.2998888 -7.3090809, -39.299756 -7.3093842)",Rua Padre Ibiapina,,,
202621866,False,,residential,True,13.401,"LINESTRING (-39.3046247 -7.308188, -39.3045233 -7.3082544)",Rua Neroly Filgueira,,,
503094319,False,,residential,False,65.923,"LINESTRING (-39.3046247 -7.308188, -39.304828 -7.3080566, -39.3051445 -7.307897)",Rua Severino Ribeiro Parente,,,
503096873,False,,residential,False,97.39,"LINESTRING (-39.3046247 -7.308188, -39.3048964 -7.3086086, -39.3050158 -7.3089658)",Rua da Matriz,,,
202621866,False,,residential,False,13.401,"LINESTRING (-39.3045233 -7.3082544, -39.3046247 -7.308188)",Rua Neroly Filgueira,,,
202621866,False,,residential,True,25.453,"LINESTRING (-39.3045233 -7.3082544, -39.3043376 -7.3083903)",Rua Neroly Filgueira,,,
202621728,True,CE-060,primary,False,116.206,"LINESTRING (-39.3026716 -7.3083002, -39.3032358 -7.3091828)",Rua Pero Coelho,,,
202621935,False,,residential,False,98.451,"LINESTRING (-39.3026716 -7.3083002, -39.3019317 -7.3087955)",Rua Quatorze de Maio,,,
202621935,False,,residential,True,86.6,"LINESTRING (-39.3026716 -7.3083002, -39.3033176 -7.3078575)",Rua Quatorze de Maio,,,
202621866,False,,residential,False,25.453,"LINESTRING (-39.3043376 -7.3083903, -39.3045233 -7.3082544)",Rua Neroly Filgueira,,,
202621866,False,,residential,True,54.071,"LINESTRING (-39.3043376 -7.3083903, -39.303939 -7.3086734)",Rua Neroly Filgueira,,,
1229004572,False,,residential,True,45.286,"LINESTRING (-39.3043376 -7.3083903, -39.3042548 -7.3087892)",Rua do Video,,,
202621866,False,,residential,False,54.071,"LINESTRING (-39.303939 -7.3086734, -39.3043376 -7.3083903)",Rua Neroly Filgueira,,,
202621866,False,,residential,True,5.223,"LINESTRING (-39.303939 -7.3086734, -39.3038997 -7.3086996)",Rua Neroly Filgueira,,,
202621987,False,,residential,False,113.701,"LINESTRING (-39.303939 -7.3086734, -39.3033176 -7.3078575)",Rua Totonho Filgueiras,,,
202621935,False,,residential,True,98.451,"LINESTRING (-39.3019317 -7.3087955, -39.3026716 -7.3083002)",Rua Quatorze de Maio,,,
202621960,False,CE-060,primary,False,45.208,"LINESTRING (-39.3019317 -7.3087955, -39.3021739 -7.3091235)",Rua Senador Alencar,,,
202621960,False,CE-060,primary,True,112.061,"LINESTRING (-39.3019317 -7.3087955, -39.3013631 -7.3079603)",Rua Senador Alencar,,,
769542422,False,,residential,True,40.412,"LINESTRING (-39.3042548 -7.3087892, -39.3038997 -7.3086996)",Rua Dom Pedro,,,
1229004572,False,,residential,False,45.286,"LINESTRING (-39.3042548 -7.3087892, -39.3043376 -7.3083903)",Rua do Video,,,
1229004573,True,,residential,False,75.439,"LINESTRING (-39.3042548 -7.3087892, -39.3041116 -7.3094526)",Rua do Video,,,
681887291,False,,residential,True,21.308,"LINESTRING (-39.3047269 -7.3089074, -39.3045384 -7.3088654)",Rua Dom Pedro,,,
202621831,False,,residential,True,76.344,"LINESTRING (-39.3047269 -7.3089074, -39.304659 -7.3091195, -39.3045651 -7.3095741)",Travessa dos Tabajaras,,,
681887291,False,,residential,False,32.538,"LINESTRING (-39.3047269 -7.3089074, -39.3048783 -7.3089432, -39.3050158 -7.3089658)",Rua Dom Pedro,,,
"[202621930, 449019970, 449019974]",False,,residential,False,243.19100000000003,"LINESTRING (-39.3050158 -7.3089658, -39.3051096 -7.3090303, -39.3061604 -7.309881, -39.3065739 -7.3100558, -39.3065954 -7.3100649, -39.3066155 -7.3100731, -39.3066685 -7.3100841, -39.3068499 -7.3101236)",Rua Salamanca,,,
503096873,False,,residential,True,97.39,"LINESTRING (-39.3050158 -7.3089658, -39.3048964 -7.3086086, -39.3046247 -7.308188)",Rua da Matriz,,,
681887291,False,,residential,True,32.538,"LINESTRING (-39.3050158 -7.3089658, -39.3048783 -7.3089432, -39.3047269 -7.3089074)",Rua Dom Pedro,,,
202621960,False,CE-060,primary,True,45.208,"LINESTRING (-39.3021739 -7.3091235, -39.3019317 -7.3087955)",Rua Senador Alencar,,,
202622012,False,,residential,False,56.04,"LINESTRING (-39.3021739 -7.3091235, -39.3017759 -7.3094368)",Rua Nezinho de Sá,,,
202621960,False,CE-060,primary,False,73.39,"LINESTRING (-39.3021739 -7.3091235, -39.3024697 -7.3095126, -39.3025749 -7.3096502)",Rua Senador Alencar,,,
202621866,False,,residential,False,90.821,"LINESTRING (-39.3032358 -7.3091828, -39.3038997 -7.3086996)",Rua Neroly Filgueira,,,
