osmid,name,highway,oneway,reversed,length,ref,maxspeed,width,geometry,lanes
368946243,Rua Augustinho Teixeira de Lima,residential,False,False,9.253,,,,"LINESTRING (-50.1464041 -26.4055791, -50.1463678 -26.4055025)",
368946243,Rua Augustinho Teixeira de Lima,residential,False,True,96.632,,,,"LINESTRING (-50.1464041 -26.4055791, -50.1467576 -26.4063884)",
1104759497,Rua Tenente Ary Rauen,secondary,True,False,139.791,SC-477,40,6,"LINESTRING (-50.1464041 -26.4055791, -50.1451043 -26.4060536)",
37192205,Rua Tenente Ary Rauen,secondary,True,False,48.695,SC-477,40,6,"LINESTRING (-50.1412665 -26.4073722, -50.14172 -26.4072085)",
646477617,Rua Mafra,unclassified,False,False,9.039,,,10,"LINESTRING (-50.1412665 -26.4073722, -50.1412946 -26.4074495)",
646477617,Rua Mafra,unclassified,False,True,106.106,,,10,"LINESTRING (-50.1412665 -26.4073722, -50.1409341 -26.4064656)",
368946243,Rua Augustinho Teixeira de Lima,residential,False,False,96.632,,,,"LINESTRING (-50.1467576 -26.4063884, -50.1464041 -26.4055791)",
368946243,Rua Augustinho Teixeira de Lima,residential,False,True,121.904,,,,"LINESTRING (-50.1467576 -26.4063884, -50.147206 -26.4074085)",
368946247,Rua Nereu Ramos,tertiary,False,False,140.608,,,10,"LINESTRING (-50.1467576 -26.4063884, -50.1454493 -26.4068637)",
368946250,Rua Simeão Alves de Almeida,residential,False,False,120.67,,40,10,"LINESTRING (-50.143501 -26.4087542, -50.1430349 -26.4077525)",
368946250,Rua Simeão Alves de Almeida,residential,False,True,118.508,,40,10,"LINESTRING (-50.143501 -26.4087542, -50.1439516 -26.4097406)",
368946262,Rua Jorge Lacerda,residential,False,False,101.708,,,10,"LINESTRING (-50.143501 -26.4087542, -50.142546 -26.4090783)",
368946262,Rua Jorge Lacerda,residential,False,True,100.294,,,10,"LINESTRING (-50.143501 -26.4087542, -50.1444339 -26.4084145)",
368946259,Rua Jahir Damaso da Silveira,residential,False,False,151.231,,40,10,"LINESTRING (-50.1473235 -26.4110101, -50.146761 -26.4097468)",
368947453,Rua Francisco Frederico,residential,False,False,360.012,,,,"LINESTRING (-50.1473235 -26.4110101, -50.1439696 -26.4122182)",
368946259,Rua Jahir Damaso da Silveira,residential,False,True,222.679,,40,10,"LINESTRING (-50.1442281 -26.4041298, -50.1450744 -26.4059834)",
368947454,Rua Graciliano Machado,residential,False,False,155.348,,,,"LINESTRING (-50.1442281 -26.4041298, -50.1427697 -26.4046253)",
"[368947454, 907844983]","['Rua Augustinho Teixeira de Lima', 'Rua Graciliano Machado']",residential,False,"[False, True]",228.07799999999997,,,,"LINESTRING (-50.1442281 -26.4041298, -50.1453708 -26.4037201, -50.1454602 -26.4037122, -50.1456365 -26.403905, -50.1457995 -26.4042407, -50.1458512 -26.404344, -50.1459141 -26.4044719)",
368946243,Rua Augustinho Teixeira de Lima,residential,False,True,9.253,,,,"LINESTRING (-50.1463678 -26.4055025, -50.1464041 -26.4055791)",
