osmid,oneway,name,highway,reversed,length,geometry,bridge,ref,lanes
227335322,False,Rua Simões Filho,residential,False,71.158,"LINESTRING (-37.9240268 -10.2841223, -37.9246223 -10.283865)",,,
374820086,False,Rua Abidas Rodrigues de Souza,residential,False,69.805,"LINESTRING (-37.9240268 -10.2841223, -37.9243527 -10.284662)",,,
374820086,False,Rua Abidas Rodrigues de Souza,residential,True,64.296,"LINESTRING (-37.9240268 -10.2841223, -37.9237318 -10.2836222)",,,
374820165,False,Rua Gracinda Maria da Soledade Santos,residential,True,103.939,"LINESTRING (-37.9240268 -10.2841223, -37.9231364 -10.2844482)",,,
227335321,False,Praça Antônio Carlos Magalhães,residential,True,32.992,"LINESTRING (-37.9263094 -10.2851165, -37.9264896 -10.2853544)",,,
227335323,False,Praça Antônio Carlos Magalhães,residential,True,9.238,"LINESTRING (-37.9263094 -10.2851165, -37.9262397 -10.2851634)",,,
227335323,False,Praça Antônio Carlos Magalhães,residential,False,119.043,"LINESTRING (-37.9263094 -10.2851165, -37.9270095 -10.2846237, -37.9271986 -10.2844997)",,,
227335325,False,Rua Santa Bárbara,residential,False,229.012,"LINESTRING (-37.9261954 -10.2826431, -37.9242548 -10.283415)",,,
227335325,False,Rua Santa Bárbara,residential,True,46.321,"LINESTRING (-37.9261954 -10.2826431, -37.926583 -10.2824755)",,,
227335537,False,Avenida Doutor Carvalho de Sá,secondary,False,62.673,"LINESTRING (-37.9261954 -10.2826431, -37.9264596 -10.2831432)",,,
227335537,False,Avenida Doutor Carvalho de Sá,secondary,True,64.394,"LINESTRING (-37.9261954 -10.2826431, -37.9259057 -10.282139)",,,
227335325,False,Rua Santa Bárbara,residential,False,101.903,"LINESTRING (-37.9237318 -10.2836222, -37.9228748 -10.2839811)",,,
227335325,False,Rua Santa Bárbara,residential,True,61.685,"LINESTRING (-37.9237318 -10.2836222, -37.9242548 -10.283415)",,,
374820086,False,Rua Abidas Rodrigues de Souza,residential,False,64.296,"LINESTRING (-37.9237318 -10.2836222, -37.9240268 -10.2841223)",,,
227335537,False,Avenida Doutor Carvalho de Sá,secondary,True,28.501,"LINESTRING (-37.9273435 -10.2847127, -37.9271986 -10.2844997)",,,
374820134,False,Rua Jeremoabo,residential,False,21.127,"LINESTRING (-37.9273435 -10.2847127, -37.9272066 -10.2848467)",,,
693527975,False,Rua Monsenhor José Magalhães,secondary,False,107.383,"LINESTRING (-37.9273435 -10.2847127, -37.9281643 -10.2841832)",,,
227335321,False,Praça Antônio Carlos Magalhães,residential,False,32.992,"LINESTRING (-37.9264896 -10.2853544, -37.9263094 -10.2851165)",,,
374820134,False,Rua Jeremoabo,residential,False,64.8,"LINESTRING (-37.9264896 -10.2853544, -37.9260069 -10.2856921)",,,
374820134,False,Rua Jeremoabo,residential,True,39.097,"LINESTRING (-37.9264896 -10.2853544, -37.9267818 -10.285152)",,,
227335322,False,Rua Simões Filho,residential,False,30.722,"LINESTRING (-37.9264596 -10.2831432, -37.9267077 -10.2830138)",,,
227335322,False,Rua Simões Filho,residential,True,216.448,"LINESTRING (-37.9264596 -10.2831432, -37.9246223 -10.283865)",,,
227335537,False,Avenida Doutor Carvalho de Sá,secondary,True,62.673,"LINESTRING (-37.9264596 -10.2831432, -37.9261954 -10.2826431)",,,
227335537,False,Avenida Doutor Carvalho de Sá,secondary,False,71.376,"LINESTRING (-37.9264596 -10.2831432, -37.9265589 -10.2833305, -37.9267721 -10.2837066)",,,
374820123,False,,residential,False,40.269,"LINESTRING (-37.9234627 -10.2812184, -37.9231283 -10.2813697)",,,
374820163,False,,residential,False,40.559,"LINESTRING (-37.9234627 -10.2812184, -37.9236355 -10.2815411)",,,
374820146,False,Rua José da Costa Filho,residential,False,20.388,"LINESTRING (-37.9262222 -10.2812826, -37.9260491 -10.2813505)",,,
