osmid,oneway,lanes,name,highway,reversed,length,bridge,geometry,maxspeed,ref
"[542624273, 251388003, 542624276]",True,2,Travessa João Coutinho,residential,False,135.97699999999998,yes,"LINESTRING (-42.1447688 -19.7893235, -42.1446781 -19.789779, -42.1446406 -19.7899365, -42.1445196 -19.7905236)",,
251391362,False,2,Rua Coronel Antônio da Silva,secondary,False,37.607,,"LINESTRING (-42.1396977 -19.7883115, -42.1398078 -19.7882255, -42.1399464 -19.7880692)",,
542472896,False,2,Avenida Maria Catarina Cimini,secondary,True,30.23,,"LINESTRING (-42.1396977 -19.7883115, -42.139811 -19.788297, -42.1399122 -19.7882976, -42.139985 -19.7883062)",,
547726283,False,2,Avenida Maria Catarina Cimini,secondary,False,91.198,,"LINESTRING (-42.1396977 -19.7883115, -42.139636 -19.7883203, -42.1395139 -19.7883373, -42.1393066 -19.7883681, -42.1390159 -19.7884015, -42.138834 -19.788421)",,
547252896,False,,,tertiary,False,9.964,,"LINESTRING (-42.1376967 -19.7886068, -42.1376832 -19.7885181)",,
352188555,False,2,Avenida Maria Catarina Cimini,secondary,False,50.82299999999999,,"LINESTRING (-42.1376967 -19.7886068, -42.1375351 -19.788632, -42.1372184 -19.7886864)",,
352188555,False,2,Avenida Maria Catarina Cimini,secondary,True,79.147,,"LINESTRING (-42.1376967 -19.7886068, -42.1380036 -19.7885575, -42.1381498 -19.7885306, -42.1384404 -19.7884769)",,
251387987,False,,Rua Dona Julica,tertiary,False,88.072,,"LINESTRING (-42.1371938 -19.7907041, -42.1380321 -19.7906323)",,
251391357,True,2,Avenida João Caetano do Nascimento,secondary,False,103.261,,"LINESTRING (-42.1371938 -19.7907041, -42.1373172 -19.7910145, -42.1373977 -19.7912277, -42.1374674 -19.7914057, -42.1375211 -19.7915798)",40,
251387991,False,,Rua João da Silva Araújo,residential,False,209.894,,"LINESTRING (-42.1382922 -19.7868502, -42.1384709 -19.7869425, -42.1385579 -19.7869805, -42.138659 -19.7870226, -42.1387299 -19.7870558, -42.138806 -19.7871035, -42.1388512 -19.7871572, -42.1388745 -19.7872372, -42.1388811 -19.7873089, -42.1388828 -19.7873651, -42.1388797 -19.7874197, -42.1388625 -19.7874911, -42.1388407 -19.7875972, -42.1388308 -19.7876849, -42.1388219 -19.7877635, -42.138818 -19.7878377, -42.1388145 -19.7880375, -42.1388175 -19.7881404, -42.1388269 -19.7883292, -42.138834 -19.788421)",,
251387991,False,,Rua João da Silva Araújo,residential,True,310.63700000000006,,"LINESTRING (-42.1382922 -19.7868502, -42.1382426 -19.78696, -42.1382305 -19.7870237, -42.1382399 -19.7870836, -42.1382573 -19.7871467, -42.1382727 -19.7872142, -42.1382821 -19.7872994, -42.1382768 -19.7873531, -42.1382572 -19.7874376, -42.138205 -19.7875183, -42.1381415 -19.787571, -42.1380699 -19.7876143, -42.1379742 -19.7876732, -42.1378644 -19.7877247, -42.1377128 -19.7877651, -42.1375828 -19.7877878, -42.1374623 -19.7877951, -42.1373707 -19.7877984, -42.1372348 -19.7877856, -42.1370952 -19.787736, -42.1369816 -19.7876749, -42.1368808 -19.7876106, -42.1367928 -19.7875291, -42.1366923 -19.7873978, -42.1365823 -19.7872338, -42.1365206 -19.787124, -42.1364495 -19.7870054)",,
643744646,False,,Rua Maria das Dores Cimini,residential,True,117.47,,"LINESTRING (-42.1382922 -19.7868502, -42.1383351 -19.7867808, -42.1384008 -19.7867252, -42.1385001 -19.7866861, -42.1386369 -19.7866697, -42.1388313 -19.7866842, -42.1389748 -19.7867, -42.1391049 -19.7867164, -42.1392082 -19.7867316, -42.1393362 -19.7867379)",,
251387991,False,,Rua João da Silva Araújo,residential,False,310.63700000000006,,"LINESTRING (-42.1364495 -19.7870054, -42.1365206 -19.787124, -42.1365823 -19.7872338, -42.1366923 -19.7873978, -42.1367928 -19.7875291, -42.1368808 -19.7876106, -42.1369816 -19.7876749, -42.1370952 -19.787736, -42.1372348 -19.7877856, -42.1373707 -19.7877984, -42.1374623 -19.7877951, -42.1375828 -19.7877878, -42.1377128 -19.7877651, -42.1378644 -19.7877247, -42.1379742 -19.7876732, -42.1380699 -19.7876143, -42.1381415 -19.787571, -42.138205 -19.7875183, -42.1382572 -19.7874376, -42.1382768 -19.7873531, -42.1382821 -19.7872994, -42.1382727 -19.7872142, -42.1382573 -19.7871467, -42.1382399 -19.7870836, -42.1382305 -19.7870237, -42.1382426 -19.78696, -42.1382922 -19.7868502)",,
251387991,False,,Rua João da Silva Araújo,residential,True,53.318,,"LINESTRING (-42.1364495 -19.7870054, -42.1362526 -19.7869359, -42.136094 -19.786873, -42.1359741 -19.7868331)",,
251387993,False,,Rua Alceu Cristiano,residential,False,59.215,,"LINESTRING (-42.1364495 -19.7870054, -42.1363363 -19.7867506, -42.1362859 -19.7866281, -42.1362403 -19.7865107)",,
251387997,False,,Rua Sebastião Azeredo Campos,residential,True,165.026,,"LINESTRING (-42.1374097 -19.7862444, -42.1370319 -19.7861347, -42.1366351 -19.7859809, -42.1359319 -19.7857283)",,
251387998,False,,Rua Patrina Barros,residential,True,245.39000000000001,,"LINESTRING (-42.1374097 -19.7862444, -42.137513 -19.7864337, -42.1376216 -19.7866382, -42.1377102 -19.7868174, -42.1377142 -19.7868634, -42.1377021 -19.7868906, -42.1376686 -19.7869284, -42.1376082 -19.7869568, -42.1375331 -19.7869732, -42.1374533 -19.7869688, -42.1373326 -19.7869436, -42.1371409 -19.7868647, -42.1368845 -19.7867656, -42.1366114 -19.7866562, -42.136391 -19.7865706, -42.1362403 -19.7865107)",,
