osmid,oneway,lanes,ref,name,highway,reversed,length,bridge,geometry,junction
"[962824273, 98384529, 98384533]",True,3,SC-355,Rua Vitória,primary,False,108.189,yes,"LINESTRING (-51.1559037 -27.0058006, -51.1558418 -27.0057754, -51.1550267 -27.0054439, -51.1549791 -27.0054245, -51.1549103 -27.0053965)",
99429224,True,2,SC-355,Rua XV de Novembro,primary,False,98.793,,"LINESTRING (-51.1577678 -27.0020701, -51.1574719 -27.0023701, -51.1572548 -27.0028193)",
"[962824272, 577545625, 962824271]",True,2,,Rua Farroupiha,primary,False,122.15999999999998,yes,"LINESTRING (-51.1569008 -27.0010819, -51.1569788 -27.0011567, -51.1577059 -27.0018541, -51.15774 -27.0018868)",
99370098,True,1,,Rua Nicolau Cavon,primary,False,35.730999999999995,,"LINESTRING (-51.1549103 -27.0053965, -51.1548451 -27.0053493, -51.1548076 -27.0053196, -51.1547621 -27.0052745, -51.1547295 -27.0052011, -51.1547363 -27.0051392)",
"[203038544, 99370129]",True,3,,"['Praça Nereu Ramos', 'Rua Pedro Andreazza']",secondary,False,119.09700000000001,,"LINESTRING (-51.1549103 -27.0053965, -51.1548905 -27.0054358, -51.1545238 -27.0061716, -51.1544401 -27.0062216, -51.154394 -27.0062363, -51.1543648 -27.0062371, -51.1542973 -27.0062168)",
98384539,True,2,,Rua Farroupiha,primary,False,18.716,,"LINESTRING (-51.1567164 -27.0010945, -51.1567703 -27.0010768, -51.1568244 -27.0010724, -51.1569008 -27.0010819)",
98384532,True,1,,Rua Farroupiha,primary,False,21.367,,"LINESTRING (-51.15774 -27.0018868, -51.1577665 -27.0019303, -51.1577792 -27.0019745, -51.1577806 -27.0020253, -51.1577678 -27.0020701)",
557403918,True,1,,Rua Farroupiha,primary,False,21.285,,"LINESTRING (-51.15774 -27.0018868, -51.1577664 -27.0019046, -51.1578004 -27.0019121, -51.1578403 -27.001916, -51.1578859 -27.001913, -51.1579442 -27.0018975)",
98384536,True,2,,Rua Nicolau Cavon,primary,False,490.735,,"LINESTRING (-51.1547363 -27.0051392, -51.15545 -27.0036931, -51.1556925 -27.0032017, -51.1560787 -27.0024668, -51.1567164 -27.0010945)",
945327551,True,,,Rua Padre Anchieta,secondary,False,36.519,,"LINESTRING (-51.1488327 -27.0078647, -51.1484648 -27.0078441)",
