osmid,name,highway,oneway,reversed,length,ref,geometry,junction,maxspeed,bridge
258908976,Rua João da Luz,residential,False,False,19.22,,"LINESTRING (-35.6106506 -7.2894354, -35.6107135 -7.2895966)",,,
299783749,Rua Venâncio Neiva,primary,False,False,24.148,PB-066;BR-408,"LINESTRING (-35.6106506 -7.2894354, -35.6104473 -7.2893548)",,,
299783749,Rua Venâncio Neiva,primary,False,True,32.237,PB-066;BR-408,"LINESTRING (-35.6106506 -7.2894354, -35.6109347 -7.2893673)",,,
198103502,Rua Severino Pequeno de Menezes,residential,False,True,51.455,,"LINESTRING (-35.6107982 -7.2926746, -35.6110485 -7.2930651)",,,
198103518,Rua Trigueiro Monteiro,residential,False,False,109.161,,"LINESTRING (-35.6107982 -7.2926746, -35.6099499 -7.2931803)",,,
198103518,Rua Trigueiro Monteiro,residential,False,True,113.793,,"LINESTRING (-35.6107982 -7.2926746, -35.6116878 -7.2921563)",,,
198103520,Rua Antônio da Silva,residential,False,True,52.124,,"LINESTRING (-35.6121089 -7.2927716, -35.6125279 -7.2925548)",,,
259131404,Rua Floriano Peixoto,secondary,False,False,51.441,PB-090,"LINESTRING (-35.6121089 -7.2927716, -35.6124133 -7.2931221)",,,
259131404,Rua Floriano Peixoto,secondary,False,True,35.877,PB-090,"LINESTRING (-35.6121089 -7.2927716, -35.6119137 -7.2925135)",,,
198103518,Rua Trigueiro Monteiro,residential,False,True,39.652,,"LINESTRING (-35.6096417 -7.2933639, -35.6099499 -7.2931803)",,,
259135434,Rua Silvero Lacerda,residential,False,False,50.76,,"LINESTRING (-35.6096417 -7.2933639, -35.6099018 -7.2937405)",,,
259135434,Rua Silvero Lacerda,residential,False,True,94.968,,"LINESTRING (-35.6096417 -7.2933639, -35.6091448 -7.2926664)",,,
198103518,Rua Trigueiro Monteiro,residential,False,False,92.694,,"LINESTRING (-35.6096417 -7.2933639, -35.6093337 -7.2935151, -35.6088677 -7.2936858)",,,
198103522,Rua José Sinval da Silva,residential,False,False,47.714,,"LINESTRING (-35.6124536 -7.2937629, -35.6128357 -7.2935617)",,,
198103522,Rua José Sinval da Silva,residential,False,True,39.681,,"LINESTRING (-35.6124536 -7.2937629, -35.6121335 -7.2939258)",,,
198103524,Rua José Rosendo Barbosa,residential,False,True,86.454,,"LINESTRING (-35.6124536 -7.2937629, -35.6128426 -7.2944379)",,,
198103504,Rua Sebastião Inácio Monteiro,residential,False,False,102.026,,"LINESTRING (-35.6099018 -7.2937405, -35.6090855 -7.2941721)",,,
198103504,Rua Sebastião Inácio Monteiro,residential,False,True,35.6,,"LINESTRING (-35.6099018 -7.2937405, -35.6101802 -7.2935785)",,,
259135434,Rua Silvero Lacerda,residential,False,True,50.76,,"LINESTRING (-35.6099018 -7.2937405, -35.6096417 -7.2933639)",,,
"[198103514, 259135434]","['Rua Noberto Monteiro', 'Rua Silvero Lacerda']",residential,False,False,117.67999999999999,,"LINESTRING (-35.6099018 -7.2937405, -35.6103699 -7.2943954, -35.6105842 -7.2942536)",,,
198103501,Rua Francisco Vargas,residential,False,True,28.424,,"LINESTRING (-35.6080493 -7.289851, -35.6079796 -7.2896049)",,,
