osmid,oneway,name,highway,reversed,length,lanes,geometry,maxspeed,bridge
786364441,True,Avenida Quarenta e Três,secondary,False,101.737,,"LINESTRING (-48.5735136 -20.548679, -48.5743381 -20.54917)",,
156982999,True,Rua Dez,residential,False,102.144,,"LINESTRING (-48.5699161 -20.5486757, -48.5693928 -20.5494527)",,
795800160,False,Avenida Trinta e Nove,residential,False,105.06,,"LINESTRING (-48.5699161 -20.5486757, -48.5707668 -20.5491838)",,
156982877,True,Avenida Mato Grosso,residential,False,117.724,,"LINESTRING (-48.5683725 -20.5488273, -48.5685802 -20.549868)",,
635055985,False,Rua Porto Taboado,residential,False,85.299,,"LINESTRING (-48.5683725 -20.5488273, -48.5679241 -20.5494693)",,
777563784,True,Rua Catorze,secondary,False,100.628,,"LINESTRING (-48.5721335 -20.5489268, -48.5716155 -20.5496908)",,
156982903,True,Rua Seis,residential,False,66.13,,"LINESTRING (-48.5667119 -20.5489802, -48.5664659 -20.5495285)",,
156982966,True,Avenida Trinta e Cinco,residential,False,98.922,,"LINESTRING (-48.5667119 -20.5489802, -48.5675264 -20.5494382)",,
156982941,True,Rua Quatro,tertiary,False,45.406,,"LINESTRING (-48.5656427 -20.549062, -48.5658018 -20.5486818)",,
156982955,False,Avenida São Jorge,residential,True,100.186,,"LINESTRING (-48.5656427 -20.549062, -48.5664659 -20.5495285)",,
156982933,True,Rua Dezoito,tertiary,False,100.547,,"LINESTRING (-48.5743381 -20.54917, -48.5738234 -20.5499351)",,
156982936,True,Avenida Trinta e Nove,residential,False,104.818,,"LINESTRING (-48.5707668 -20.5491838, -48.5716155 -20.5496908)",,
795800160,False,Avenida Trinta e Nove,residential,True,105.06,,"LINESTRING (-48.5707668 -20.5491838, -48.5699161 -20.5486757)",,
156982966,True,Avenida Trinta e Cinco,residential,False,37.637,,"LINESTRING (-48.5675264 -20.5494382, -48.567833 -20.5496175)",,
906519176,False,Rua Oito,residential,True,66.591,,"LINESTRING (-48.5675264 -20.5494382, -48.5672864 -20.5499933)",,
156982934,True,Rua Dezesseis,tertiary,False,100.46,,"LINESTRING (-48.5730027 -20.5494454, -48.5735136 -20.548679)",,
156982939,True,Avenida Quarenta e Um,residential,False,107.312,2,"LINESTRING (-48.5730027 -20.5494454, -48.5721335 -20.5489268)",,
156982999,True,Rua Dez,residential,False,106.5,,"LINESTRING (-48.5693928 -20.5494527, -48.5688655 -20.5502734)",,
635055984,True,Avenida Trinta e Sete,residential,False,126.971,,"LINESTRING (-48.5693928 -20.5494527, -48.5683725 -20.5488273)",,
