osmid,name,highway,oneway,reversed,length,lanes,maxspeed,geometry,access,width,bridge
139083280,Rua Taumaturgo de Azevedo,residential,False,True,105.859,,,"LINESTRING (-42.8014083 -5.0909484, -42.8005457 -5.0905384)",,,
580171647,Avenida Miguel Rosa,primary,True,False,119.621,3,60,"LINESTRING (-42.8014083 -5.0909484, -42.801472 -5.0898745)",,,
638667780,Rua São Pedro,tertiary,True,False,7.329,2,,"LINESTRING (-42.8015967 -5.0887879, -42.8015405 -5.0887531)",,,
638667779,Avenida Miguel Rosa,primary,True,False,286.142,3,60,"LINESTRING (-42.8015967 -5.0887879, -42.8016953 -5.0886107, -42.8017198 -5.0885642, -42.8017564 -5.0885034, -42.8023441 -5.0875582, -42.8028926 -5.0866615, -42.8029373 -5.0865885)",,,
329164071,,residential,True,False,8.388,,,"LINESTRING (-42.8046675 -5.0838349, -42.8047331 -5.0838726)",,,
204236971,Rua Desembargador Pires de Castro,secondary,True,False,23.131,4,50,"LINESTRING (-42.8056504 -5.0878938, -42.8057421 -5.0877069)",yes,,
329164237,Avenida Frei Serafim,primary,True,False,89.087,4,60,"LINESTRING (-42.8056504 -5.0878938, -42.8055988 -5.0878702, -42.8050174 -5.0876037, -42.8049197 -5.0875589)",yes,,
204236971,Rua Desembargador Pires de Castro,secondary,True,False,102.011,4,50,"LINESTRING (-42.8057421 -5.0877069, -42.8057806 -5.0876293, -42.8061437 -5.0868813)",yes,,
1034253950,Avenida Frei Serafim,primary,True,False,89.864,3,60,"LINESTRING (-42.8057421 -5.0877069, -42.8058598 -5.0877607, -42.8060118 -5.0878303, -42.8064389 -5.0880259, -42.8064787 -5.0880457)",yes,,
46677290,Rua São Pedro,tertiary,True,False,92.613,2,,"LINESTRING (-42.8038079 -5.089916, -42.8031068 -5.0895663, -42.8030601 -5.0895433)",,,
167668281,Rua 1º de Maio,residential,True,False,104.537,2,40,"LINESTRING (-42.8038079 -5.089916, -42.8035967 -5.0903618, -42.8033893 -5.0907584)",,,
167668281,Rua 1º de Maio,residential,True,False,100.69300000000001,2,40,"LINESTRING (-42.8045942 -5.088262, -42.8044771 -5.0885036, -42.8044359 -5.0885893, -42.8041996 -5.0890778)",,,
46677290,Rua São Pedro,tertiary,True,False,88.084,2,,"LINESTRING (-42.804522 -5.0902647, -42.8038079 -5.089916)",,,
579968481,Rua Desembargador Pires de Castro,secondary,True,False,101.465,3,50,"LINESTRING (-42.804522 -5.0902647, -42.8049083 -5.0894373)",yes,,
840357567,Rua Paissandu,residential,True,False,88.872,2,40,"LINESTRING (-42.8053145 -5.0886142, -42.8045942 -5.088262)",yes,,
579968481,Rua Desembargador Pires de Castro,secondary,True,False,88.32300000000001,3,50,"LINESTRING (-42.8053145 -5.0886142, -42.805617 -5.0879665, -42.8056504 -5.0878938)",yes,,
204236971,Rua Desembargador Pires de Castro,secondary,True,False,109.118,4,50,"LINESTRING (-42.8061437 -5.0868813, -42.8063275 -5.0865349, -42.8065663 -5.0859955)",yes,,
204250017,Rua Álvaro Mendes,residential,True,False,90.828,2,,"LINESTRING (-42.8061437 -5.0868813, -42.8059007 -5.0867553, -42.8054163 -5.0865041)",,,
204238153,Rua Areolino de Abreu,residential,True,False,92.14,2,50,"LINESTRING (-42.8072006 -5.084629, -42.8079426 -5.0850037)",,,
204236971,Rua Desembargador Pires de Castro,secondary,True,False,111.483,4,50,"LINESTRING (-42.8072006 -5.084629, -42.8074703 -5.084102, -42.8076459 -5.08373)",yes,,
840357567,Rua Paissandu,residential,True,False,89.277,2,40,"LINESTRING (-42.8067564 -5.0893361, -42.8060344 -5.0889791)",yes,,
204232292,Rua Magalhães Filho,residential,True,False,101.345,,,"LINESTRING (-42.8067564 -5.0893361, -42.8066079 -5.0896426, -42.8063603 -5.0901577)",,,
138743029,Rua Magalhães Filho,residential,True,False,100.237,2,40,"LINESTRING (-42.8075656 -5.0875769, -42.8072298 -5.088414)",permissive,7,
