osmid,name,highway,oneway,reversed,length,bridge,geometry,junction,width
250619345,Rua João XXIII,residential,False,False,80.096,,"LINESTRING (-62.2581631 -10.717415, -62.2575951 -10.7169596)",,
250619345,Rua João XXIII,residential,False,True,79.935,,"LINESTRING (-62.2581631 -10.717415, -62.2587282 -10.7178716)",,
250619352,Rua Osvaldo Cruz,residential,False,False,139.202,,"LINESTRING (-62.2581631 -10.717415, -62.2589564 -10.7164354)",,
250619352,Rua Osvaldo Cruz,residential,False,True,85.477,,"LINESTRING (-62.2581631 -10.717415, -62.2576811 -10.7180205)",,
250619345,Rua João XXIII,residential,False,True,80.096,,"LINESTRING (-62.2575951 -10.7169596, -62.2581631 -10.717415)",,
550150927,Rua Presidente Dutra,residential,False,True,77.658,,"LINESTRING (-62.2575951 -10.7169596, -62.2571594 -10.7175114)",,
556762661,Rua Paraná,residential,False,False,140.077,,"LINESTRING (-62.2575951 -10.7169596, -62.258395 -10.7159751)",,
"[1025248000, 1025248001, 371998377]",Rua João Paulo Primeiro,residential,False,True,87.739,yes,"LINESTRING (-62.2575951 -10.7169596, -62.2573578 -10.7167777, -62.257287 -10.7167238, -62.2569626 -10.7164734)",,
250619352,Rua Osvaldo Cruz,residential,False,True,140.605,,"LINESTRING (-62.2605913 -10.7144709, -62.2597763 -10.7154495)",,
251630277,Avenida Duque de Caxias,residential,False,False,82.268,,"LINESTRING (-62.2605913 -10.7144709, -62.2600112 -10.7139992)",,
251630277,Avenida Duque de Caxias,residential,False,True,72.273,,"LINESTRING (-62.2605913 -10.7144709, -62.2610503 -10.714849, -62.2610992 -10.7148873)",,
251626224,Rua João Paulo Primeiro,residential,False,False,73.11,,"LINESTRING (-62.2605359 -10.71965, -62.2600274 -10.7192226)",,
251626224,Rua João Paulo Primeiro,residential,False,True,75.596,,"LINESTRING (-62.2605359 -10.71965, -62.2610656 -10.7200874)",,
740212542,Rua João Goulart,residential,False,True,141.222,,"LINESTRING (-62.2605359 -10.71965, -62.2597335 -10.7206457)",,
251630277,Avenida Duque de Caxias,residential,False,True,80.43,,"LINESTRING (-62.2594405 -10.7135423, -62.2600112 -10.7139992)",,
556188327,Rua Costa e Silva,residential,False,False,140.487,,"LINESTRING (-62.2594405 -10.7135423, -62.2586574 -10.7145444)",,
251626224,Rua João Paulo Primeiro,residential,False,False,75.596,,"LINESTRING (-62.2610656 -10.7200874, -62.2605359 -10.71965)",,
250619333,Rua Santos Dumont,residential,False,True,139.459,,"LINESTRING (-62.2610656 -10.7200874, -62.2608405 -10.7203589, -62.2602795 -10.7210754)",,
556762661,Rua Paraná,residential,False,False,140.806,,"LINESTRING (-62.258395 -10.7159751, -62.2592073 -10.714992)",,
556762661,Rua Paraná,residential,False,True,140.077,,"LINESTRING (-62.258395 -10.7159751, -62.2575951 -10.7169596)",,
1025248003,Rua Paulo VI,residential,False,False,70.899,,"LINESTRING (-62.258395 -10.7159751, -62.2578994 -10.7155635)",,
1025248003,Rua Paulo VI,residential,False,True,79.886,,"LINESTRING (-62.258395 -10.7159751, -62.2589564 -10.7164354)",,
250619352,Rua Osvaldo Cruz,residential,False,False,85.477,,"LINESTRING (-62.2576811 -10.7180205, -62.2581631 -10.717415)",,
251626213,Rua São João,residential,False,False,73.587,,"LINESTRING (-62.2576811 -10.7180205, -62.258157 -10.7184888)",,
