osmid,oneway,highway,reversed,length,geometry,name,bridge,ref,access,maxspeed,junction,lanes
292475243,True,secondary,False,83.632,"LINESTRING (-42.8784193 -20.7550614, -42.8784528 -20.7549982, -42.8784652 -20.7549436, -42.8784528 -20.7548559, -42.878421 -20.7547864, -42.8783316 -20.7546612, -42.8781467 -20.7544025)",,,,,,,
480438080,True,secondary,False,45.116,"LINESTRING (-42.8784193 -20.7550614, -42.8785361 -20.7549766, -42.8785747 -20.7549462, -42.878757 -20.7548067)",Rua Peter Henry Rolfs,,,,,,
148762439,False,tertiary,False,69.108,"LINESTRING (-42.8850831 -20.7522949, -42.8848672 -20.7528827)",Rua Tenente Kümmel,,,,,,
"[148825352, 293087946, 293087948]",False,tertiary,"[False, True]",82.169,"LINESTRING (-42.8850831 -20.7522949, -42.8852475 -20.7519763, -42.8853437 -20.7517773, -42.8854148 -20.7516243)",Rua Doutor Brito,yes,,,,,
292914588,False,residential,True,95.694,"LINESTRING (-42.8805684 -20.7559202, -42.8811544 -20.7565838)",Rua Sílvio Romeu,,,,,,
292475227,True,tertiary,False,66.684,"LINESTRING (-42.8805684 -20.7559202, -42.8802463 -20.7561594, -42.8800415 -20.7562573)",Avenida Bueno Brandão,,,,,,
158606660,True,residential,False,155.136,"LINESTRING (-42.8786052 -20.7555121, -42.8793258 -20.7559818, -42.8794019 -20.7560149, -42.879485 -20.7560381, -42.8798015 -20.7560795, -42.8799242 -20.7560915)",Rua José Braz Costa,,,,,,
480441560,True,secondary,False,8.016,"LINESTRING (-42.8786052 -20.7555121, -42.8785856 -20.7555389, -42.8785609 -20.7555711)",Rua Padre Serafim,,MG-280,,,,
293073600,False,tertiary,False,29.012,"LINESTRING (-42.8804023 -20.7524993, -42.8801519 -20.7526144)",Rua Doutor Milton Bandeira,,,,,,
"[148827853, 409106838, 409106839]",True,tertiary,False,116.008,"LINESTRING (-42.8804023 -20.7524993, -42.8805761 -20.7527301, -42.880615 -20.7527929, -42.8809829 -20.7533892)",Rua Presidente Tancredo Neves,yes,,,,,
