osmid,highway,oneway,reversed,length,lanes,ref,geometry,name,bridge
826099139,residential,False,True,62.142,,,"LINESTRING (-39.5689894 -13.2519306, -39.5694762 -13.2516343)",,
404716594,primary,False,False,34.484,2,BR-420,"LINESTRING (-39.5689894 -13.2519306, -39.5688245 -13.2519045, -39.5686743 -13.2518849)",,
404716594,primary,False,True,62.104,2,BR-420,"LINESTRING (-39.5689894 -13.2519306, -39.5692067 -13.2520063, -39.5693247 -13.2520703, -39.5695044 -13.2521721)",,
404716594,primary,False,False,76.077,2,BR-420,"LINESTRING (-39.5686743 -13.2518849, -39.568504 -13.2518807, -39.5683242 -13.2518771, -39.5680265 -13.2518763, -39.5679715 -13.2518762)",,
404716594,primary,False,True,34.484,2,BR-420,"LINESTRING (-39.5686743 -13.2518849, -39.5688245 -13.2519045, -39.5689894 -13.2519306)",,
404716594,primary,False,False,8.408,2,BR-420,"LINESTRING (-39.5717186 -13.2539252, -39.5716512 -13.2538876)",,
377315460,residential,False,False,74.615,,,"LINESTRING (-39.5717186 -13.2539252, -39.5717709 -13.2538665, -39.5718741 -13.253732, -39.5719023 -13.2537046, -39.5719372 -13.2536837, -39.5719962 -13.2536524, -39.5722657 -13.2535506)",,
377315460,residential,False,True,91.94,,,"LINESTRING (-39.5717186 -13.2539252, -39.5716555 -13.2540166, -39.5716381 -13.2540649, -39.5716234 -13.2541641, -39.5716247 -13.2547294)",,
404716594,primary,False,True,121.415,2,BR-420,"LINESTRING (-39.5717186 -13.2539252, -39.57196 -13.2540336, -39.5723583 -13.2542163, -39.5727392 -13.2543782)",,
377315468,primary,False,True,79.976,2,BR-420,"LINESTRING (-39.5727392 -13.2543782, -39.5728813 -13.2544187, -39.5729953 -13.2544383, -39.5730892 -13.2544396, -39.5732354 -13.2544239, -39.573466 -13.2543847)",,
404716594,primary,False,False,121.41499999999999,2,BR-420,"LINESTRING (-39.5727392 -13.2543782, -39.5723583 -13.2542163, -39.57196 -13.2540336, -39.5717186 -13.2539252)",,
826512501,residential,False,True,110.33,,,"LINESTRING (-39.5727392 -13.2543782, -39.5729671 -13.2545205, -39.5731361 -13.2546145, -39.5733708 -13.2547202, -39.5736538 -13.2548025)",,
