osmid,oneway,name,highway,reversed,length,geometry,lanes,maxspeed,bridge,junction
135831064,True,Avenida Mogi Mirim,primary,False,39.634,"LINESTRING (-46.9423821 -22.3732104, -46.9422854 -22.3733946, -46.942259 -22.3735443)",,,,
552126139,True,Rua Sargento Aviador Oswaldo Fernandes,primary,False,17.11,"LINESTRING (-46.9423821 -22.3732104, -46.9422914 -22.3732053, -46.9422205 -22.3731812)",,,,
552126138,True,Rua Tristão Ferreira dos Santos,secondary,False,3.34,"LINESTRING (-46.9422205 -22.3731812, -46.9421881 -22.373179)",,,,
212732153,True,Rua Sargento Aviador Oswaldo Fernandes,primary,False,78.808,"LINESTRING (-46.9422205 -22.3731812, -46.9422756 -22.3731517, -46.9424008 -22.3731507, -46.9428565 -22.3731473, -46.9428957 -22.3731297, -46.9429164 -22.3731061, -46.9429332 -22.3730671)",,,,
212752976,True,Rua Ângelo Caporalli,secondary,False,76.106,"LINESTRING (-46.9431379 -22.3731186, -46.943174 -22.3731905, -46.9432175 -22.3732648, -46.9432938 -22.3733352, -46.9433552 -22.373376, -46.9434168 -22.3734047, -46.943716 -22.3734821)",,,,
511538407,True,Praça Marechal Rondon,primary,False,16.840999999999998,"LINESTRING (-46.9431379 -22.3731186, -46.9431085 -22.3731476, -46.9430751 -22.3731727, -46.9430642 -22.3731782, -46.9430244 -22.3731962, -46.9430049 -22.3732035)",2,50,,
921285906,True,Rua 13 de Maio,primary,False,98.5,"LINESTRING (-46.9428262 -22.3712247, -46.9436787 -22.3708207)",2,50,,
666806798,True,Avenida dos Trabalhadores,primary,False,192.93900000000002,"LINESTRING (-46.9376742 -22.3716874, -46.9376498 -22.3719638, -46.9376157 -22.3723769, -46.9376841 -22.3728308, -46.9377472 -22.3730057, -46.9378679 -22.3733907)",,,,
212732147,False,Rua José de Godoy,secondary,True,121.44,"LINESTRING (-46.9405701 -22.3702501, -46.9394842 -22.3706795)",,40,,
511538409,True,Rua José Pedrini,secondary,False,86.188,"LINESTRING (-46.9405701 -22.3702501, -46.941344 -22.3699524)",,40,,
