osmid,ref,name,highway,oneway,reversed,length,maxspeed,lanes,geometry
31514333,BR-230,Rua Odilon Lopes,trunk,False,False,53.333,,,"LINESTRING (-37.7952714 -6.7673258, -37.7951159 -6.7668717)"
218361363,,Rua João Lúcio Pereira,residential,False,False,93.062,30,,"LINESTRING (-37.7952714 -6.7673258, -37.7944359 -6.7674357)"
218361363,,Rua João Lúcio Pereira,residential,False,True,49.049,30,,"LINESTRING (-37.7952714 -6.7673258, -37.7957064 -6.7672365)"
426935746,BR-230,Rua Odilon Lopes,trunk,False,False,45.036,,,"LINESTRING (-37.7952714 -6.7673258, -37.7954189 -6.7677034)"
31514373,BR-230,Rua Odilon Lopes,trunk,False,True,24.969,,,"LINESTRING (-37.7967768 -6.7704275, -37.7966286 -6.7702579)"
173103672,BR-427,Rua Antônio Fernandes de Almeida,trunk,False,False,53.232,,,"LINESTRING (-37.7967768 -6.7704275, -37.7963787 -6.7701575)"
"[428360909, 194638630]",BR-230,,trunk,False,True,82.202,50,"['2', '3']","LINESTRING (-37.7967768 -6.7704275, -37.7969737 -6.7705759, -37.7971738 -6.7707085, -37.7972844 -6.7707824, -37.7973843 -6.7708543)"
428344108,,Rua Benjamin Constant,residential,False,False,29.195,,,"LINESTRING (-37.8003928 -6.7707767, -37.8004541 -6.7710321)"
218361437,,Rua Monsenhor Valeriano,residential,False,True,70.416,30,,"LINESTRING (-37.8003928 -6.7707767, -37.8003509 -6.7707138, -37.8003328 -6.7706785, -37.800322 -6.7706412, -37.8002503 -6.7701671)"
428344111,,Rua Coronel João Carneiro,secondary,True,False,84.39,50,3,"LINESTRING (-37.8003928 -6.7707767, -37.8007232 -6.7707199, -37.8011471 -6.7706547)"
"[428344109, 206182669]",,Rua Coronel João Carneiro,secondary,True,False,94.974,50,"['2', '3']","LINESTRING (-37.8028346 -6.7710428, -37.8027291 -6.7709517, -37.8026475 -6.7708707, -37.802503 -6.7707331, -37.8024718 -6.7707198, -37.8024279 -6.7707118, -37.8023357 -6.7707181, -37.8022297 -6.7707315, -37.8021043 -6.7707506)"
218366296,,Rua Padre Amâncio Leite,residential,False,False,72.119,,,"LINESTRING (-37.8028346 -6.7710428, -37.8027494 -6.7710701, -37.8026696 -6.7711, -37.8022277 -6.7712818)"
218366306,,Rua João Capuchu,residential,False,True,39.228,,,"LINESTRING (-37.8028346 -6.7710428, -37.8028882 -6.771098, -37.8030645 -6.7713115)"
335806147,,Rua Domingos de Medeiros,residential,False,True,69.851,30,,"LINESTRING (-37.7985746 -6.7710368, -37.7984686 -6.7704175)"
428344112,,Rua Coronel João Carneiro,secondary,True,False,97.625,50,2,"LINESTRING (-37.7985746 -6.7710368, -37.7994484 -6.770903)"
335806147,,Rua Domingos de Medeiros,residential,False,False,32.423,30,,"LINESTRING (-37.7985746 -6.7710368, -37.7985987 -6.7711846, -37.7986296 -6.7713231)"
218361368,,Rua Vicente de Paula Leite,residential,False,False,61.895,30,,"LINESTRING (-37.8020534 -6.767782, -37.8015022 -6.7678832)"
218361368,,Rua Vicente de Paula Leite,residential,False,True,98.288,30,,"LINESTRING (-37.8020534 -6.767782, -37.8029291 -6.7676235)"
878154547,,Rua Coronel José Fernandes,residential,False,True,30.757,40,,"LINESTRING (-37.8020534 -6.767782, -37.802166 -6.768035)"
878154547,,Rua Coronel José Fernandes,residential,False,False,212.084,40,,"LINESTRING (-37.8029955 -6.769755, -37.8027923 -6.7693627, -37.8025241 -6.7687888, -37.802166 -6.768035)"
206182679,,Rua Coronel João Carneiro,secondary,True,False,92.93100000000001,50,2,"LINESTRING (-37.8023116 -6.7701964, -37.8023276 -6.7701571, -37.8023417 -6.7701285, -37.8023771 -6.7700798, -37.8024344 -6.7700245, -37.8024907 -6.7699792, -37.8025631 -6.7699339, -37.8026066 -6.7699158, -37.8028173 -6.7698279, -37.8029955 -6.769755)"
427919137,,Rua Coronel João Leite,residential,False,True,60.596999999999994,30,,"LINESTRING (-37.8023116 -6.7701964, -37.8021842 -6.7701638, -37.8019924 -6.7701165, -37.8019595 -6.7701019, -37.801936 -6.7700799, -37.8018833 -6.7699391)"
218366308,,Rua Major Saturnino Rodrigues dos Santos,residential,False,True,152.341,,,"LINESTRING (-37.7976599 -6.771154, -37.7962931 -6.7713406)"
428344112,,Rua Coronel João Carneiro,secondary,True,False,33.543,50,2,"LINESTRING (-37.7976599 -6.771154, -37.7979614 -6.7711171)"
194638630,BR-230,,trunk,False,False,45.312,50,3,"LINESTRING (-37.7976599 -6.771154, -37.7975902 -6.7710581, -37.7975439 -6.7710021, -37.7974715 -6.7709316, -37.7973843 -6.7708543)"
428360910,BR-230,,trunk,False,True,37.905,50,3,"LINESTRING (-37.7976599 -6.771154, -37.7977116 -6.7712279, -37.7977652 -6.7713244, -37.7978229 -6.7714529)"
218366312,,Rua Coronel João Carneiro,residential,False,True,166.75,,,"LINESTRING (-37.7978229 -6.7714529, -37.7963301 -6.7716796)"
428360908,BR-230,,trunk,False,True,59.813,50,3,"LINESTRING (-37.7978229 -6.7714529, -37.7978584 -6.7716673, -37.797902 -6.771985)"
428360910,BR-230,,trunk,False,False,37.905,50,3,"LINESTRING (-37.7978229 -6.7714529, -37.7977652 -6.7713244, -37.7977116 -6.7712279, -37.7976599 -6.771154)"
218361437,,Rua Monsenhor Valeriano,residential,False,False,52.349,30,,"LINESTRING (-37.7996727 -6.7666387, -37.7997455 -6.7671039)"
821744932,,Rua João Lúcio Pereira,residential,False,False,116.028,30,,"LINESTRING (-37.7996727 -6.7666387, -37.7986369 -6.7668143)"
218361412,,Rua João Pereira Fontes,residential,False,True,43.644,30,,"LINESTRING (-37.7984686 -6.7704175, -37.7988611 -6.7703712)"
335806147,,Rua Domingos de Medeiros,residential,False,False,69.851,30,,"LINESTRING (-37.7984686 -6.7704175, -37.7985746 -6.7710368)"
335806147,,Rua Domingos de Medeiros,residential,False,True,31.353,30,,"LINESTRING (-37.7984686 -6.7704175, -37.798423 -6.7701392)"
218361370,,Rua Teodósio de Oliveira Ledo,residential,False,False,89.661,30,,"LINESTRING (-37.8006117 -6.767453, -37.7998079 -6.7675673)"
218361444,,Rua Jerônimo Rosado,residential,False,False,53.32,30,,"LINESTRING (-37.8006117 -6.767453, -37.8005393 -6.7669789)"
218361444,,Rua Jerônimo Rosado,residential,False,True,65.238,30,,"LINESTRING (-37.8006117 -6.767453, -37.8007203 -6.7680297)"
218361370,,Rua Teodósio de Oliveira Ledo,residential,False,True,60.762,30,,"LINESTRING (-37.7946783 -6.7683014, -37.7952242 -6.7682326)"
218361429,,Rua Cândido Queiroga,residential,False,False,54.553,30,,"LINESTRING (-37.7946783 -6.7683014, -37.7945383 -6.7678309)"
218361365,,Rua Francisco Bezerra,residential,False,False,27.467,30,,"LINESTRING (-37.7954189 -6.7677034, -37.795173 -6.7677407)"
218361365,,Rua Francisco Bezerra,residential,False,True,39.408,30,,"LINESTRING (-37.7954189 -6.7677034, -37.7957728 -6.7676576)"
426935746,BR-230,Rua Odilon Lopes,trunk,False,False,56.259,,,"LINESTRING (-37.7954189 -6.7677034, -37.7955913 -6.7681795)"
426935746,BR-230,Rua Odilon Lopes,trunk,False,True,45.036,,,"LINESTRING (-37.7954189 -6.7677034, -37.7952714 -6.7673258)"
218361412,,Rua João Pereira Fontes,residential,False,False,53.33,30,,"LINESTRING (-37.8018833 -6.7699391, -37.8014035 -6.769994)"
218361362,,Rua Coronel João Leite,residential,False,True,71.378,30,,"LINESTRING (-37.8018833 -6.7699391, -37.8018321 -6.7697316, -37.801764 -6.7693087)"
427919137,,Rua Coronel João Leite,residential,False,False,60.596999999999994,30,,"LINESTRING (-37.8018833 -6.7699391, -37.801936 -6.7700799, -37.8019595 -6.7701019, -37.8019924 -6.7701165, -37.8021842 -6.7701638, -37.8023116 -6.7701964)"
31514373,BR-230,Rua Odilon Lopes,trunk,False,False,33.545,,,"LINESTRING (-37.7960808 -6.7694147, -37.7962226 -6.7696815)"
218361442,,Rua Antônio Pereira,residential,False,True,61.356,30,,"LINESTRING (-37.7960808 -6.7694147, -37.79663 -6.7693308)"
300146711,,,trunk_link,False,True,57.789,,,"LINESTRING (-37.7960808 -6.7694147, -37.7960271 -6.7694913, -37.7959876 -6.7695505, -37.7959567 -6.7695885, -37.7959279 -6.7696138, -37.7958883 -6.7696364, -37.7958159 -6.7696531, -37.7957717 -6.7696544, -37.7956664 -6.7696424)"
428344116,BR-230,Rua Odilon Lopes,trunk,False,True,59.442,,,"LINESTRING (-37.7960808 -6.7694147, -37.7959856 -6.7691936, -37.7958722 -6.7689219)"
218361370,,Rua Teodósio de Oliveira Ledo,residential,False,False,60.762,30,,"LINESTRING (-37.7952242 -6.7682326, -37.7946783 -6.7683014)"
218361370,,Rua Teodósio de Oliveira Ledo,residential,False,True,40.963,30,,"LINESTRING (-37.7952242 -6.7682326, -37.7955913 -6.7681795)"
218361452,,Rua Sargento Antônio José de Lima,residential,False,True,30.709,30,,"LINESTRING (-37.7952242 -6.7682326, -37.7952498 -6.7685076)"
292661031,,Rua Sargento Antônio José de Lima,residential,False,False,54.988,30,,"LINESTRING (-37.7952242 -6.7682326, -37.795173 -6.7677407)"
218361452,,Rua Sargento Antônio José de Lima,residential,False,False,46.925,30,,"LINESTRING (-37.7953607 -6.7694307, -37.7953076 -6.769012)"
428360914,BR-427,Rua Antônio Fernandes de Almeida,trunk,False,True,7.859,50,,"LINESTRING (-37.7953607 -6.7694307, -37.7954191 -6.7694711)"
"[428360914, 300146710]",BR-427,Rua Antônio Fernandes de Almeida,trunk,False,False,61.782,"['50', '30']",,"LINESTRING (-37.7953607 -6.7694307, -37.7951399 -6.769278, -37.7949041 -6.7691096)"
218361412,,Rua João Pereira Fontes,residential,False,False,52.252,30,,"LINESTRING (-37.7993292 -6.7703023, -37.7988611 -6.7703712)"
218361412,,Rua João Pereira Fontes,residential,False,True,102.813,30,,"LINESTRING (-37.7993292 -6.7703023, -37.8002503 -6.7701671)"
218361434,,Rua Queli Samara Oliveira,residential,False,False,68.079,30,,"LINESTRING (-37.7993292 -6.7703023, -37.7994484 -6.770903)"
218361434,,Rua Queli Samara Oliveira,residential,False,True,32.765,30,,"LINESTRING (-37.7993292 -6.7703023, -37.7992718 -6.7700132)"
218361368,,Rua Vicente de Paula Leite,residential,False,False,98.288,30,,"LINESTRING (-37.8029291 -6.7676235, -37.8020534 -6.767782)"
218366290,,Rua Benigno Inácio,residential,False,False,107.78699999999999,30,,"LINESTRING (-37.8029291 -6.7676235, -37.8029285 -6.7685371, -37.8029231 -6.768561, -37.8029104 -6.7685704, -37.8028949 -6.7685724)"
218366290,,Rua Benigno Inácio,residential,False,True,91.675,30,,"LINESTRING (-37.8029291 -6.7676235, -37.8029144 -6.7673531, -37.8028943 -6.7670668, -37.8028822 -6.7668004)"
218361370,,Rua Teodósio de Oliveira Ledo,residential,False,False,40.963,30,,"LINESTRING (-37.7955913 -6.7681795, -37.7952242 -6.7682326)"
218361370,,Rua Teodósio de Oliveira Ledo,residential,False,True,31.323,30,,"LINESTRING (-37.7955913 -6.7681795, -37.7958722 -6.7681402)"
426935746,BR-230,Rua Odilon Lopes,trunk,False,True,56.259,,,"LINESTRING (-37.7955913 -6.7681795, -37.7954189 -6.7677034)"
426935746,BR-230,Rua Odilon Lopes,trunk,False,False,88.186,,,"LINESTRING (-37.7955913 -6.7681795, -37.7957393 -6.7685706, -37.7958722 -6.7689219)"
218361362,,Rua Coronel João Leite,residential,False,False,99.044,30,,"LINESTRING (-37.8015915 -6.7684346, -37.801764 -6.7693087)"
218361362,,Rua Coronel João Leite,residential,False,True,62.101,30,,"LINESTRING (-37.8015915 -6.7684346, -37.8015022 -6.7678832)"
218361442,,Rua Antônio Pereira,residential,False,False,51.353,30,,"LINESTRING (-37.8015915 -6.7684346, -37.801134 -6.7685176)"
218361434,,Rua Queli Samara Oliveira,residential,False,False,47.855,30,,"LINESTRING (-37.7986369 -6.7668143, -37.7987199 -6.7672367)"
821744932,,Rua João Lúcio Pereira,residential,False,False,38.894,30,,"LINESTRING (-37.7986369 -6.7668143, -37.7982889 -6.7668684)"
821744932,,Rua João Lúcio Pereira,residential,False,True,116.028,30,,"LINESTRING (-37.7986369 -6.7668143, -37.7996727 -6.7666387)"
218361444,,Rua Jerônimo Rosado,residential,False,False,69.099,30,,"LINESTRING (-37.8011471 -6.7706547, -37.8011562 -6.770566, -37.8010704 -6.7700406)"
"[206182679, 428344111]",,Rua Coronel João Carneiro,secondary,True,False,154.39,50,"['2', '3']","LINESTRING (-37.8011471 -6.7706547, -37.8012292 -6.7706421, -37.8017471 -6.7705623, -37.8019704 -6.7705279, -37.8020581 -6.7705141, -37.8021117 -6.7705041, -37.8021888 -6.7704821, -37.8022512 -6.7704461, -37.8022821 -6.7704142, -37.8023002 -6.7703809, -37.8023075 -6.7703449, -37.8023102 -6.770315, -37.8023116 -6.7701964)"
218361454,,Rua Epitácio Pessoa,residential,False,True,74.322,30,,"LINESTRING (-37.7977196 -6.770016, -37.7983814 -6.7698941)"
218361458,,Rua Coronel Pedro Marques,residential,False,False,63.126,30,,"LINESTRING (-37.7977196 -6.770016, -37.7976409 -6.7694537)"
"[428344122, 218361454]",,"['Rua Francisco Mendes de Sousa', 'Rua Epitácio Pessoa']",residential,False,False,122.053,"['20', '30']",1,"LINESTRING (-37.7977196 -6.770016, -37.7975714 -6.7700419, -37.7973273 -6.7698582, -37.797271 -6.7698129, -37.7972254 -6.7697929, -37.7971664 -6.7697929, -37.7970108 -6.7697942, -37.7969719 -6.7698076, -37.7969411 -6.7698249, -37.796805 -6.7700153)"
426935758,,Rua Vicente de Paula Leite,residential,False,True,45.857,30,,"LINESTRING (-37.7949041 -6.7691096, -37.7953076 -6.769012)"
"[428360914, 300146710]",BR-427,Rua Antônio Fernandes de Almeida,trunk,False,True,61.782,"['30', '50']",,"LINESTRING (-37.7949041 -6.7691096, -37.7951399 -6.769278, -37.7953607 -6.7694307)"
218361362,,Rua Coronel João Leite,residential,False,True,99.044,30,,"LINESTRING (-37.801764 -6.7693087, -37.8015915 -6.7684346)"
218361454,,Rua Epitácio Pessoa,residential,False,False,53.289,30,,"LINESTRING (-37.801764 -6.7693087, -37.8012882 -6.7693889)"
218361362,,Rua Coronel João Leite,residential,False,False,71.378,30,,"LINESTRING (-37.801764 -6.7693087, -37.8018321 -6.7697316, -37.8018833 -6.7699391)"
218361356,,Rua Alcides Macena,residential,False,True,33.088,30,,"LINESTRING (-37.7972045 -6.7695308, -37.7971463 -6.7692389)"
338833484,,Rua Capitão Lindolfo,residential,False,False,58.491,30,,"LINESTRING (-37.7972045 -6.7695308, -37.7966829 -6.7696225)"
338833484,,Rua Capitão Lindolfo,residential,False,True,48.944,30,,"LINESTRING (-37.7972045 -6.7695308, -37.7976409 -6.7694537)"
218361365,,Rua Francisco Bezerra,residential,False,False,88.747,30,,"LINESTRING (-37.8005393 -6.7669789, -37.7997455 -6.7671039)"
218361444,,Rua Jerônimo Rosado,residential,False,True,53.32,30,,"LINESTRING (-37.8005393 -6.7669789, -37.8006117 -6.767453)"
218366299,,,residential,False,True,49.869,,,"LINESTRING (-37.8015331 -6.7728926, -37.8018191 -6.7732397)"
218366307,,Rua João Pessoa,residential,False,False,45.223,,,"LINESTRING (-37.8015331 -6.7728926, -37.8012232 -6.7731585)"
218366307,,Rua João Pessoa,residential,False,True,119.038,,,"LINESTRING (-37.8015331 -6.7728926, -37.8023377 -6.7721801)"
427919138,,Rua Benjamin Constant,residential,False,False,12.358,,,"LINESTRING (-37.8004441 -6.7726948, -37.8004413 -6.7728059)"
218366293,,Rua José Rufino,residential,False,True,76.91600000000001,,,"LINESTRING (-37.8004441 -6.7726948, -37.8003367 -6.772704, -37.7997522 -6.7727744)"
427919138,,Rua Benjamin Constant,residential,False,True,51.091,,,"LINESTRING (-37.8004441 -6.7726948, -37.8004682 -6.7724844, -37.8005044 -6.7722393)"
