osmid,lanes,name,highway,oneway,reversed,length,geometry,bridge,maxspeed,access
886048279,2,Avenida Nereu Ramos,secondary,False,True,27.156,"LINESTRING (-48.6164849 -27.0962916, -48.6164139 -27.0965275)",,,
412559413,2,Rua 118,tertiary,False,True,174.628,"LINESTRING (-48.6164849 -27.0962916, -48.6168053 -27.0962996, -48.6169615 -27.0962966, -48.6171259 -27.0962832, -48.6182386 -27.0961532)",,,
886048279,2,Avenida Nereu Ramos,secondary,False,False,70.756,"LINESTRING (-48.6164849 -27.0962916, -48.6165122 -27.0962007, -48.6166484 -27.0956722)",,,
333435593,2,Avenida Governador Celso Ramos,secondary,False,True,47.891,"LINESTRING (-48.6159579 -27.0918753, -48.6160692 -27.0920238, -48.6162133 -27.0922409)",,,
345141618,1,Avenida Governador Celso Ramos,secondary,True,False,41.833,"LINESTRING (-48.6159579 -27.0918753, -48.6159055 -27.0918486, -48.6158521 -27.0918235, -48.6157977 -27.0918002, -48.6157424 -27.0917786, -48.6156863 -27.0917587, -48.6156295 -27.0917406, -48.615572 -27.0917243)",,,
111496823,1,Rua 110,secondary,True,False,46.018,"LINESTRING (-48.6132419 -27.0911303, -48.613703 -27.0910778)",,,
345141619,2,Avenida Governador Celso Ramos,secondary,False,False,55.619,"LINESTRING (-48.6132419 -27.0911303, -48.6131993 -27.0911186, -48.6127905 -27.0910066, -48.6127049 -27.0909832)",,,
345141617,2,Rua 112,secondary,True,False,97.455,"LINESTRING (-48.6151478 -27.0909115, -48.6156571 -27.0915068, -48.6157452 -27.0916081)",,,
813996132,2,Rua 112,secondary,True,False,62.053999999999995,"LINESTRING (-48.6151478 -27.0909115, -48.615123 -27.0908762, -48.6151061 -27.0908401, -48.6150955 -27.0908071, -48.6150851 -27.0907673, -48.6150769 -27.0907065, -48.6150729 -27.0906464, -48.6150722 -27.0905762, -48.6150742 -27.0905082, -48.6150856 -27.0904142, -48.6150934 -27.0903668)",,,
350965407,,Rua 113,residential,False,False,65.582,"LINESTRING (-48.6091463 -27.0911357, -48.6090376 -27.0917175)",,,
"[431804305, 813987519, 345623295]",2,"['Avenida João Francisco Pio', 'Avenida Governador Celso Ramos']",secondary,False,True,170.43900000000002,"LINESTRING (-48.6091463 -27.0911357, -48.6092133 -27.0911508, -48.6093789 -27.0911883, -48.6097538 -27.0912659, -48.6098194 -27.0912795, -48.6099804 -27.0912987, -48.6100475 -27.0912987, -48.6100937 -27.0912993, -48.6101507 -27.0912981, -48.6102336 -27.0912906, -48.6103318 -27.0912772, -48.6108383 -27.0911993)",yes,,
241101545,,Rua 126,residential,False,False,141.87,"LINESTRING (-48.6184274 -27.0976385, -48.6170039 -27.0977866)",,,
813996128,2,Marginal Leste da BR-101,secondary,True,False,66.112,"LINESTRING (-48.6184274 -27.0976385, -48.6184046 -27.0973346, -48.6183764 -27.0970457)",,40,
241101533,,Rua 129 A,residential,False,False,109.43,"LINESTRING (-48.6158407 -27.0942669, -48.6156841 -27.0932927)",,,
241101533,,Rua 129 A,residential,False,True,102.027,"LINESTRING (-48.6158407 -27.0942669, -48.6159819 -27.0951758)",,,
241101537,,Rua 129 A1,residential,False,False,49.411,"LINESTRING (-48.6158407 -27.0942669, -48.6153461 -27.0943267)",,,
241101517,,Rua 123 B,residential,False,False,224.058,"LINESTRING (-48.6131549 -27.0937453, -48.6132653 -27.0917327)",,,
258716991,,Rua 123,residential,False,True,55.4,"LINESTRING (-48.6131549 -27.0937453, -48.6136468 -27.0935077)",,,
258716991,,Rua 123,residential,False,False,65.91,"LINESTRING (-48.6131549 -27.0937453, -48.6126224 -27.0940025, -48.6125697 -27.094028)",,,
241101488,,Rua 124,residential,False,True,169.753,"LINESTRING (-48.6166748 -27.0972351, -48.6183764 -27.0970457)",,,
