osmid,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,lanes,junction
256093361,Rua Coronel Aristides,residential,40,False,False,32.474,"LINESTRING (-49.1475499 -14.5224313, -49.1472523 -14.5224792)",,,
256093361,Rua Coronel Aristides,residential,40,False,True,75.277,"LINESTRING (-49.1475499 -14.5224313, -49.1482395 -14.5223188)",,,
256093390,,residential,,False,False,102.288,"LINESTRING (-49.1475499 -14.5224313, -49.1476861 -14.5233417)",,,
256093389,Rua Porto Nacional,residential,,False,True,125.172,"LINESTRING (-49.1480455 -14.5209078, -49.1490204 -14.5202942)",,,
912616289,Rua Anápolis,residential,,False,False,100.354,"LINESTRING (-49.1480455 -14.5209078, -49.1478872 -14.5200184)",,,
912616289,Rua Anápolis,residential,,False,True,98.775,"LINESTRING (-49.1480455 -14.5209078, -49.1481555 -14.5217897)",,,
256093389,Rua Porto Nacional,residential,,False,False,82.91499999999999,"LINESTRING (-49.1480455 -14.5209078, -49.1478767 -14.5209706, -49.1473033 -14.5211028)",,,
256093373,Rua Gonçalves Dias,residential,,False,True,71.418,"LINESTRING (-49.1465094 -14.5271169, -49.1465699 -14.5277565)",,,
256093395,Rua Feliciano Custodio de Freitas,residential,,False,False,120.708,"LINESTRING (-49.1465094 -14.5271169, -49.1476231 -14.5269899)",,,
256093367,,residential,,False,True,11.637,"LINESTRING (-49.1472911 -14.5256973, -49.1473976 -14.5256793)",,,
256205400,Avenida Transbrasiliana,tertiary,,True,False,103.342,"LINESTRING (-49.1472911 -14.5256973, -49.147109 -14.5247848)",,,
256093390,,residential,,False,False,142.861,"LINESTRING (-49.1476861 -14.5233417, -49.1479092 -14.5246082)",,,
256093390,,residential,,False,True,102.288,"LINESTRING (-49.1476861 -14.5233417, -49.1475499 -14.5224313)",,,
912630946,Rua Goiás,residential,,False,False,47.89,"LINESTRING (-49.1476861 -14.5233417, -49.1472493 -14.5234235)",,,
912630946,Rua Goiás,residential,,False,True,76.135,"LINESTRING (-49.1476861 -14.5233417, -49.1483849 -14.5232359)",,,
256093347,Rua Miracema do Norte,residential,,False,False,61.053,"LINESTRING (-49.1478872 -14.5200184, -49.1473251 -14.5200917)",,,
912616289,Rua Anápolis,residential,,False,True,100.354,"LINESTRING (-49.1478872 -14.5200184, -49.1480455 -14.5209078)",,,
256093390,,residential,,False,False,6.702,"LINESTRING (-49.1479092 -14.5246082, -49.1479161 -14.5246681)",,,
256093390,,residential,,False,True,142.861,"LINESTRING (-49.1479092 -14.5246082, -49.1476861 -14.5233417)",,,
256205403,Avenida Tocantins,tertiary,60,True,False,74.464,"LINESTRING (-49.1479092 -14.5246082, -49.148593 -14.5245068)",,,
256093356,Rua 1,residential,,False,False,93.812,"LINESTRING (-49.1549066 -14.523181, -49.1553573 -14.5239031)",,,
256093356,Rua 1,residential,,False,True,100.585,"LINESTRING (-49.1549066 -14.523181, -49.1544252 -14.5224057)",,,
256157809,Avenida Weimar Barroso,tertiary,,False,True,123.329,"LINESTRING (-49.1549066 -14.523181, -49.153916 -14.5237383)",,,
256093404,Rua Anápolis,residential,,False,False,62.736,"LINESTRING (-49.1488956 -14.5263292, -49.1487842 -14.5257754)",,,
256093404,Rua Anápolis,residential,,False,True,15.491,"LINESTRING (-49.1488956 -14.5263292, -49.148944 -14.5264604)",,,
"[256093362, 912616294, 256093350]",Rua Ceres,residential,,False,True,141.969,"LINESTRING (-49.1488956 -14.5263292, -49.1484264 -14.5265564, -49.1482118 -14.5266811, -49.1477512 -14.5269613)",yes,,
256093356,Rua 1,residential,,False,False,95.25,"LINESTRING (-49.1529009 -14.5199506, -49.1533524 -14.5206873)",,,
256093361,Rua Coronel Aristides,residential,40,False,False,128.124,"LINESTRING (-49.1529009 -14.5199506, -49.1518855 -14.5205518)",,,
"[256093361, 256157826]","['Rua Coronel Aristides', 'Rua 2']",residential,40,False,True,208.017,"LINESTRING (-49.1529009 -14.5199506, -49.1538941 -14.5194394, -49.154327 -14.5200994)",,,
256205403,Avenida Tocantins,tertiary,60,True,False,75.242,"LINESTRING (-49.148593 -14.5245068, -49.1492836 -14.5244022)",,,
912616289,Rua Anápolis,residential,,False,False,143.082,"LINESTRING (-49.148593 -14.5245068, -49.1483849 -14.5232359)",,,
256093361,Rua Coronel Aristides,residential,40,False,False,75.277,"LINESTRING (-49.1482395 -14.5223188, -49.1475499 -14.5224313)",,,
256093361,Rua Coronel Aristides,residential,40,False,True,76.675,"LINESTRING (-49.1482395 -14.5223188, -49.1489053 -14.5220737)",,,
912616289,Rua Anápolis,residential,,False,False,59.524,"LINESTRING (-49.1482395 -14.5223188, -49.1481555 -14.5217897)",,,
912616289,Rua Anápolis,residential,,False,True,103.171,"LINESTRING (-49.1482395 -14.5223188, -49.1483849 -14.5232359)",,,
256205406,Avenida Transbrasiliana,tertiary,,True,False,70.973,"LINESTRING (-49.1477512 -14.5269613, -49.1478539 -14.5274513, -49.1478948 -14.5275838)",,,
