osmid,oneway,name,highway,reversed,length,lanes,geometry,maxspeed,bridge,junction
206039668,True,Rua Siqueira Campos,unclassified,False,29.423,,"LINESTRING (-50.3369768 -21.2910694, -50.3372603 -21.291085)",,,
264542249,True,Rua Tupi,tertiary,False,138.674,2,"LINESTRING (-50.3418531 -21.2863567, -50.3431858 -21.286472)",,,
"[205672840, 564429812]",True,"['Rua Tupi', 'Rua Roberto Clark']",residential,False,188.09,,"LINESTRING (-50.3418531 -21.2863567, -50.3404897 -21.2862884, -50.340131 -21.2865416)",,,
204524804,True,Rua Barão do Rio Branco,tertiary,False,98.261,,"LINESTRING (-50.3415909 -21.290473, -50.3416494 -21.289591)",,,
906499250,False,Rua Bento da Cruz,residential,True,134.49,,"LINESTRING (-50.3415909 -21.290473, -50.3428864 -21.2905494)",,,
906499252,True,Rua Bento da Cruz,residential,False,150.824,,"LINESTRING (-50.3415909 -21.290473, -50.3401385 -21.2903811)",,,
183348942,True,Rua São José,residential,False,132.267,,"LINESTRING (-50.3414209 -21.2930392, -50.3426957 -21.2931033)",,,
204524804,True,Rua Barão do Rio Branco,tertiary,False,95.286,,"LINESTRING (-50.3414209 -21.2930392, -50.3414776 -21.2921839)",,,
204524804,True,Rua Barão do Rio Branco,tertiary,False,95.331,,"LINESTRING (-50.3413071 -21.2947558, -50.3413638 -21.2939001)",,,
907202309,False,Rua Anhanguera,tertiary,False,126.603,,"LINESTRING (-50.3413071 -21.2947558, -50.3425224 -21.2948749)",,,
907306694,False,Rua Anhanguera,tertiary,True,9.088,,"LINESTRING (-50.3413071 -21.2947558, -50.3412196 -21.29475)",,,
183348273,True,Rua Nove de Julho,residential,False,135.057,,"LINESTRING (-50.3427793 -21.292249, -50.3414776 -21.2921839)",,,
264541634,True,Rua Saudades,tertiary,False,95.388,,"LINESTRING (-50.3427793 -21.292249, -50.3426957 -21.2931033)",,,
204524804,True,Rua Barão do Rio Branco,tertiary,False,94.696,,"LINESTRING (-50.3415346 -21.291323, -50.3415909 -21.290473)",,,
206039668,True,Rua Siqueira Campos,unclassified,False,134.786,,"LINESTRING (-50.3415346 -21.291323, -50.3428321 -21.2914112)",,,
264543997,False,Rua João Galo,residential,False,94.491,,"LINESTRING (-50.3382986 -21.2902769, -50.3383376 -21.2894279)",,,
264543997,False,Rua João Galo,residential,True,96.578,,"LINESTRING (-50.3382986 -21.2902769, -50.3382396 -21.2911437)",,,
906499253,False,Rua Bento da Cruz,residential,False,149.974,,"LINESTRING (-50.3382986 -21.2902769, -50.3368567 -21.290158)",,,
202451654,True,Praça Doutor Gama,tertiary,False,44.41,,"LINESTRING (-50.3417452 -21.2881448, -50.341436 -21.2884214)",40,,
204524805,True,Rua Barão do Rio Branco,residential,False,96.401,,"LINESTRING (-50.3417452 -21.2881448, -50.3417864 -21.2872787)",,,
264542247,True,Rua Rui Barbosa,tertiary,False,107.183,,"LINESTRING (-50.3417452 -21.2881448, -50.3410396 -21.2874399)",,,
564429813,False,Travessa Dom Pedro Segundo,residential,True,133.724,,"LINESTRING (-50.3417452 -21.2881448, -50.3430347 -21.2881961)",,,
183348280,False,Rua Bento da Cruz,residential,True,103.451,,"LINESTRING (-50.3442389 -21.2906354, -50.3452353 -21.2906957)",,,
