osmid,oneway,name,highway,reversed,length,lanes,geometry,maxspeed,ref,junction
305615265,True,Avenida da Produção,tertiary,False,12.711,,"LINESTRING (-55.9226431 -13.0646308, -55.9225321 -13.0645937)",,,
467496757,False,Rua Espumoso,residential,True,204.624,,"LINESTRING (-55.9208686 -13.0703386, -55.9222336 -13.0690664)",,,
467496757,False,Rua Espumoso,residential,False,204.624,,"LINESTRING (-55.9222336 -13.0690664, -55.9208686 -13.0703386)",,,
467496757,False,Rua Espumoso,residential,True,13.044,,"LINESTRING (-55.9222336 -13.0690664, -55.9223155 -13.0689804)",,,
825470032,True,Avenida Paraná,tertiary,False,100.552,1,"LINESTRING (-55.9222336 -13.0690664, -55.9215817 -13.0684226)",,,
467496754,False,Rua Chapecó,residential,True,8.698,,"LINESTRING (-55.9189895 -13.0658312, -55.9190466 -13.0657762)",,,
825470051,True,Avenida Paraná,tertiary,False,102.627,,"LINESTRING (-55.9189895 -13.0658312, -55.9183223 -13.0651759)",,,
894875366,False,Rua Chapecó,residential,False,212.042,,"LINESTRING (-55.9189895 -13.0658312, -55.9176071 -13.0671814)",,,
299756831,False,Rua Rondinha,residential,False,9.567,,"LINESTRING (-55.9177383 -13.0644764, -55.9176747 -13.0645361)",,,
467496752,True,Rua Rondinha,residential,False,189.863,,"LINESTRING (-55.9177383 -13.0644764, -55.9189998 -13.0632909)",,,
473090915,True,Avenida Paraná,tertiary,False,99.853,,"LINESTRING (-55.9177383 -13.0644764, -55.9183859 -13.0651155)",,,
479823116,False,Rua Tapera,residential,True,214.032,,"LINESTRING (-55.9169248 -13.0665367, -55.9183223 -13.0651759)",,,
"[1202714772, 299756831]",False,Rua Rondinha,residential,"[False, True]",309.255,,"LINESTRING (-55.9169248 -13.0665367, -55.9166698 -13.0662881, -55.9163614 -13.0659902, -55.9163252 -13.0659354, -55.9163225 -13.0658936, -55.9163402 -13.0658315, -55.9176747 -13.0645361)",,,
1202714772,False,,residential,True,102.971,,"LINESTRING (-55.9169248 -13.0665367, -55.917222 -13.0668266, -55.9176071 -13.0671814)",,,
299756834,False,Rua Guaporé,residential,True,122.377,,"LINESTRING (-55.9220768 -13.0704865, -55.9228715 -13.0697042)",,,
473093828,False,Rua Nonoai,residential,False,8.186,,"LINESTRING (-55.9228765 -13.0671161, -55.9229308 -13.0670649)",,,
473093830,True,Avenida Rio Grande do Sul,tertiary,False,98.148,1,"LINESTRING (-55.9228765 -13.0671161, -55.9222429 -13.0664851)",30,,
467496751,False,Rua Getúlio Vargas,residential,True,10.219,,"LINESTRING (-55.9170196 -13.0638911, -55.9170867 -13.0638265)",,,
479823115,True,Avenida Paraná,tertiary,False,100.917,,"LINESTRING (-55.9170196 -13.0638911, -55.9163677 -13.0632427)",,,
894524211,False,Rua Getúlio Vargas,residential,False,204.377,,"LINESTRING (-55.9170196 -13.0638911, -55.9157026 -13.0652073)",,,
299756847,False,Rua Júlio de Castilho,residential,False,200.426,,"LINESTRING (-55.9209288 -13.0677778, -55.9196193 -13.0690513)",,,
299756847,False,Rua Júlio de Castilho,residential,True,12.911,,"LINESTRING (-55.9209288 -13.0677778, -55.92101 -13.0676928)",,,
825470032,True,Avenida Paraná,tertiary,False,99.132,1,"LINESTRING (-55.9209288 -13.0677778, -55.9202861 -13.0671431)",,,
467496756,False,Rua Nonoai,residential,True,203.049,,"LINESTRING (-55.920239 -13.0696969, -55.9215817 -13.0684226)",,,
894875366,False,Rua Chapecó,residential,False,23.589,,"LINESTRING (-55.9176071 -13.0671814, -55.9174533 -13.0673316)",,,
894875366,False,Rua Chapecó,residential,True,212.042,,"LINESTRING (-55.9176071 -13.0671814, -55.9189895 -13.0658312)",,,
1202714772,False,,residential,False,102.971,,"LINESTRING (-55.9176071 -13.0671814, -55.917222 -13.0668266, -55.9169248 -13.0665367)",,,
894524212,False,Rua Lagoa Vermelha,residential,True,201.989,,"LINESTRING (-55.9150705 -13.0645477, -55.9163677 -13.0632427)",,,
299756834,False,Rua Guaporé,residential,False,122.377,,"LINESTRING (-55.9228715 -13.0697042, -55.9220768 -13.0704865)",,,
299756834,False,Rua Guaporé,residential,True,14.036,,"LINESTRING (-55.9228715 -13.0697042, -55.9229613 -13.0696132)",,,
825470032,True,Avenida Paraná,tertiary,False,99.013,1,"LINESTRING (-55.9228715 -13.0697042, -55.9222336 -13.0690664)",,,
473093816,True,Avenida Rio Grande do Sul,tertiary,False,104.02000000000001,1,"LINESTRING (-55.924203 -13.0684307, -55.9236489 -13.0678835, -55.9235286 -13.0677647)",30,,
467496756,False,Rua Nonoai,residential,False,203.049,,"LINESTRING (-55.9215817 -13.0684226, -55.920239 -13.0696969)",,,
467496756,False,Rua Nonoai,residential,True,12.982,,"LINESTRING (-55.9215817 -13.0684226, -55.9216632 -13.068337)",,,
825470032,True,Avenida Paraná,tertiary,False,100.707,1,"LINESTRING (-55.9215817 -13.0684226, -55.9209288 -13.0677778)",,,
299756834,False,Rua Guaporé,residential,False,14.036,,"LINESTRING (-55.9229613 -13.0696132, -55.9228715 -13.0697042)",,,
467496758,True,Rua Guaporé,residential,False,188.09,,"LINESTRING (-55.9229613 -13.0696132, -55.924203 -13.0684307)",,,
473093822,True,Avenida Paraná,tertiary,False,100.766,1,"LINESTRING (-55.9229613 -13.0696132, -55.9236129 -13.07026)",,,
"[305615252, 305615253]",False,,trunk,True,245.13699999999997,,"LINESTRING (-55.9201946 -13.0627698, -55.921267 -13.0638144, -55.9216967 -13.0642402, -55.9217449 -13.0642903, -55.9217913 -13.064332)",,BR-163,
895399545,False,,trunk,False,117.24199999999999,,"LINESTRING (-55.9201946 -13.0627698, -55.9201729 -13.062747, -55.9194376 -13.0620162)",,BR-163,
299756842,True,Rua Nonoai,residential,False,188.948,,"LINESTRING (-55.9216632 -13.068337, -55.9228765 -13.0671161)",,,
467496756,False,Rua Nonoai,residential,False,12.982,,"LINESTRING (-55.9216632 -13.068337, -55.9215817 -13.0684226)",,,
473093822,True,Avenida Paraná,tertiary,False,100.55,1,"LINESTRING (-55.9216632 -13.068337, -55.9222168 -13.068883, -55.9223155 -13.0689804)",,,
467496757,False,Rua Espumoso,residential,False,13.044,,"LINESTRING (-55.9223155 -13.0689804, -55.9222336 -13.0690664)",,,
473093822,True,Avenida Paraná,tertiary,False,99.217,1,"LINESTRING (-55.9223155 -13.0689804, -55.9229613 -13.0696132)",,,
299756849,False,Rua Espumoso,residential,True,8.412,,"LINESTRING (-55.9235286 -13.0677647, -55.9235832 -13.0677109)",,,
473093832,True,Rua Espumoso,residential,False,188.517,,"LINESTRING (-55.9235286 -13.0677647, -55.9223155 -13.0689804)",,,
473093834,True,Avenida Rio Grande do Sul,tertiary,False,100.948,1,"LINESTRING (-55.9235286 -13.0677647, -55.9228765 -13.0671161)",30,,
467496754,False,Rua Chapecó,residential,False,8.698,,"LINESTRING (-55.9190466 -13.0657762, -55.9189895 -13.0658312)",,,
299756839,True,Rua Chapecó,residential,False,191.63000000000002,,"LINESTRING (-55.9190466 -13.0657762, -55.9192022 -13.0656242, -55.9192207 -13.065606, -55.9192593 -13.0655717, -55.9196752 -13.0651673, -55.9200972 -13.0647481, -55.9201337 -13.064713, -55.9201714 -13.0646724, -55.9202444 -13.0646033, -55.920295 -13.0645553)",,,
473090915,True,Avenida Paraná,tertiary,False,95.31800000000001,,"LINESTRING (-55.9190466 -13.0657762, -55.9195857 -13.0662881, -55.9196316 -13.0663309, -55.9196776 -13.0663737)",,,
473093844,True,Rua Getúlio Vargas,residential,False,96.413,,"LINESTRING (-55.9183382 -13.0626433, -55.9176995 -13.0632472)",,,
894524210,False,Rua Getúlio Vargas,residential,True,11.933,,"LINESTRING (-55.9183382 -13.0626433, -55.9184167 -13.062568)",,,
