osmid,ref,name,highway,oneway,reversed,length,geometry,maxspeed,lanes
388570624,CE-354,Rua Odimar de Castro,tertiary,False,True,3.912,"LINESTRING (-38.7095333 -4.2244294, -38.7095407 -4.224395)",,
815162007,CE-060,Rua Chico Vieira,secondary,True,False,8.21,"LINESTRING (-38.7095333 -4.2244294, -38.70947 -4.2243911)",,
388570624,CE-354,Rua Odimar de Castro,tertiary,False,False,108.473,"LINESTRING (-38.7095333 -4.2244294, -38.7093468 -4.2253125, -38.7093398 -4.2253334, -38.709329 -4.2253577, -38.709316 -4.2253784)",,
413015279,CE-060,Rua Eladio Macedo,secondary,False,False,59.611,"LINESTRING (-38.7041614 -4.2203318, -38.7045282 -4.2207237)",,
754773750,CE-060,Rua Eladio Macedo,secondary,False,True,6.515,"LINESTRING (-38.7041614 -4.2203318, -38.7041216 -4.2202887)",,
505361504,CE-354,Rua José Cristino,tertiary,False,True,75.071,"LINESTRING (-38.7041614 -4.2203318, -38.7041192 -4.2205478, -38.7041044 -4.2206508, -38.7040675 -4.2208782, -38.7040582 -4.2209985)",60,
410073832,,Rua Emílio Chagas,residential,False,True,41.193,"LINESTRING (-38.7044672 -4.2235631, -38.7047938 -4.2233866)",,
505361504,CE-354,Rua José Cristino,tertiary,False,False,15.965,"LINESTRING (-38.7044672 -4.2235631, -38.704412 -4.2234305)",60,
505361504,CE-354,Rua José Cristino,tertiary,False,True,33.041,"LINESTRING (-38.7044672 -4.2235631, -38.7044887 -4.2236267, -38.7045182 -4.2236895, -38.7045477 -4.2237317, -38.7046146 -4.2238182)",60,
500548588,CE-060,Rua Chico Vieira,secondary,False,True,11.661,"LINESTRING (-38.7075651 -4.2239329, -38.7074713 -4.2238855)",,
388570632,,Rua Paulo Evaristo,residential,False,False,38.134,"LINESTRING (-38.7075651 -4.2239329, -38.7074964 -4.2239691, -38.7074605 -4.2239858, -38.707433 -4.2239918, -38.7074042 -4.2239918, -38.7073355 -4.2239824, -38.7072372 -4.2239627)",,
500548588,CE-060,Rua Chico Vieira,secondary,False,False,74.549,"LINESTRING (-38.7075651 -4.2239329, -38.7076911 -4.2239892, -38.707816 -4.2240361, -38.7079609 -4.2240789, -38.7082028 -4.2241403)",,
388570624,CE-354,Rua Odimar de Castro,tertiary,False,True,4.801,"LINESTRING (-38.7092865 -4.2254098, -38.7093076 -4.2253898, -38.709316 -4.2253784)",,
500548583,CE-354,Rua Henrique Bessa,tertiary,False,True,46.725,"LINESTRING (-38.7092865 -4.2254098, -38.7092341 -4.2254389, -38.7091671 -4.225463, -38.7090873 -4.2254797, -38.7088821 -4.2255172)",60,
"[815177547, 500552668]",,"['Rua Odimar de Castro', 'Vila da Usina']",residential,False,False,174.77,"LINESTRING (-38.7092865 -4.2254098, -38.7093294 -4.225786, -38.7103643 -4.2263846)",,
388570629,,Rua Padre Valdevino,residential,False,True,96.177,"LINESTRING (-38.7081841 -4.2255346, -38.7081927 -4.2246697)",,
500548583,CE-354,Rua Henrique Bessa,tertiary,False,False,77.467,"LINESTRING (-38.7081841 -4.2255346, -38.708575 -4.2255359, -38.7088821 -4.2255172)",60,
500548583,CE-354,Rua Henrique Bessa,tertiary,False,True,120.382,"LINESTRING (-38.7081841 -4.2255346, -38.7078307 -4.2255111, -38.7074532 -4.2254757, -38.7071045 -4.2254262)",60,
388570628,,Rua Paulo Alves,residential,False,True,93.102,"LINESTRING (-38.7071045 -4.2254262, -38.7071788 -4.2245922)",,
500548583,CE-354,Rua Henrique Bessa,tertiary,False,False,120.38199999999999,"LINESTRING (-38.7071045 -4.2254262, -38.7074532 -4.2254757, -38.7078307 -4.2255111, -38.7081841 -4.2255346)",60,
500548583,CE-354,Rua Henrique Bessa,tertiary,False,True,110.321,"LINESTRING (-38.7071045 -4.2254262, -38.70679 -4.2253975, -38.706615 -4.2253821, -38.7064346 -4.2253687, -38.7061127 -4.22535)",60,
500548583,CE-354,Rua Henrique Bessa,tertiary,False,False,15.947,"LINESTRING (-38.7059692 -4.2253593, -38.7061127 -4.22535)",60,
500548583,CE-354,Rua Henrique Bessa,tertiary,False,True,91.501,"LINESTRING (-38.7059692 -4.2253593, -38.7059142 -4.2253754, -38.7058244 -4.2254169, -38.7056829 -4.2255025, -38.7054871 -4.2256422, -38.7052685 -4.2257873)",60,
505361505,,Rua José Cristino,tertiary,True,False,78.822,"LINESTRING (-38.7059692 -4.2253593, -38.7058827 -4.2252276, -38.7055548 -4.2247836)",60,
388570632,,Rua Paulo Evaristo,residential,False,False,7.771,"LINESTRING (-38.7050238 -4.2241061, -38.7049669 -4.2241469)",,
388570632,,Rua Paulo Evaristo,residential,False,True,101.55199999999999,"LINESTRING (-38.7050238 -4.2241061, -38.7051968 -4.2240145, -38.7053061 -4.2239657, -38.705414 -4.2239249, -38.70552 -4.2238975, -38.7058868 -4.2238186)",,
413015278,CE-354,Rua José Cristino,tertiary,True,False,41.309,"LINESTRING (-38.7050238 -4.2241061, -38.7051954 -4.2242446, -38.7053047 -4.2243496)",60,
388570628,,Rua Paulo Alves,residential,False,False,23.653,"LINESTRING (-38.707258 -4.223751, -38.7072372 -4.2239627)",,
413015279,CE-060,Rua Eladio Macedo,secondary,False,True,88.60300000000001,"LINESTRING (-38.707258 -4.223751, -38.7070991 -4.2236273, -38.7068886 -4.2234307, -38.7066974 -4.2231886)",,
