osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,junction
357471839,True,2,Avenida Jerônimo Martins,tertiary,False,31.657,"LINESTRING (-50.9190779 -17.7923427, -50.9189318 -17.7925911)",,
899089193,True,2,Avenida Eurico Veloso do Carmo,tertiary_link,False,13.497,"LINESTRING (-50.9190779 -17.7923427, -50.918989 -17.7922557)",,
355819515,True,2,Avenida Jerônimo Martins,tertiary,False,33.703,"LINESTRING (-50.918989 -17.7922557, -50.9189695 -17.792212, -50.9189711 -17.792167, -50.9189993 -17.7920941, -50.9190646 -17.7920389, -50.9191094 -17.7920133)",,
425973615,True,,Rua Treze,residential,False,108.997,"LINESTRING (-50.9190772 -17.7889966, -50.9186021 -17.7898662)",,
38132318,True,2,Avenida Presidente Vargas,primary,False,100.928,"LINESTRING (-50.9190772 -17.7889966, -50.9190198 -17.7889682, -50.9182195 -17.7886006)",50,
357471838,True,2,Avenida Jerônimo Martins,tertiary,False,77.4,"LINESTRING (-50.9181459 -17.7938292, -50.9184749 -17.7932076)",,
820479155,True,2,Avenida Pedro Ludovico Teixeira,tertiary,False,10.454,"LINESTRING (-50.9181459 -17.7938292, -50.9182336 -17.7938724)",50,
425857243,True,2,Rua Costa Gomes,residential,False,154.937,"LINESTRING (-50.919915 -17.7904815, -50.9195282 -17.7902963, -50.9193071 -17.7901904, -50.9186021 -17.7898662)",,
818083652,True,2,Avenida Jerônimo Martins,tertiary,False,109.11200000000001,"LINESTRING (-50.919915 -17.7904815, -50.9203533 -17.7896849, -50.9203892 -17.7896104)",,
38132342,True,1,Rua Abel Pereira de Castro,residential,False,12.128,"LINESTRING (-50.9194417 -17.7913353, -50.9195375 -17.7913951)",,
818083652,True,2,Avenida Jerônimo Martins,tertiary,False,107.352,"LINESTRING (-50.9194417 -17.7913353, -50.919915 -17.7904815)",,
38132317,True,,Rua Treze,residential,False,79.639,"LINESTRING (-50.9186021 -17.7898662, -50.9182672 -17.7905075)",,
425857243,True,2,Rua Costa Gomes,residential,False,97.736,"LINESTRING (-50.9186021 -17.7898662, -50.9177805 -17.7894655)",,
