osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,bridge,width
940442278,True,4,Avenida dos Estados,trunk,50,False,22.763,"LINESTRING (-46.5251779 -23.6492113, -46.5251181 -23.6492377, -46.5250375 -23.6492733, -46.5249766 -23.6493002)",,
65853093,False,,Rua dos Alpes,residential,,True,61.137,"LINESTRING (-46.523441 -23.6498369, -46.5233995 -23.6497847, -46.5233615 -23.6497337, -46.5230949 -23.6493877)",,
940442277,True,4,Avenida dos Estados,trunk,60,False,9.856,"LINESTRING (-46.5237294 -23.6500902, -46.5236516 -23.6501429)",,
"[467716830, 946907766]",True,3,,trunk_link,,False,187.238,"LINESTRING (-46.5237294 -23.6500902, -46.5237905 -23.650104, -46.5238434 -23.6501095, -46.5239111 -23.6501101, -46.523938 -23.6501071, -46.523966 -23.6501022, -46.5245153 -23.6499566, -46.5247468 -23.6498914, -46.5248128 -23.6498689, -46.5249015 -23.6498388, -46.5253098 -23.6496911, -46.5253778 -23.6496738, -46.5254871 -23.6496611)",,
704219635,True,5,Avenida dos Estados,trunk,60,False,27.82,"LINESTRING (-46.5231505 -23.6500474, -46.5233649 -23.6498924)",,
297646604,True,3,Viaduto Antônio Adib Chammas,trunk,60,False,552.1790000000001,"LINESTRING (-46.5262367 -23.6510995, -46.5274927 -23.6522757, -46.5276931 -23.6524473, -46.5280217 -23.6526983, -46.5283788 -23.6529581, -46.5300876 -23.6540491, -46.5303254 -23.6541911, -46.5304111 -23.6542384)",yes,
27018163,True,2,,trunk_link,,False,61.004000000000005,"LINESTRING (-46.5253055 -23.6505041, -46.5249466 -23.6503739, -46.5248424 -23.6503466, -46.5247406 -23.6503249)",yes,
"[885911988, 885911989]",True,"['2', '3']",Viaduto Antônio Adib Chammas,trunk,60,False,226.80599999999998,"LINESTRING (-46.5253055 -23.6505041, -46.5247138 -23.6501251, -46.5234582 -23.6493655)",yes,
"[27018163, 27018165]",True,2,,trunk_link,,False,106.76700000000001,"LINESTRING (-46.5247406 -23.6503249, -46.5246293 -23.6503006, -46.524483 -23.6502737, -46.524342 -23.6502581, -46.5242212 -23.6502514, -46.5239733 -23.6502482, -46.52385 -23.6502348, -46.5237028 -23.6502112)",yes,
"[27018164, 27018167]",True,1,,trunk_link,40,False,137.34300000000002,"LINESTRING (-46.5247406 -23.6503249, -46.5244354 -23.6503497, -46.5243653 -23.650365, -46.5243101 -23.6503869, -46.5242554 -23.6504163, -46.5242209 -23.6504498, -46.5241979 -23.6504775, -46.5241827 -23.6505162, -46.5241706 -23.6505588, -46.5241658 -23.6506198, -46.5241745 -23.6506753, -46.5243624 -23.651026, -46.5243996 -23.6511215)",yes,
27018165,True,2,,trunk_link,,False,12.072,"LINESTRING (-46.5237028 -23.6502112, -46.5235869 -23.6501885)",,
704219640,True,,Avenida Henri Sannejouand,residential,,False,123.624,"LINESTRING (-46.5237028 -23.6502112, -46.5237715 -23.650301, -46.5243996 -23.6511215)",,
"[704219640, 27018168]",True,,"['Rua Visconde de Taunay', 'Avenida Henri Sannejouand']",residential,,False,411.31000000000006,"LINESTRING (-46.5243996 -23.6511215, -46.5244278 -23.6511584, -46.5260282 -23.6532738, -46.5260623 -23.6532791, -46.5260955 -23.6532779, -46.5261281 -23.6532704, -46.5264934 -23.6530424, -46.5268671 -23.6528091, -46.5268878 -23.6527887, -46.5268897 -23.6527612, -46.5268913 -23.6527261, -46.5268931 -23.6526856, -46.5268919 -23.6526485)",,
940442279,True,3,Rua Augusto Ruschi,residential,,False,18.034,"LINESTRING (-46.5254871 -23.6496611, -46.5253932 -23.6495236)",,
467716830,True,3,,trunk_link,,False,41.089,"LINESTRING (-46.5254871 -23.6496611, -46.5255745 -23.6496562, -46.5256728 -23.6496626, -46.5257784 -23.6496799, -46.5258854 -23.6497033)",,
"[938866521, 404987281, 27018324]",True,"['1', '2']",,trunk_link,60,False,162.371,"LINESTRING (-46.5258854 -23.6497033, -46.5259054 -23.6498369, -46.5259154 -23.6499657, -46.5259257 -23.6503156, -46.5259316 -23.6504056, -46.5259446 -23.6504951, -46.5259647 -23.6505834, -46.5260088 -23.6507082, -46.5260375 -23.6507741, -46.5260816 -23.650859, -46.5261324 -23.6509446, -46.5262367 -23.6510995)",yes,
704220001,True,1,,trunk_link,,False,49.532000000000004,"LINESTRING (-46.5258854 -23.6497033, -46.5259382 -23.6497195, -46.5259843 -23.6497467, -46.5260294 -23.649785, -46.5262384 -23.65)",,
704223218,True,4,Avenida Antônio Cardoso,primary,,False,85.727,"LINESTRING (-46.5262384 -23.65, -46.5264082 -23.6503443, -46.5265155 -23.6505618, -46.5265994 -23.6506958)",,
27018324,True,2,,trunk_link,60,False,79.18499999999999,"LINESTRING (-46.5257411 -23.6490043, -46.5257729 -23.6492196, -46.5258714 -23.64961, -46.5258854 -23.6497033)",,
297646111,True,3,Avenida Antônio Cardoso,primary,,False,121.758,"LINESTRING (-46.5257411 -23.6490043, -46.5260639 -23.6496403, -46.5262384 -23.65)",,
27017638,True,,Rua Visconde de Taunay,residential,,False,66.815,"LINESTRING (-46.5265994 -23.6506958, -46.526653 -23.6507078, -46.5267214 -23.6507274, -46.527196 -23.6509417)",,
"[94346059, 94346060, 27018654]",True,2,Viaduto Pedro Dell'Antônia,primary,60,False,394.874,"LINESTRING (-46.5265994 -23.6506958, -46.5266489 -23.6507569, -46.5267006 -23.6508018, -46.5267483 -23.6508331, -46.52679 -23.6508558, -46.5270906 -23.6510137, -46.5288854 -23.6519296, -46.5293891 -23.6521866, -46.5297231 -23.6523576, -46.5297595 -23.6523679, -46.5297945 -23.6523731, -46.5298251 -23.6523742, -46.529848 -23.6523725, -46.5298688 -23.652369, -46.5299027 -23.6523619, -46.5299354 -23.6523524, -46.5299704 -23.6523395)",viaduct,
704219637,True,3,Rua Augusto Ruschi,residential,,False,107.97200000000001,"LINESTRING (-46.5257916 -23.6505761, -46.5257726 -23.6504599, -46.5257292 -23.6501588, -46.5257178 -23.6501108, -46.5256949 -23.6500195, -46.5256813 -23.6499802, -46.5256534 -23.6499214, -46.5256188 -23.6498618, -46.5254871 -23.6496611)",,
731253075,True,,Rua Augusto Ruschi,residential,,False,20.157,"LINESTRING (-46.5258813 -23.6512098, -46.5258708 -23.6511125, -46.5258582 -23.6510298)",,
1185627324,True,,Rua Augusto Ruschi,residential,,False,165.681,"LINESTRING (-46.5268919 -23.6526485, -46.5265621 -23.6522452, -46.5259374 -23.6514421)",,
27017638,True,,Rua Visconde de Taunay,residential,,False,153.00299999999996,"LINESTRING (-46.527196 -23.6509417, -46.5272571 -23.650959, -46.5273173 -23.6509667, -46.5273825 -23.6509656, -46.5274663 -23.6509572, -46.527676 -23.650937, -46.5277544 -23.6509407, -46.5278291 -23.6509523, -46.5279001 -23.6509768, -46.5279645 -23.6510135, -46.52802 -23.6510608, -46.5280644 -23.6511171, -46.5280962 -23.6511802, -46.5281141 -23.6512477, -46.5281174 -23.651317, -46.5281048 -23.6513912, -46.5280799 -23.6514609, -46.5280016 -23.6515991)",,
731253077,True,,,busway,,False,27.756,"LINESTRING (-46.527196 -23.6509417, -46.527349 -23.6510143, -46.527396 -23.6510364, -46.5274382 -23.6510561)",,
