osmid,oneway,name,highway,reversed,length,geometry,junction,bridge,maxspeed
210894637,True,Rua Sinharinha Frota,residential,False,102.066,"LINESTRING (-48.3657582 -21.6059445, -48.3648904 -21.6063822)",,,
212518065,False,Avenida Vinte e Oito de Agosto,residential,True,11.444,"LINESTRING (-48.3657582 -21.6059445, -48.3657008 -21.6058565)",,,
212518065,False,Avenida Vinte e Oito de Agosto,residential,False,85.64699999999999,"LINESTRING (-48.3657582 -21.6059445, -48.3657824 -21.6060985, -48.3658623 -21.6067086)",,,
212518065,False,Avenida Vinte e Oito de Agosto,residential,True,92.278,"LINESTRING (-48.3659701 -21.6075324, -48.3658623 -21.6067086)",,,
889998329,False,Rua Venina Chiaghio Arroyo,residential,True,43.811,"LINESTRING (-48.3659701 -21.6075324, -48.3655902 -21.607707)",,,
209445450,True,Rua Cesário Motta,residential,False,102.94,"LINESTRING (-48.3652513 -21.6050312, -48.3661472 -21.6046272)",,,
210090206,True,Avenida Vinte e Oito de Agosto,residential,False,101.372,"LINESTRING (-48.3652513 -21.6050312, -48.3648173 -21.6042137)",,,
209445169,True,Avenida Vinte e Oito de Agosto,residential,False,102.865,"LINESTRING (-48.3657008 -21.6058565, -48.3652513 -21.6050312)",,,
212518065,False,Avenida Vinte e Oito de Agosto,residential,False,11.444,"LINESTRING (-48.3657008 -21.6058565, -48.3657582 -21.6059445)",,,
891800990,True,Rua Sinharinha Frota,residential,False,20.728,"LINESTRING (-48.3657008 -21.6058565, -48.3658907 -21.6057967)",,,
892170931,True,Avenida Tolêdo Malta,residential,False,104.191,"LINESTRING (-48.3696877 -21.6029813, -48.3701386 -21.6038193)",,,
892170938,True,Rua Cesário Motta,residential,False,102.684,"LINESTRING (-48.3696877 -21.6029813, -48.3705728 -21.6025623)",,,
212713420,True,Avenida 15 de Novembro,residential,False,102.717,"LINESTRING (-48.3661472 -21.6046272, -48.3665798 -21.6054588)",,,
209445450,True,Rua Cesário Motta,residential,False,105.90700000000001,"LINESTRING (-48.3661472 -21.6046272, -48.3664547 -21.6044851, -48.3667292 -21.6043582, -48.3670645 -21.6042032)",,,
253642808,True,Avenida Campos Salles,residential,False,101.145,"LINESTRING (-48.368817 -21.6033839, -48.3683808 -21.6025697)",,,
