osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,access,bridge
271428977,True,1,Rua Treze de Maio,primary,40,False,28.058,"LINESTRING (-42.137843 -6.2032667, -42.1376776 -6.2030753)",,,
231143709,False,,Rua José Monteiro,primary,40,False,105.37299999999999,"LINESTRING (-42.137843 -6.2032667, -42.1374486 -6.2038506, -42.1373735 -6.203956, -42.1372927 -6.2040385)",,,
270846715,False,,Rua Quinze de Novembro,residential,40,False,6.427,"LINESTRING (-42.135605 -6.2051221, -42.1356046 -6.2051799)",,,
287505737,False,,Rua Quinze de Novembro,residential,40,True,44.2,"LINESTRING (-42.135605 -6.2051221, -42.135604 -6.2047246)",,,
283405852,True,2,Rua João XXIII,residential,40,False,86.831,"LINESTRING (-42.135605 -6.2051221, -42.1357307 -6.2050959, -42.1358319 -6.2050546, -42.1359526 -6.2049872, -42.1362068 -6.2048519, -42.1363119 -6.2047925)",,,
287505763,False,,Rua Coronel Antônio Teixeira,primary,40,True,87.929,"LINESTRING (-42.1370054 -6.2055932, -42.13683 -6.2063645)",PI-224,,
271432765,False,,Rua Coronel Antônio Teixeira,residential,40,False,54.961000000000006,"LINESTRING (-42.1370054 -6.2055932, -42.1370751 -6.2053905, -42.137108 -6.2053025, -42.1371409 -6.2052439, -42.1371844 -6.2052146, -42.1372507 -6.2052035)",,,
287709611,False,,Rua Coronel Antônio Teixeira,primary,40,False,38.626000000000005,"LINESTRING (-42.1370054 -6.2055932, -42.1368768 -6.2053957, -42.1367997 -6.2053139)",PI-224,,
271430261,False,,Rua Tiradentes,residential,40,True,105.451,"LINESTRING (-42.1386838 -6.2043239, -42.1396166 -6.2041254)",,,
"[271430261, 284475199]",False,,"['Rua Francisco Leite Pereira', 'Rua Tiradentes']",residential,40,False,113.86699999999999,"LINESTRING (-42.1386838 -6.2043239, -42.138623 -6.2042198, -42.1385913 -6.2040973, -42.1385872 -6.20398, -42.1386033 -6.203844, -42.1386333 -6.2037217, -42.1387562 -6.203344)",,,
"[283402549, 271432766, 271432767]",False,,"['Rua Tiradentes', 'Rua do Pici']",residential,40,True,125.414,"LINESTRING (-42.1386838 -6.2043239, -42.1388907 -6.2046179, -42.1388987 -6.2046369, -42.1388984 -6.2046573, -42.1388903 -6.2046783, -42.1387306 -6.2047885, -42.1385041 -6.2048999, -42.1384478 -6.2049479, -42.1384142 -6.2050106, -42.1383796 -6.2051217)",,no,yes
271428999,False,,Rua Francisco José Mendes Neto,residential,40,True,20.222,"LINESTRING (-42.134931 -6.2056338, -42.1350932 -6.2055497)",,,
283105013,False,,Rua Eripedes de Aguiar,residential,40,True,56.258,"LINESTRING (-42.134931 -6.2056338, -42.1352348 -6.2060397)",,,
271428999,False,,Rua Francisco José Mendes Neto,residential,40,False,62.597,"LINESTRING (-42.134931 -6.2056338, -42.1347249 -6.2057279, -42.1346042 -6.2057652, -42.1345264 -6.2057825, -42.1343936 -6.2057945)",,,
231138308,False,,Rua Florentino Sampaio Veras,residential,40,False,86.326,"LINESTRING (-42.1344474 -6.20502, -42.1343936 -6.2057945)",,,
287505741,False,,Avenida Moisés Lima Verde,residential,40,True,77.932,"LINESTRING (-42.1344474 -6.20502, -42.1351446 -6.2051239)",,,
287505742,False,,Avenida Moisés Lima Verde,residential,40,False,92.468,"LINESTRING (-42.1344474 -6.20502, -42.1336131 -6.2049599)",,,
287709620,False,,Rua Florentino Sampaio,residential,40,True,68.654,"LINESTRING (-42.1344474 -6.20502, -42.1344687 -6.2046573, -42.1344584 -6.2044034)",,,
283103159,False,,Rua Quinze de Novembro,residential,40,True,6.856,"LINESTRING (-42.1352348 -6.2060397, -42.1352616 -6.2059841)",,,
283105012,False,,Rua Euripedes de Aguiar,residential,40,False,107.912,"LINESTRING (-42.1352348 -6.2060397, -42.1357951 -6.2068344)",,,
