osmid,oneway,lanes,name,highway,maxspeed,reversed,length,junction,geometry,access,tunnel
123306253,True,2,Rua Afonso Pena,tertiary,40,False,68.198,,"LINESTRING (-41.946502 -18.8544104, -41.9470474 -18.8547417)",,
123306246,True,2,,secondary,40,False,71.503,roundabout,"LINESTRING (-41.946502 -18.8544104, -41.9464392 -18.8544805, -41.9463597 -18.8545331, -41.9462687 -18.854565, -41.946172 -18.8545739, -41.9460762 -18.8545593, -41.9459874 -18.8545221, -41.9459115 -18.8544649)",,
815571611,False,2,Avenida Minas Gerais,secondary,40,True,77.723,,"LINESTRING (-41.9459115 -18.8544649, -41.9455333 -18.8550653)",,
123306246,True,2,,secondary,40,False,59.577999999999996,roundabout,"LINESTRING (-41.9459115 -18.8544649, -41.9458458 -18.8543776, -41.9458102 -18.8542759, -41.945808 -18.8541687, -41.9458393 -18.8540658, -41.9459013 -18.8539761)",,
311150980,True,1,Avenida Minas Gerais,secondary,40,False,8.019,,"LINESTRING (-41.9439184 -18.8573769, -41.9439782 -18.8573322)",,
311150981,True,2,Rua Marechal Floriano,secondary,,False,6.359,,"LINESTRING (-41.9439184 -18.8573769, -41.9439687 -18.8574086)",,
123306202,False,2,Avenida Minas Gerais,secondary,40,False,190.565,,"LINESTRING (-41.946362 -18.8538986, -41.9473514 -18.8524632)",,
123306246,True,2,,secondary,40,False,65.88300000000001,roundabout,"LINESTRING (-41.946362 -18.8538986, -41.9464465 -18.8539565, -41.9465111 -18.8540341, -41.9465509 -18.8541254, -41.9465629 -18.8542235, -41.9465462 -18.8543209, -41.946502 -18.8544104)",,
123306202,False,2,Avenida Minas Gerais,secondary,40,True,190.565,,"LINESTRING (-41.9473514 -18.8524632, -41.946362 -18.8538986)",,
282728584,True,2,Rua Sete de Setembro,primary,40,False,113.345,,"LINESTRING (-41.9473514 -18.8524632, -41.9482428 -18.8530354)",,
316611770,False,2,Avenida Minas Gerais,primary,40,False,105.638,,"LINESTRING (-41.9473514 -18.8524632, -41.9479251 -18.8516836)",,
376511788,False,2,Rua Sete de Setembro,primary,40,True,107.794,,"LINESTRING (-41.9473514 -18.8524632, -41.9464842 -18.8519472)",,
