osmid,name,highway,oneway,reversed,length,maxspeed,lanes,access,junction,geometry
198512541,Rua Raimundo Rossi,secondary,False,False,92.317,,,,,"LINESTRING (-51.1740133 -22.1444011, -51.1748435 -22.1447141)"
198513687,Rua Nove de Julho,secondary,False,True,97.802,40,,,,"LINESTRING (-51.1740133 -22.1444011, -51.1743746 -22.1435877)"
217757981,Rua Nove de Julho,tertiary,True,False,91.889,40,,,,"LINESTRING (-51.1740133 -22.1444011, -51.173678 -22.1451669)"
921611953,Rua Raimundo Rossi,secondary,False,True,93.096,,,,,"LINESTRING (-51.1740133 -22.1444011, -51.1731805 -22.1440756)"
198508651,Avenida Coronel João Gomes Martins,residential,False,False,44.098,40,2,yes,,"LINESTRING (-51.1697244 -22.1482494, -51.1693269 -22.148102)"
198508651,Avenida Coronel João Gomes Martins,residential,False,True,7.875,40,2,yes,,"LINESTRING (-51.1697244 -22.1482494, -51.1697954 -22.1482757)"
817333352,,tertiary,True,False,2.599,,,,roundabout,"LINESTRING (-51.1710504 -22.1487666, -51.1710524 -22.1487899)"
198629393,Avenida Professora Nilva,tertiary,True,False,88.518,,,,,"LINESTRING (-51.1721867 -22.1506255, -51.1713981 -22.1503089)"
199639784,Rua Eleazar Galvão,tertiary,False,False,19.545,,,,,"LINESTRING (-51.1721867 -22.1506255, -51.172253 -22.1504608)"
198508651,Avenida Coronel João Gomes Martins,residential,False,True,89.715,40,2,yes,,"LINESTRING (-51.1668873 -22.1471218, -51.1676806 -22.1474551)"
876536829,,tertiary,False,False,17.193,,,,,"LINESTRING (-51.1668873 -22.1471218, -51.1667561 -22.1470262)"
"[198510378, 877481183]","['Avenida Coronel João Gomes Martins', 'Rua Nelson Joaquim Senteio']",tertiary,False,False,94.636,40,2,yes,,"LINESTRING (-51.1668873 -22.1471218, -51.1668871 -22.1470448, -51.1672107 -22.1463311)"
704983099,Avenida Coronel João Gomes Martins,tertiary,False,False,93.97200000000001,40,2,yes,,"LINESTRING (-51.1719015 -22.1490993, -51.1712394 -22.148858, -51.1710524 -22.1487899)"
