osmid,name,highway,oneway,reversed,length,geometry,junction,bridge,maxspeed
158690130,Quadra 28,residential,False,True,298.381,"LINESTRING (-47.9786833 -16.0691997, -47.977639 -16.0716884)",,,
375455583,Avenida Senador Tancredo Neves,tertiary,True,False,11.832,"LINESTRING (-47.9786833 -16.0691997, -47.9785816 -16.0691576)",,,
158690208,Avenida Senador Tancredo Neves,tertiary_link,True,False,23.676000000000002,"LINESTRING (-47.9786833 -16.0691997, -47.9786464 -16.0691238, -47.9786603 -16.0690709, -47.9787232 -16.0690272)",,,
377845335,Rua Araguaia,tertiary,False,False,15.353,"LINESTRING (-47.9763388 -16.0680965, -47.9764315 -16.067991)",,,
268834154,Avenida Senador Tancredo Neves,tertiary,True,False,41.339,"LINESTRING (-47.9763388 -16.0680965, -47.9764954 -16.0681245, -47.9765949 -16.0681893, -47.9766608 -16.0682708)",roundabout,,
268834154,Avenida Senador Tancredo Neves,tertiary,True,False,16.229,"LINESTRING (-47.9766183 -16.0687015, -47.9764743 -16.0687479)",roundabout,,
375142097,,tertiary,True,False,34.153,"LINESTRING (-47.9766183 -16.0687015, -47.9766411 -16.0688946, -47.9766408 -16.0690074)",,,
377845336,Avenida Senador Tancredo Neves,tertiary,True,False,58.99,"LINESTRING (-47.9781887 -16.0688944, -47.9787232 -16.0690272)",,,
"[158690122, 898359181, 158690279]",Avenida Senador Tancredo Neves,tertiary,False,False,139.44299999999998,"LINESTRING (-47.9781887 -16.0688944, -47.9781036 -16.0688549, -47.9776714 -16.0686668, -47.9769732 -16.0684429)",,yes,
377845336,Avenida Senador Tancredo Neves,tertiary,True,False,3.388,"LINESTRING (-47.9787232 -16.0690272, -47.978753 -16.0690376)",,,
158690124,Quadra 26,residential,False,True,298.155,"LINESTRING (-47.9791207 -16.069375, -47.9780633 -16.0718564)",,,
375455583,Avenida Senador Tancredo Neves,tertiary,True,False,50.638,"LINESTRING (-47.9791207 -16.069375, -47.9786833 -16.0691997)",,,
158690088,Quadra 24,residential,False,False,297.935,"LINESTRING (-47.9795628 -16.0695522, -47.9785129 -16.0720344)",,,
375455583,Avenida Senador Tancredo Neves,tertiary,True,False,51.183,"LINESTRING (-47.9795628 -16.0695522, -47.9791207 -16.069375)",,,
158690107,,residential,False,False,19.339,"LINESTRING (-47.9800475 -16.0695639, -47.9799806 -16.0697255)",,,
159184700,Quadra 13,residential,False,True,198.93,"LINESTRING (-47.9800475 -16.0695639, -47.9807344 -16.0679011)",,,
377845336,Avenida Senador Tancredo Neves,tertiary,True,False,49.976,"LINESTRING (-47.9800475 -16.0695639, -47.980478 -16.0697396)",,,
158690107,,residential,False,True,19.339,"LINESTRING (-47.9799806 -16.0697255, -47.9800475 -16.0695639)",,,
158690116,Quadra 22,residential,False,True,297.124,"LINESTRING (-47.9799806 -16.0697255, -47.9789337 -16.072201)",,,
375455583,Avenida Senador Tancredo Neves,tertiary,True,False,48.624,"LINESTRING (-47.9799806 -16.0697255, -47.9795628 -16.0695522)",,,
158690099,Quadra 20,residential,False,False,297.641,"LINESTRING (-47.9804154 -16.0698926, -47.9793547 -16.0723677)",,,
375455583,Avenida Senador Tancredo Neves,tertiary,True,False,50.036,"LINESTRING (-47.9804154 -16.0698926, -47.9799806 -16.0697255)",,,
913915972,Avenida Senador Severo Gomes,tertiary,False,True,103.1,"LINESTRING (-47.9763189 -16.0711758, -47.9759363 -16.072027)",,,
158690313,Rua 13,tertiary,False,False,65.67099999999999,"LINESTRING (-47.9763189 -16.0711758, -47.9767496 -16.0713388, -47.9768895 -16.0713952)",,,
913915972,Avenida Senador Severo Gomes,tertiary,False,False,168.33200000000002,"LINESTRING (-47.9763189 -16.0711758, -47.9768503 -16.070083, -47.9768672 -16.0699259, -47.9768512 -16.069777)",,,
158690313,Rua 13,tertiary,False,False,18.03,"LINESTRING (-47.9768895 -16.0713952, -47.9769956 -16.0714432, -47.9770422 -16.0714642)",,,
158690313,Rua 13,tertiary,False,True,65.67099999999999,"LINESTRING (-47.9768895 -16.0713952, -47.9767496 -16.0713388, -47.9763189 -16.0711758)",,,
375455590,,residential,False,True,78.465,"LINESTRING (-47.9768895 -16.0713952, -47.9766918 -16.0718584, -47.9766109 -16.0720481)",,,
158690130,Quadra 28,residential,False,False,298.381,"LINESTRING (-47.977639 -16.0716884, -47.9786833 -16.0691997)",,,
158690313,Rua 13,tertiary,False,False,49.034,"LINESTRING (-47.977639 -16.0716884, -47.9780633 -16.0718564)",,,
158690313,Rua 13,tertiary,False,True,68.485,"LINESTRING (-47.977639 -16.0716884, -47.977102 -16.0714912, -47.9770422 -16.0714642)",,,
158690124,Quadra 26,residential,False,False,298.155,"LINESTRING (-47.9780633 -16.0718564, -47.9791207 -16.069375)",,,
158690313,Rua 13,tertiary,False,False,51.957,"LINESTRING (-47.9780633 -16.0718564, -47.9785129 -16.0720344)",,,
158690313,Rua 13,tertiary,False,True,49.034,"LINESTRING (-47.9780633 -16.0718564, -47.977639 -16.0716884)",,,
158690088,Quadra 24,residential,False,True,297.935,"LINESTRING (-47.9785129 -16.0720344, -47.9795628 -16.0695522)",,,
