osmid,oneway,name,highway,reversed,length,geometry,bridge,tunnel,lanes,maxspeed
235455749,False,Rua Coronel Licinio,residential,True,44.759,"LINESTRING (-48.6017199 -23.7977671, -48.6020444 -23.7980389)",,,,
258223654,True,Avenida Avelino Antunes da Cruz,tertiary,False,42.494,"LINESTRING (-48.6017199 -23.7977671, -48.6013068 -23.7977107)",,,,
203388310,True,Rua Didi Nogueira,residential,False,55.340999999999994,"LINESTRING (-48.6032555 -23.8029526, -48.6029403 -23.80269, -48.6028612 -23.8026103)",,,,
203377556,True,Avenida Ruy Barbosa,residential,False,54.189,"LINESTRING (-48.5987158 -23.7988592, -48.5992375 -23.7989574)",,,,
203388310,True,Rua Didi Nogueira,residential,False,44.657,"LINESTRING (-48.6028612 -23.8026103, -48.6026131 -23.802279)",,,,
203388313,False,Rua Benedito Justo de Oliveira,residential,True,161.686,"LINESTRING (-48.6028612 -23.8026103, -48.6036124 -23.8015427, -48.6037356 -23.8013968)",,,,
203388313,False,Rua Benedito Justo de Oliveira,residential,False,161.686,"LINESTRING (-48.6037356 -23.8013968, -48.6036124 -23.8015427, -48.6028612 -23.8026103)",,,,
856252911,True,Rua Antônio Martins Figueiredo,residential,False,74.232,"LINESTRING (-48.5978454 -23.7977352, -48.597834 -23.7984027)",,,,
1001447240,True,Rua Coronel Licinio,tertiary,False,143.254,"LINESTRING (-48.5978454 -23.7977352, -48.5992469 -23.7976113)",,,,
1178057306,True,Rua Antônio Martins Figueiredo,secondary,False,111.38,"LINESTRING (-48.597828 -23.7986739, -48.5977985 -23.7996752)",,,,
203377556,True,Avenida Ruy Barbosa,residential,False,27.688000000000002,"LINESTRING (-48.597828 -23.7986739, -48.598011 -23.7987192, -48.5980895 -23.7987426)",,,,
203396510,True,Avenida Jovino de Oliveira Fonseca,secondary,False,57.336999999999996,"LINESTRING (-48.597828 -23.7986739, -48.5977227 -23.7986604, -48.5973854 -23.7986346, -48.5972674 -23.7986224)",,,,
