osmid,name,highway,maxspeed,oneway,reversed,length,lanes,ref,geometry,junction
208923142,Avenida Benedito Ribeiro da Cunha,residential,30,False,False,53.621,,,"LINESTRING (-45.4620992 -22.9354038, -45.4615756 -22.9354082)",
839997422,Avenida Nossa Senhora do Bom Sucesso,primary,50,False,False,20.571,2,BR-383,"LINESTRING (-45.4620992 -22.9354038, -45.4620993 -22.9352188)",
839997422,Avenida Nossa Senhora do Bom Sucesso,primary,50,False,True,62.403,2,BR-383,"LINESTRING (-45.4620992 -22.9354038, -45.4620987 -22.935965)",
302841467,Rua Laerte Machado Guimarães,residential,,True,False,183.336,,,"LINESTRING (-45.4620878 -22.9326603, -45.4602976 -22.9326448)",
839997422,Avenida Nossa Senhora do Bom Sucesso,primary,50,False,True,106.383,2,BR-383,"LINESTRING (-45.4620878 -22.9326603, -45.4620807 -22.933617)",
289421268,Avenida Doutor Jorge Tibiriçá,primary,50,False,True,74.519,2,BR-383,"LINESTRING (-45.4620878 -22.9326603, -45.4621024 -22.9321094, -45.4621027 -22.9319903)",
346003087,Rua Doutor Fontes Júnior,tertiary,50,True,False,115.086,,,"LINESTRING (-45.4661134 -22.9364838, -45.4652835 -22.9357859)",
345276789,Rua Major João Alfredo Homem de Mello,tertiary,,True,False,31.009,,,"LINESTRING (-45.4623906 -22.9326588, -45.4620878 -22.9326603)",
346003087,Rua Doutor Fontes Júnior,tertiary,50,True,False,130.959,,,"LINESTRING (-45.4632245 -22.9335517, -45.4623906 -22.9326588)",
289421270,Rua Doutor Campos Sales,tertiary,,False,True,98.705,2,,"LINESTRING (-45.4632245 -22.9335517, -45.4632298 -22.9331606, -45.4632317 -22.9330201, -45.4632366 -22.9326641)",
208923157,Rua Doutor João Pedro Cardoso,residential,30,False,True,46.071,,,"LINESTRING (-45.4654276 -22.9319373, -45.4649891 -22.9320299)",
208923090,Avenida Doutor Francisco Lessa Júnior,tertiary,,True,False,233.565,1,,"LINESTRING (-45.4654276 -22.9319373, -45.4658568 -22.9331711, -45.4661478 -22.9339301)",
208922991,Rua Emilio Ribas,residential,,True,False,44.952,,,"LINESTRING (-45.4632456 -22.9320069, -45.4628067 -22.9320003)",
289421270,Rua Doutor Campos Sales,tertiary,,False,False,73.083,2,,"LINESTRING (-45.4632456 -22.9320069, -45.4632366 -22.9326641)",
208922513,Praça Emílio Ribas,residential,,False,True,68.742,,,"LINESTRING (-45.4628067 -22.9320003, -45.4628032 -22.9326185)",
208922991,Rua Emilio Ribas,residential,,True,False,72.103,,,"LINESTRING (-45.4628067 -22.9320003, -45.4621027 -22.9319903)",
289421268,Avenida Doutor Jorge Tibiriçá,primary,50,False,False,74.519,2,BR-383,"LINESTRING (-45.4621027 -22.9319903, -45.4621024 -22.9321094, -45.4620878 -22.9326603)",
208922394,Rua Manoel Antônio Homem de Mello,residential,30,False,True,133.987,,,"LINESTRING (-45.4649891 -22.9320299, -45.4652791 -22.9332049)",
208923157,Rua Doutor João Pedro Cardoso,residential,30,False,False,46.071,,,"LINESTRING (-45.4649891 -22.9320299, -45.4654276 -22.9319373)",
208923157,Rua Doutor João Pedro Cardoso,residential,30,False,True,70.53,,,"LINESTRING (-45.4649891 -22.9320299, -45.4643107 -22.9321393)",
208922764,Rua Professor Demétrio Boueri,residential,30,False,False,104.125,,,"LINESTRING (-45.4666696 -22.9320475, -45.4669923 -22.9329355)",
208923503,Rua Francisca Bicudo de Melo,tertiary,,False,True,131.517,,,"LINESTRING (-45.4659346 -22.9320707, -45.4663584 -22.9331872)",
208923157,Rua Doutor João Pedro Cardoso,residential,30,False,False,70.53,,,"LINESTRING (-45.4643107 -22.9321393, -45.4649891 -22.9320299)",
345990052,Rua dos Bentos,residential,30,False,True,60.877,,,"LINESTRING (-45.4643107 -22.9321393, -45.4644451 -22.9326726)",
346072434,Rua João Pereira de Matos Guedes,residential,30,False,False,70.907,,,"LINESTRING (-45.4573892 -22.9326118, -45.4573783 -22.9332494)",
346072435,Rua Laerte Machado Guimarães,residential,,False,True,81.299,,,"LINESTRING (-45.4573892 -22.9326118, -45.458183 -22.9326225)",
346072333,Rua José Giórgio,residential,30,False,True,103.195,,,"LINESTRING (-45.458183 -22.9326225, -45.4581644 -22.9335504)",
346072435,Rua Laerte Machado Guimarães,residential,,False,False,81.299,,,"LINESTRING (-45.458183 -22.9326225, -45.4573892 -22.9326118)",
346072435,Rua Laerte Machado Guimarães,residential,,False,True,118.946,,,"LINESTRING (-45.458183 -22.9326225, -45.4593445 -22.9326248)",
346072435,Rua Laerte Machado Guimarães,residential,,False,False,118.946,,,"LINESTRING (-45.4593445 -22.9326248, -45.458183 -22.9326225)",
302841467,Rua Laerte Machado Guimarães,residential,,True,False,97.629,,,"LINESTRING (-45.4602976 -22.9326448, -45.4593445 -22.9326248)",
345276786,Avenida Albuquerque Lins,tertiary,,False,True,104.928,,,"LINESTRING (-45.4602976 -22.9326448, -45.4602128 -22.9335852)",
208922342,Rua Major João Alfredo Homem de Mello,residential,,True,False,86.638,,,"LINESTRING (-45.4632366 -22.9326641, -45.4623906 -22.9326588)",
289421270,Rua Doutor Campos Sales,tertiary,,False,True,73.083,2,,"LINESTRING (-45.4632366 -22.9326641, -45.4632456 -22.9320069)",
289421270,Rua Doutor Campos Sales,tertiary,,False,False,98.705,2,,"LINESTRING (-45.4632366 -22.9326641, -45.4632317 -22.9330201, -45.4632298 -22.9331606, -45.4632245 -22.9335517)",
208922342,Rua Major João Alfredo Homem de Mello,residential,,True,False,123.762,,,"LINESTRING (-45.4644451 -22.9326726, -45.4632366 -22.9326641)",
345990052,Rua dos Bentos,residential,30,False,False,60.877,,,"LINESTRING (-45.4644451 -22.9326726, -45.4643107 -22.9321393)",
345990052,Rua dos Bentos,residential,30,False,True,73.451,,,"LINESTRING (-45.4644451 -22.9326726, -45.4645984 -22.9333179)",
208922764,Rua Professor Demétrio Boueri,residential,30,False,True,104.125,,,"LINESTRING (-45.4669923 -22.9329355, -45.4666696 -22.9320475)",
208923412,Rua Manoel Cembraneli,residential,30,False,False,70.692,,,"LINESTRING (-45.4669923 -22.9329355, -45.4663584 -22.9331872)",
208923074,Rua Doutor Einaldo Ramos,residential,30,False,False,48.187,,,"LINESTRING (-45.4657388 -22.9331124, -45.4652791 -22.9332049)",
208923412,Rua Manoel Cembraneli,residential,30,False,False,26.834,,,"LINESTRING (-45.4663584 -22.9331872, -45.4661187 -22.9332847)",
208923412,Rua Manoel Cembraneli,residential,30,False,True,70.692,,,"LINESTRING (-45.4663584 -22.9331872, -45.4669923 -22.9329355)",
208923503,Rua Francisca Bicudo de Melo,tertiary,,False,False,131.517,,,"LINESTRING (-45.4663584 -22.9331872, -45.4659346 -22.9320707)",
