osmid,oneway,name,highway,reversed,length,ref,maxspeed,access,geometry,lanes,bridge
301244316,True,Rua Nicanor Santos,residential,False,80.965,,,,"LINESTRING (-41.3911023 -20.7902877, -41.3907971 -20.7896178)",,
390348595,False,Rodovia Federal Engenheiro Fabiano Vivacqua,trunk,True,88.689,BR-482;ES-482,,,"LINESTRING (-41.3911023 -20.7902877, -41.3902658 -20.7904445)",,
390348596,False,Rua Bolivar de Almeida,residential,True,8.632,,30,yes,"LINESTRING (-41.3911023 -20.7902877, -41.3911328 -20.7903599)",,
390348595,False,Rodovia Federal Engenheiro Fabiano Vivacqua,trunk,False,87.569,BR-482;ES-482,,,"LINESTRING (-41.3911023 -20.7902877, -41.3914239 -20.7902536, -41.3915631 -20.790251, -41.3917842 -20.7902549, -41.3919405 -20.7902787)",,
390348582,False,Rodovia Federal Engenheiro Fabiano Vivacqua,trunk,False,19.343,BR-482;ES-482,,,"LINESTRING (-41.3938178 -20.790942, -41.3939589 -20.7910554)",2,
390348593,False,Rodovia Federal Engenheiro Fabiano Vivacqua,trunk,True,177.198,BR-482;ES-482,,,"LINESTRING (-41.3938178 -20.790942, -41.3935572 -20.7907827, -41.3933587 -20.7906929, -41.3930809 -20.7905809, -41.3926227 -20.7904269, -41.3923277 -20.7903546, -41.392252 -20.790336)",,
390348671,False,Rua José Ferreira,residential,False,122.691,,,,"LINESTRING (-41.3938178 -20.790942, -41.3938471 -20.7907696, -41.3938484 -20.7906015, -41.3938181 -20.7898413)",2,
390348582,False,Rodovia Federal Engenheiro Fabiano Vivacqua,trunk,True,19.343,BR-482;ES-482,,,"LINESTRING (-41.3939589 -20.7910554, -41.3938178 -20.790942)",2,
696461298,False,Rua Domingos Giry de Castro,residential,False,87.632,,,,"LINESTRING (-41.3939589 -20.7910554, -41.3938576 -20.7910773, -41.3937838 -20.7910843, -41.3936743 -20.7910676, -41.393533 -20.7910321, -41.393376 -20.7910173, -41.3932954 -20.7910114, -41.3932565 -20.7910248, -41.3932246 -20.7910545, -41.3932034 -20.791129)",,
390348616,False,Rua Bolívar Lougon Moulin,residential,False,87.899,,30,yes,"LINESTRING (-41.3898661 -20.7912804, -41.3899726 -20.7920646)",,
"[390348600, 390348602]",False,"['Rua Bolívar Lougon Moulin', 'Rua Antonio Hernesto Ferreira']",residential,True,41.348,,30,yes,"LINESTRING (-41.3898661 -20.7912804, -41.3898473 -20.7910926, -41.3900391 -20.7910549)",2,
"[301244356, 390348644]",False,"['Rua Benedito da Silva', 'Rua Fábio de Souza Alves']",residential,False,142.121,,30,yes,"LINESTRING (-41.3898661 -20.7912804, -41.3893935 -20.7913744, -41.3894651 -20.7921981)",,
436405151,False,Rua Capitão Benício Macedo,residential,False,118.69200000000001,,,,"LINESTRING (-41.3953805 -20.7918332, -41.3954714 -20.7915771, -41.3955627 -20.7914585, -41.3960609 -20.791003)",,
