osmid,highway,oneway,reversed,length,name,lanes,ref,geometry,junction
952547547,residential,False,False,15.101,,,,"LINESTRING (-53.4754429 -25.8257067, -53.4753247 -25.8256223)",
906493676,residential,True,False,14.958,,,,"LINESTRING (-53.475509 -25.8206223, -53.4755899 -25.8205092)",
169871831,primary,False,False,13.709,Rua do Butiazeiro,,,"LINESTRING (-53.4772327 -25.8218093, -53.4773106 -25.8217079)",
169871831,primary,False,True,130.327,Rua do Butiazeiro,,,"LINESTRING (-53.4772327 -25.8218093, -53.4764378 -25.8227376)",
286809227,tertiary,True,False,101.959,Avenida das Perobas,2,PR-886,"LINESTRING (-53.4772327 -25.8218093, -53.4764109 -25.8212675)",
961679586,residential,True,False,56.961,Avenida dos Pinheiros,,,"LINESTRING (-53.4758005 -25.8253082, -53.4754429 -25.8257067)",
961679589,tertiary,True,False,17.26,Rua Jacarandá,,,"LINESTRING (-53.4758005 -25.8253082, -53.4756738 -25.8252029)",
286805035,residential,True,False,48.391,Rua Marfim,,,"LINESTRING (-53.4822835 -25.8177192, -53.4826616 -25.8179904)",
297468866,secondary,True,False,10.626,Avenida dos Pinheiros,,PR-281,"LINESTRING (-53.4822835 -25.8177192, -53.4822305 -25.817802)",
297468866,secondary,True,False,49.689,Avenida dos Pinheiros,,PR-281,"LINESTRING (-53.4822305 -25.817802, -53.4819026 -25.8181375)",
286805035,residential,True,False,53.191,Rua Marfim,,,"LINESTRING (-53.4830855 -25.8182944, -53.4835093 -25.818583)",
728809619,residential,False,False,118.991,Rua Acácia,,,"LINESTRING (-53.4830855 -25.8182944, -53.4837977 -25.8174376)",
728809619,residential,False,True,8.691,Rua Acácia,,,"LINESTRING (-53.4830855 -25.8182944, -53.4830397 -25.8183608)",
297468829,residential,True,False,55.206,Rua Marfim,,,"LINESTRING (-53.4830397 -25.8183608, -53.4826027 -25.8180579)",
728809619,residential,False,False,8.691,Rua Acácia,,,"LINESTRING (-53.4830397 -25.8183608, -53.4830855 -25.8182944)",
728809619,residential,False,True,120.784,Rua Acácia,,,"LINESTRING (-53.4830397 -25.8183608, -53.4822909 -25.8192126)",
286805039,secondary,True,False,46.992,Avenida dos Pinheiros,,PR-281,"LINESTRING (-53.4813338 -25.8185375, -53.4816223 -25.8182041)",
286805035,residential,True,False,52.246,Rua Marfim,,,"LINESTRING (-53.4839547 -25.8188819, -53.4843631 -25.8191745)",
538678377,residential,False,False,117.683,Rua Angíco,,,"LINESTRING (-53.4839547 -25.8188819, -53.4846632 -25.8180373)",
538678377,residential,False,True,10.633,Rua Angíco,,,"LINESTRING (-53.4839547 -25.8188819, -53.4838934 -25.81896)",
297468829,residential,True,False,55.54,Rua Marfim,,,"LINESTRING (-53.4838934 -25.81896, -53.4834558 -25.8186529)",
538678377,residential,False,False,10.633,Rua Angíco,,,"LINESTRING (-53.4838934 -25.81896, -53.4839547 -25.8188819)",
538678377,residential,False,True,120.622,Rua Angíco,,,"LINESTRING (-53.4838934 -25.81896, -53.4831637 -25.8198233)",
286805024,residential,False,True,8.83,Rua Guajuvira,,,"LINESTRING (-53.4847743 -25.8194691, -53.4847293 -25.8195374)",
286805024,residential,False,False,8.83,Rua Guajuvira,,,"LINESTRING (-53.4847293 -25.8195374, -53.4847743 -25.8194691)",
286805024,residential,False,True,119.847,Rua Guajuvira,,,"LINESTRING (-53.4847293 -25.8195374, -53.4839974 -25.8203904)",
297468829,residential,True,False,54.469,Rua Marfim,,,"LINESTRING (-53.4847293 -25.8195374, -53.4842992 -25.8192373)",
286805778,residential,True,False,54.615,Rua Guabiroveira,,,"LINESTRING (-53.4798711 -25.8205179, -53.4803118 -25.8208075)",
297468866,secondary,True,False,9.878,Avenida dos Pinheiros,,PR-281,"LINESTRING (-53.4798711 -25.8205179, -53.4798165 -25.8205919)",
728809619,residential,False,False,120.372,Rua Acácia,,,"LINESTRING (-53.4807304 -25.8211023, -53.4814406 -25.8202287)",
728809619,residential,False,True,6.511,Rua Acácia,,,"LINESTRING (-53.4807304 -25.8211023, -53.4806903 -25.8211484)",
