osmid,oneway,lanes,name,highway,reversed,length,maxspeed,junction,geometry
485241405,True,1,Rua Dom Pedro II,residential,False,132.064,,,"LINESTRING (-52.8506245 -26.3576467, -52.8494833 -26.3570426)"
485241423,True,,,residential,False,12.918000000000001,40,roundabout,"LINESTRING (-52.8506245 -26.3576467, -52.8506211 -26.3576236, -52.8506254 -26.3576007, -52.850637 -26.35758, -52.850655 -26.3575632, -52.8506776 -26.3575519)"
485241426,True,,Rua Pedro Alvares Cabral,tertiary,False,132.418,,,"LINESTRING (-52.8495848 -26.3591697, -52.8484463 -26.3585553)"
485241428,True,2,,tertiary,False,14.607,40,roundabout,"LINESTRING (-52.8495848 -26.3591697, -52.8495788 -26.3591356, -52.8495869 -26.3591073, -52.8496165 -26.3590763, -52.8496447 -26.3590673)"
126303042,True,,Rua Rio de Janeiro,secondary,False,179.877,,,"LINESTRING (-52.8541692 -26.3575565, -52.8532373 -26.358942)"
958106854,True,2,Rua Coronel Bertaso,tertiary,False,10.862,40,,"LINESTRING (-52.8541692 -26.3575565, -52.8540767 -26.3575048)"
485241432,True,,,tertiary,False,1.439,40,roundabout,"LINESTRING (-52.8480628 -26.3542289, -52.8480484 -26.3542299)"
126302018,True,2,Rua Ernesto Beuter,residential,False,106.534,40,,"LINESTRING (-52.853734 -26.3529689, -52.8542795 -26.3521449)"
299402516,True,,Rua Gilio Rezzieri,residential,False,10.895,,,"LINESTRING (-52.853734 -26.3529689, -52.8538285 -26.3530182)"
485241391,True,2,Avenida Brasil,primary,False,12.253,40,,"LINESTRING (-52.8490944 -26.3526751, -52.8489858 -26.3526234)"
485241434,True,2,Rua Nereu Ramos,tertiary,False,56.934,,,"LINESTRING (-52.8490944 -26.3526751, -52.8488035 -26.3531158)"
704566773,True,,Rua João Beux Sobrinho,residential,False,185.286,,,"LINESTRING (-52.8539532 -26.3553483, -52.852986 -26.3567715)"
958106686,True,2,Avenida Brasil,secondary,False,12.145,40,,"LINESTRING (-52.8539532 -26.3553483, -52.8538527 -26.3552865)"
485241415,True,2,Avenida Brasil,secondary,False,134.031,40,,"LINESTRING (-52.8526424 -26.3546295, -52.8514993 -26.3539941)"
485241418,True,2,,secondary,False,14.812000000000001,40,roundabout,"LINESTRING (-52.8526424 -26.3546295, -52.8526351 -26.3546083, -52.8526351 -26.3545861, -52.8526423 -26.3545649, -52.8526562 -26.3545465, -52.8526756 -26.3545326, -52.8526986 -26.3545244)"
485241381,True,,Rua Guilherme Hack,tertiary,False,82.176,,,"LINESTRING (-52.8455545 -26.3528818, -52.8451339 -26.3535175)"
285604608,True,2,,tertiary,False,10.992,40,roundabout,"LINESTRING (-52.8455545 -26.3528818, -52.8455144 -26.3528814, -52.8454799 -26.352863, -52.8454654 -26.3528394)"
126303042,True,,Rua Rio de Janeiro,secondary,False,67.858,,,"LINESTRING (-52.8531633 -26.3590598, -52.8528094 -26.3595812)"
485241424,True,1,Rua Dom Pedro II,residential,False,12.49,,,"LINESTRING (-52.8531633 -26.3590598, -52.8530574 -26.3589997)"
126303048,True,,Rua Guilherme Hack,tertiary,False,93.057,40,,"LINESTRING (-52.8465738 -26.3513616, -52.8461044 -26.3520851)"
299402495,True,2,Avenida Brasil,primary,False,10.358,40,,"LINESTRING (-52.8465738 -26.3513616, -52.8464887 -26.3513081)"
126303039,False,,Rua Agostinho Stefanello,residential,False,13.569,,,"LINESTRING (-52.8545742 -26.3516879, -52.8546942 -26.3517456)"
704566773,True,,Rua João Beux Sobrinho,residential,False,178.714,,,"LINESTRING (-52.8529239 -26.3568727, -52.8520483 -26.3582754)"
958106854,True,2,Rua Coronel Bertaso,tertiary,False,11.212,40,,"LINESTRING (-52.8529239 -26.3568727, -52.8528281 -26.3568198)"
680980482,True,2,,primary,False,3.116,40,roundabout,"LINESTRING (-52.8478359 -26.3520157, -52.8478047 -26.3520138)"
126302014,True,,Rua Pedro Alvares Cabral,residential,False,12.952,,,"LINESTRING (-52.8509197 -26.3598979, -52.8508064 -26.3598408)"
485241424,True,1,Rua Dom Pedro II,residential,False,14.473,,,"LINESTRING (-52.8519724 -26.3583898, -52.8518508 -26.3583186)"
704566773,True,,Rua João Beux Sobrinho,residential,False,182.717,,,"LINESTRING (-52.8519724 -26.3583898, -52.8509961 -26.3597808)"
485241424,True,1,Rua Dom Pedro II,residential,False,10.477,,,"LINESTRING (-52.8544005 -26.3597165, -52.8543113 -26.3596666)"
126303051,True,1,Rua Dom Pedro II,residential,False,11.579,,,"LINESTRING (-52.8470553 -26.3557389, -52.846956 -26.3556848)"
299402503,True,2,Rua Nereu Ramos,tertiary,False,90.323,,,"LINESTRING (-52.8470553 -26.3557389, -52.8465954 -26.3564389)"
299402503,True,2,Rua Nereu Ramos,tertiary,False,91.819,,,"LINESTRING (-52.8460487 -26.3572309, -52.8455588 -26.3579303)"
485241426,True,,Rua Pedro Alvares Cabral,tertiary,False,10.787,,,"LINESTRING (-52.8460487 -26.3572309, -52.8459564 -26.3571802)"
704566773,True,,Rua João Beux Sobrinho,residential,False,16.087,,,"LINESTRING (-52.8540391 -26.3552258, -52.8539532 -26.3553483)"
126302018,True,2,Rua Ernesto Beuter,residential,False,139.687,40,,"LINESTRING (-52.8527197 -26.3545225, -52.8534337 -26.3534414)"
485241418,True,2,,secondary,False,7.311,40,roundabout,"LINESTRING (-52.8527197 -26.3545225, -52.8527438 -26.3545263, -52.8527656 -26.3545361, -52.8527833 -26.3545513)"
485241414,True,2,,secondary,False,2.07,40,roundabout,"LINESTRING (-52.8515609 -26.3538805, -52.8515691 -26.3538976)"
485241388,True,2,Rua Nereu Ramos,primary,False,12.696,,,"LINESTRING (-52.8491534 -26.3525739, -52.8490944 -26.3526751)"
968411095,True,2,Avenida Brasil,secondary,False,125.971,40,,"LINESTRING (-52.8491534 -26.3525739, -52.8502318 -26.3531652)"
680980483,True,2,,primary,False,2.439,40,roundabout,"LINESTRING (-52.8478989 -26.3518908, -52.8479101 -26.3519103)"
126303048,True,,Rua Guilherme Hack,tertiary,False,17.853,40,,"LINESTRING (-52.8466788 -26.3512315, -52.8465738 -26.3513616)"
299402496,True,2,Avenida Brasil,primary,False,132.86,40,,"LINESTRING (-52.8466788 -26.3512315, -52.8478144 -26.3518577)"
485241419,True,2,Avenida Brasil,primary,False,11.337,40,,"LINESTRING (-52.8490576 -26.3525189, -52.8491534 -26.3525739)"
485241435,True,2,Rua Nereu Ramos,tertiary,False,13.646,,,"LINESTRING (-52.8489858 -26.3526234, -52.8490576 -26.3525189)"
485241391,True,2,Avenida Brasil,primary,False,133.058,40,,"LINESTRING (-52.8489858 -26.3526234, -52.8479322 -26.3520573, -52.8478359 -26.3520157)"
485241433,True,2,Rua Coronel Bertaso,tertiary,False,66.826,40,,"LINESTRING (-52.8479683 -26.3541749, -52.8473912 -26.3538687)"
485241432,True,,,tertiary,False,12.474999999999998,40,roundabout,"LINESTRING (-52.8479683 -26.3541749, -52.8479673 -26.3541525, -52.8479744 -26.354131, -52.8479887 -26.3541126, -52.8480089 -26.3540992, -52.8480327 -26.3540923)"
285603934,False,,Travessa São Pedro,residential,False,132.985,40,,"LINESTRING (-52.8448565 -26.3514156, -52.8460005 -26.3520316)"
126303048,True,,Rua Guilherme Hack,tertiary,False,93.092,40,,"LINESTRING (-52.8461044 -26.3520851, -52.8456088 -26.3527948)"
285603934,False,,Travessa São Pedro,residential,False,133.075,40,,"LINESTRING (-52.8461044 -26.3520851, -52.847242 -26.3527121)"
285603934,False,,Travessa São Pedro,residential,True,11.94,40,,"LINESTRING (-52.8461044 -26.3520851, -52.8460005 -26.3520316)"
957469695,False,,Travessa São Pedro,residential,False,10.569,40,,"LINESTRING (-52.8484996 -26.3533895, -52.8485896 -26.3534398)"
485241435,True,2,Rua Nereu Ramos,tertiary,False,40.954,,,"LINESTRING (-52.8484996 -26.3533895, -52.8486648 -26.3531401, -52.8487073 -26.3530717)"
957469695,False,,Travessa São Pedro,residential,True,135.058,40,,"LINESTRING (-52.8484996 -26.3533895, -52.8474053 -26.3528012, -52.8473379 -26.3527637)"
299402514,False,,Travessa São Pedro,residential,False,126.894,40,,"LINESTRING (-52.849806 -26.3540571, -52.8508889 -26.3546577)"
299402512,True,,,residential,False,8.776,40,roundabout,"LINESTRING (-52.849806 -26.3540571, -52.8497913 -26.3540718, -52.8497727 -26.3540824, -52.8497516 -26.354088, -52.8497296 -26.3540884)"
