osmid,oneway,ref,name,highway,reversed,length,maxspeed,geometry,lanes,junction
193976124,False,GO-206,Rua Rio Preto,tertiary,False,117.611,,"LINESTRING (-50.4556072 -18.4501981, -50.4552178 -18.449207)",,
193976124,False,GO-206,Rua Rio Preto,tertiary,True,84.848,,"LINESTRING (-50.4556072 -18.4501981, -50.4562062 -18.4507074)",,
925044917,True,,Avenida José Quintiliano Leão,residential,False,114.737,,"LINESTRING (-50.4556072 -18.4501981, -50.4545863 -18.4505543)",,
923917078,False,,Avenida Perimetral,residential,False,61.082,,"LINESTRING (-50.4580386 -18.4439496, -50.4577047 -18.4435008)",,
923917079,True,GO-206;BR-483,Avenida Joaquim Timóteo de Paula,residential,False,105.346,60,"LINESTRING (-50.4580386 -18.4439496, -50.4589723 -18.4436134)",,
1250077698,False,,Avenida Perimetral,tertiary,True,55.027,,"LINESTRING (-50.4580386 -18.4439496, -50.4583632 -18.444337)",,
246251451,False,,Avenida Abilio de Freitas da Silveira,residential,False,114.725,,"LINESTRING (-50.4515747 -18.44282, -50.4505562 -18.4431819)",,
246251371,True,,R. Adolfo José da Abadia,residential,False,116.395,,"LINESTRING (-50.4515747 -18.44282, -50.4519754 -18.4437579, -50.4519881 -18.4437905)",,
923917078,False,,Avenida Perimetral,residential,True,61.989,,"LINESTRING (-50.4573686 -18.4430435, -50.4577047 -18.4435008)",,
925044935,False,,Avenida José Vicente de Paula,residential,False,61.445,,"LINESTRING (-50.4573686 -18.4430435, -50.4568202 -18.4432298)",,
246251451,False,,Avenida Abilio de Freitas da Silveira,residential,True,114.725,,"LINESTRING (-50.4505562 -18.4431819, -50.4515747 -18.44282)",,
246251324,False,,R. Francisco Corrêa Neves,residential,False,114.998,,"LINESTRING (-50.4505562 -18.4431819, -50.450945 -18.444131, -50.450951 -18.4441459)",,
246251398,False,,Rua Capelinha,residential,True,117.435,,"LINESTRING (-50.4568202 -18.4432298, -50.4571955 -18.4442241)",,
