osmid,name,highway,oneway,reversed,length,bridge,geometry,junction
414911717,Rua José Peixoto de Noronha,residential,False,True,95.667,,"LINESTRING (-49.4075459 -22.4165355, -49.4077005 -22.4156871)",
884292314,Avenida Aureliano Aredes,residential,False,False,94.515,,"LINESTRING (-49.4075459 -22.4165355, -49.4066371 -22.4164064)",
"[448806028, 414911717, 448806030, 448806029]",Rua José Peixoto de Noronha,residential,False,"[False, True]",196.168,yes,"LINESTRING (-49.4075459 -22.4165355, -49.4074025 -22.4173104, -49.4074035 -22.4173273, -49.4074047 -22.4173353, -49.4074076 -22.4173468, -49.4074114 -22.4173584, -49.4076141 -22.4176258, -49.4076526 -22.4176787, -49.4076801 -22.4177302, -49.4077017 -22.4177862, -49.4078504 -22.4181851)",
847849829,Avenida São Paulo,secondary,True,False,20.783,,"LINESTRING (-49.4119346 -22.4155089, -49.411745 -22.415444)",
310422841,,secondary,True,False,10.383999999999999,,"LINESTRING (-49.4119346 -22.4155089, -49.4119363 -22.4154853, -49.411941 -22.4154626, -49.4119502 -22.4154413, -49.4119652 -22.4154221)",roundabout
231951903,Rua Silvio Dede Zuim,residential,False,False,94.823,,"LINESTRING (-49.4037393 -22.411553, -49.4046488 -22.4116953)",
231951921,Rua Thedoro Lopes,residential,False,False,97.527,,"LINESTRING (-49.4037393 -22.411553, -49.4035903 -22.4124192)",
231951921,Rua Thedoro Lopes,residential,False,True,95.913,,"LINESTRING (-49.4037393 -22.411553, -49.4038452 -22.4108934, -49.4038546 -22.4108463, -49.4038774 -22.4107793, -49.4039354 -22.4107232)",
231951942,Rua Theófilo Cordovil,residential,False,False,96.706,,"LINESTRING (-49.4070969 -22.4138277, -49.4069438 -22.4146858)",
231951942,Rua Theófilo Cordovil,residential,False,True,194.306,,"LINESTRING (-49.4070969 -22.4138277, -49.4074176 -22.4121056)",
884292313,Avenida Nove de Julho,residential,False,False,95.865,,"LINESTRING (-49.4070969 -22.4138277, -49.4061756 -22.413694)",
