osmid,oneway,highway,reversed,length,geometry,lanes,ref,name,maxspeed,junction
956484015,True,secondary,False,39.16,"LINESTRING (-51.2779708 -29.8456503, -51.2779987 -29.8455793, -51.2780149 -29.8455041, -51.2780257 -29.8454329, -51.2780219 -29.8453041)",,,,,
1065508546,True,trunk,False,41.774,"LINESTRING (-51.2779708 -29.8456503, -51.2781528 -29.845581, -51.2783045 -29.8455471, -51.2783814 -29.8455374)",3,BR-386,Rodovia Governador Leonel de Moura Brizola,60,circular
41756243,True,secondary,False,32.366,"LINESTRING (-51.2780166 -29.8459094, -51.2779649 -29.8458567, -51.2779397 -29.8458156, -51.2779267 -29.8457665, -51.2779311 -29.8457148, -51.2779708 -29.8456503)",,,,,circular
330418754,True,trunk,False,166.3,"LINESTRING (-51.2780166 -29.8459094, -51.2776759 -29.8459432, -51.2773693 -29.8460108, -51.276358 -29.8463004)",2,BR-386,Rodovia Governador Leonel de Moura Brizola,60,
35764234,False,residential,True,345.64399999999995,"LINESTRING (-51.2783653 -29.8461618, -51.278482 -29.8465748, -51.2786175 -29.8469836, -51.2786633 -29.8470758, -51.2786984 -29.8471463, -51.2788143 -29.8473237, -51.2789354 -29.8475258, -51.2791974 -29.8479741, -51.2793571 -29.848287, -51.2794267 -29.8484352, -51.2794872 -29.8485935, -51.2795416 -29.8487571, -51.2796127 -29.849058)",,,Rua Doutor Lourenço Zaccaro,,
956484012,True,residential,False,44.427,"LINESTRING (-51.2783653 -29.8461618, -51.2783022 -29.8460921, -51.2781463 -29.845969, -51.2780928 -29.8459366, -51.2780166 -29.8459094)",,,,,
41756055,False,residential,True,82.047,"LINESTRING (-51.275712 -29.8503274, -51.2749099 -29.8505733)",,,Rua Tangerina,,
301942765,False,residential,True,135.402,"LINESTRING (-51.275712 -29.8503274, -51.2760689 -29.8515051)",,,Rua das Cerejeiras,,
41756055,False,residential,False,113.081,"LINESTRING (-51.275712 -29.8503274, -51.2761414 -29.8501651, -51.2765114 -29.8500537, -51.2768141 -29.8499865)",,,Rua Tangerina,,
301942765,False,residential,False,93.84700000000001,"LINESTRING (-51.275712 -29.8503274, -51.2756639 -29.849676, -51.2756359 -29.8494863)",,,Rua das Cerejeiras,,
167907110,False,residential,True,110.566,"LINESTRING (-51.2760689 -29.8515051, -51.2771712 -29.8512318)",,,Rua Concórdia,,
301942765,False,residential,False,135.402,"LINESTRING (-51.2760689 -29.8515051, -51.275712 -29.8503274)",,,Rua das Cerejeiras,,
301942765,False,residential,True,143.018,"LINESTRING (-51.2760689 -29.8515051, -51.2762564 -29.8521156, -51.2765174 -29.8527296)",,,Rua das Cerejeiras,,
41756038,False,residential,False,71.679,"LINESTRING (-51.2722207 -29.8499325, -51.2729328 -29.8497479)",,,Rua das Laranjeiras,,
41756039,False,residential,True,112.999,"LINESTRING (-51.2722207 -29.8499325, -51.2720739 -29.8493482, -51.2720373 -29.849117, -51.2720536 -29.8489327)",,,Rua Araçás,,
41756038,False,residential,False,82.873,"LINESTRING (-51.2729328 -29.8497479, -51.2737538 -29.8495279)",,,Rua das Laranjeiras,,
41756038,False,residential,True,71.679,"LINESTRING (-51.2729328 -29.8497479, -51.2722207 -29.8499325)",,,Rua das Laranjeiras,,
41756040,False,residential,False,149.04,"LINESTRING (-51.2729328 -29.8497479, -51.2732834 -29.8510533)",,,Rua das Goiabeiras,,
41756040,False,residential,True,86.93299999999999,"LINESTRING (-51.2729328 -29.8497479, -51.2728535 -29.8493462, -51.2728279 -29.8489726)",,,Rua das Goiabeiras,,
41756038,False,residential,True,82.873,"LINESTRING (-51.2737538 -29.8495279, -51.2729328 -29.8497479)",,,Rua das Laranjeiras,,
41756041,False,residential,False,149.115,"LINESTRING (-51.2737538 -29.8495279, -51.2741117 -29.8508325)",,,Rua Limoeiros,,
41756041,False,residential,True,86.773,"LINESTRING (-51.2737538 -29.8495279, -51.2735761 -29.8487629)",,,Rua Limoeiros,,
"[301942764, 41756038]",False,residential,"[False, True]",319.104,"LINESTRING (-51.2737538 -29.8495279, -51.2750483 -29.8491379, -51.2751437 -29.8491654, -51.2751933 -29.8492612, -51.2752166 -29.8493675, -51.2751862 -29.8494775, -51.2750854 -29.8495732, -51.274996 -29.8496794, -51.2747866 -29.8498242, -51.2747625 -29.8498637, -51.2747507 -29.8499148, -51.2747436 -29.8500293, -51.2749099 -29.8505733)",,,"['Rua das Laranjeiras', 'Rua das Pereiras']",,
41756055,False,residential,False,82.047,"LINESTRING (-51.2749099 -29.8505733, -51.275712 -29.8503274)",,,Rua Tangerina,,
41756055,False,residential,True,82.199,"LINESTRING (-51.2749099 -29.8505733, -51.2741117 -29.8508325)",,,Rua Tangerina,,
"[301942764, 41756038]",False,residential,"[False, True]",319.104,"LINESTRING (-51.2749099 -29.8505733, -51.2747436 -29.8500293, -51.2747507 -29.8499148, -51.2747625 -29.8498637, -51.2747866 -29.8498242, -51.274996 -29.8496794, -51.2750854 -29.8495732, -51.2751862 -29.8494775, -51.2752166 -29.8493675, -51.2751933 -29.8492612, -51.2751437 -29.8491654, -51.2750483 -29.8491379, -51.2737538 -29.8495279)",,,"['Rua das Laranjeiras', 'Rua das Pereiras']",,
301942764,False,residential,True,286.994,"LINESTRING (-51.2749099 -29.8505733, -51.2751483 -29.8512784, -51.2752022 -29.8514696, -51.2752111 -29.8516152, -51.2750874 -29.851826, -51.275052 -29.8519371, -51.2751095 -29.8520674, -51.2754549 -29.8530343)",,,Rua das Pereiras,,
41756039,False,residential,False,112.999,"LINESTRING (-51.2720536 -29.8489327, -51.2720373 -29.849117, -51.2720739 -29.8493482, -51.2722207 -29.8499325)",,,Rua Araçás,,
