osmid,oneway,highway,reversed,length,ref,geometry,name,lanes,maxspeed
326164006,True,residential,False,15.269,,"LINESTRING (-35.63255 -6.7549228, -35.6324132 -6.7549428)",,,
161490732,True,primary,False,45.300999999999995,PB-105,"LINESTRING (-35.63255 -6.7549228, -35.6325201 -6.7547572, -35.6325034 -6.7546673, -35.6324936 -6.754603, -35.6324906 -6.7545634, -35.6324913 -6.7545361, -35.6324937 -6.7545206)",,,
74890194,False,residential,True,27.69,,"LINESTRING (-35.6324937 -6.7545206, -35.6322432 -6.754532)",,,
191019906,True,primary,False,57.928,PB-105,"LINESTRING (-35.6324937 -6.7545206, -35.6325061 -6.7545008, -35.6325178 -6.7544865, -35.6325285 -6.7544728, -35.6325399 -6.7544595, -35.6328264 -6.7541181)",,,
403693070,False,residential,True,22.0,,"LINESTRING (-35.634929 -6.7541175, -35.6349583 -6.7543132)",,,
820914227,False,residential,True,84.875,,"LINESTRING (-35.634929 -6.7541175, -35.6356938 -6.7540414)",Rua Presidente Castro Pinto,,
403693067,False,residential,False,75.176,,"LINESTRING (-35.634929 -6.7541175, -35.6348916 -6.7538302, -35.6348755 -6.753721, -35.6348634 -6.7536065, -35.6348446 -6.7534467)",Rua Benjamin Constant,,
"[414220826, 403693068]",False,residential,False,107.81300000000002,,"LINESTRING (-35.634929 -6.7541175, -35.6342636 -6.7541982, -35.6340915 -6.7542174, -35.6339816 -6.7541433)","['Rua Coronel Antônio Pessoa', 'Rua Solon de Lucena']",,
74890192,True,residential,False,32.408,,"LINESTRING (-35.6347961 -6.7545561, -35.6349583 -6.7543132)",,,
239593179,False,primary,False,42.557,PB-105,"LINESTRING (-35.6342143 -6.7555922, -35.6339648 -6.7553005)",,,
74890171,False,residential,False,108.53500000000001,,"LINESTRING (-35.6342143 -6.7555922, -35.6341512 -6.7556009, -35.6340989 -6.7556075, -35.6340507 -6.7556017, -35.6339937 -6.7555796, -35.6338696 -6.755521, -35.6338106 -6.7554903, -35.633761 -6.7554657, -35.6336959 -6.7554504, -35.6336296 -6.7554457, -35.6335759 -6.7554579, -35.6335015 -6.755495, -35.6334257 -6.7555404, -35.6333211 -6.7556283)",Rua Alcides Bezerra,,
239593179,False,primary,True,120.221,PB-105,"LINESTRING (-35.6342143 -6.7555922, -35.6344597 -6.7558119, -35.6345563 -6.7559105, -35.634618 -6.7559784, -35.6346589 -6.756029, -35.634691 -6.7560776, -35.6347152 -6.7561296, -35.6347346 -6.7561835, -35.6347507 -6.7562568, -35.6347628 -6.7563307, -35.6347668 -6.7564019, -35.6347668 -6.7564672)",,,
74890160,True,primary,False,25.662,PB-105,"LINESTRING (-35.6335106 -6.7548101, -35.6334774 -6.7547902, -35.6334588 -6.7547813, -35.6334362 -6.7547728, -35.6334209 -6.7547686, -35.6334017 -6.7547661, -35.6333847 -6.754766, -35.6333579 -6.7547692, -35.6332898 -6.7547833)",,,
"[239593179, 384906261]",False,primary,True,74.09,PB-105,"LINESTRING (-35.6335106 -6.7548101, -35.6335934 -6.7548963, -35.6339648 -6.7553005)",,,
74890196,False,residential,True,15.529,,"LINESTRING (-35.6332898 -6.7547833, -35.6333963 -6.7546921)",Praça Epitácio Pessoa,,
74890162,True,primary,False,84.45599999999997,PB-105,"LINESTRING (-35.6332898 -6.7547833, -35.6327538 -6.7549281, -35.6327029 -6.754939, -35.6326653 -6.7549456, -35.632617 -6.7549441, -35.6325929 -6.7549403, -35.63255 -6.7549228)",,,
377683564,False,residential,True,37.751,,"LINESTRING (-35.6324132 -6.7549428, -35.6325432 -6.7552568)",Rua Antônio Coutinho,,
377683564,False,residential,False,49.386,,"LINESTRING (-35.6324132 -6.7549428, -35.6323605 -6.7548134, -35.6322432 -6.754532)",Rua Antônio Coutinho,,
74890194,False,residential,False,27.69,,"LINESTRING (-35.6322432 -6.754532, -35.6324937 -6.7545206)",,,
377683564,False,residential,False,57.328,,"LINESTRING (-35.6322432 -6.754532, -35.6320545 -6.7540517)",Rua Antônio Coutinho,,
377683564,False,residential,True,49.386,,"LINESTRING (-35.6322432 -6.754532, -35.6323605 -6.7548134, -35.6324132 -6.7549428)",Rua Antônio Coutinho,,
383272462,False,residential,True,18.548,,"LINESTRING (-35.6377721 -6.7538099, -35.6377905 -6.7539757)",Rua Alfredo Guimarães,2,40
820914229,False,residential,True,95.964,,"LINESTRING (-35.6377721 -6.7538099, -35.6369083 -6.7539047)",Rua Presidente Castro Pinto,,
"[383272460, 383272462]",False,residential,"[False, True]",175.85000000000002,,"LINESTRING (-35.6377721 -6.7538099, -35.6377702 -6.753705, -35.6377716 -6.7536711, -35.6377843 -6.7536431, -35.6378219 -6.7536065, -35.6382047 -6.75342, -35.638257 -6.7533881, -35.6382805 -6.7533568, -35.6382939 -6.7533008, -35.6382939 -6.7532176, -35.6382705 -6.7530977, -35.6381401 -6.7525392)","['Rua Alfredo Guimarães', 'Rua Paulo C do Amaral']",2,40
