osmid,name,highway,oneway,reversed,length,geometry,junction,lanes,ref,bridge
201705097,Rua Barbado,residential,False,True,122.296,"LINESTRING (-50.5780318 -22.74407, -50.5791315 -22.7436445)",,,,
201705842,Avenida Paranapanema,tertiary,False,False,12.743,"LINESTRING (-50.5780318 -22.74407, -50.5779252 -22.7440111)",,,,
201705842,Avenida Paranapanema,tertiary,False,True,93.318,"LINESTRING (-50.5780318 -22.74407, -50.578638 -22.7444954, -50.5787668 -22.7445631)",,,,
201705084,Rua das Carpas,residential,False,False,85.221,"LINESTRING (-50.5812925 -22.7444153, -50.5809756 -22.7437068)",,,,
201705084,Rua das Carpas,residential,False,True,85.862,"LINESTRING (-50.5812925 -22.7444153, -50.5815839 -22.7451392)",,,,
247753967,Avenida Jaú,residential,False,False,84.856,"LINESTRING (-50.5812925 -22.7444153, -50.5820604 -22.744131)",,,,
247753967,Avenida Jaú,residential,False,True,88.661,"LINESTRING (-50.5812925 -22.7444153, -50.5804958 -22.744725)",,,,
201705087,Rua Tabajos,residential,False,False,71.344,"LINESTRING (-50.5813078 -22.7464449, -50.5810309 -22.7458563)",,,,
201705099,Avenida Paranapanema,tertiary,False,False,81.268,"LINESTRING (-50.5813078 -22.7464449, -50.5806708 -22.7460101)",,,,
201705099,Avenida Paranapanema,tertiary,False,True,56.937,"LINESTRING (-50.5813078 -22.7464449, -50.5817409 -22.7467653)",,,,
201705079,Rua Tucurané,residential,False,False,84.988,"LINESTRING (-50.5809756 -22.7437068, -50.5817426 -22.7434173)",,,,
201705084,Rua das Carpas,residential,False,True,85.221,"LINESTRING (-50.5809756 -22.7437068, -50.5812925 -22.7444153)",,,,
201705079,Rua Tucurané,residential,False,True,86.35499999999999,"LINESTRING (-50.5809756 -22.7437068, -50.5802944 -22.7439666, -50.5801987 -22.7440063)",,,,
201705099,Avenida Paranapanema,tertiary,False,True,47.824,"LINESTRING (-50.5798654 -22.7453865, -50.5802205 -22.7456653)",,,,
201705845,,tertiary,True,False,51.799,"LINESTRING (-50.5798654 -22.7453865, -50.579676 -22.7451547, -50.5795929 -22.7450767, -50.5795392 -22.7450327)",,,,
201705082,Rua Araguaia,residential,False,False,64.199,"LINESTRING (-50.5810309 -22.7458563, -50.5816079 -22.7456323)",,,,
201705082,Rua Araguaia,residential,False,True,40.695,"LINESTRING (-50.5810309 -22.7458563, -50.5806708 -22.7460101)",,,,
201705087,Rua Tabajos,residential,False,False,50.727,"LINESTRING (-50.5810309 -22.7458563, -50.580812 -22.7454472)",,,,
201705087,Rua Tabajos,residential,False,True,71.344,"LINESTRING (-50.5810309 -22.7458563, -50.5813078 -22.7464449)",,,,
201705081,Rua Corimbatá,residential,False,False,84.733,"LINESTRING (-50.5831226 -22.7445485, -50.5823608 -22.7448436)",,,,
201705088,Avenida Paraná,residential,False,True,86.42,"LINESTRING (-50.5831226 -22.7445485, -50.5828088 -22.7438272)",,,,
201705081,Rua Corimbatá,residential,False,True,65.325,"LINESTRING (-50.5802205 -22.7456653, -50.580812 -22.7454472)",,,,
201705099,Avenida Paranapanema,tertiary,False,False,47.824,"LINESTRING (-50.5802205 -22.7456653, -50.5798654 -22.7453865)",,,,
201705099,Avenida Paranapanema,tertiary,False,True,39.615,"LINESTRING (-50.5802205 -22.7456653, -50.5805035 -22.7459078)",,,,
201705083,Rua Piauçu,residential,False,False,131.189,"LINESTRING (-50.5789169 -22.743128, -50.5777338 -22.7435768)",,,,
