osmid,name,highway,oneway,reversed,length,lanes,ref,geometry,maxspeed
172409258,Rua Domingos Teles Meneze,residential,False,True,89.219,,,"LINESTRING (-53.0570848 -22.5783562, -53.0568227 -22.5791212)",
172409261,Rua Genérsio Vernashi,residential,False,True,161.849,,,"LINESTRING (-53.0570848 -22.5783562, -53.0585723 -22.578838)",
921148841,Rua José Velasco,unclassified,False,True,48.211,,,"LINESTRING (-53.0570848 -22.5783562, -53.0568637 -22.5779737)",
142293340,Rua Serafim Pedro Galli,residential,False,False,176.938,,,"LINESTRING (-53.055649 -22.5758478, -53.0571695 -22.5750989)",
142293340,Rua Serafim Pedro Galli,residential,False,True,37.605,,,"LINESTRING (-53.055649 -22.5758478, -53.0553237 -22.5760032)",
366033323,Rodovia Arlindo Bettio,secondary,False,True,43.987,2,SP-613,"LINESTRING (-53.055649 -22.5758478, -53.0554435 -22.5755007)",
172409277,Rua José Velasco,secondary,False,False,91.279,,,"LINESTRING (-53.055649 -22.5758478, -53.0558438 -22.5762054, -53.0560429 -22.5765837)",
142293228,Rua Piau,residential,False,True,162.231,,,"LINESTRING (-53.0517704 -22.5744004, -53.0503719 -22.5750794)",
142293304,Rua Piapara,residential,False,True,54.244,,,"LINESTRING (-53.0517704 -22.5744004, -53.0520131 -22.5748337)",
142293293,Rua Mandi,residential,False,False,58.92,,,"LINESTRING (-53.0525252 -22.5745946, -53.0520131 -22.5748337)",
142293335,Avenida João Dutra Caldeira,residential,False,True,53.916,,,"LINESTRING (-53.0525252 -22.5745946, -53.0527613 -22.5750277)",
142293293,Rua Mandi,residential,False,False,52.718,,,"LINESTRING (-53.0520131 -22.5748337, -53.0515576 -22.5750525)",
142293293,Rua Mandi,residential,False,True,58.92,,,"LINESTRING (-53.0520131 -22.5748337, -53.0525252 -22.5745946)",
142293304,Rua Piapara,residential,False,False,54.244,,,"LINESTRING (-53.0520131 -22.5748337, -53.0517704 -22.5744004)",
